[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr
armors_devils_cocoon|Devil's Cocoon|Paholaisen Koppa|Casulo do Demônio|Кокон дьявола|魔鬼的茧|悪魔の繭|악마의 누에고치|Brustplatte des Teufels|Cocon du diable
armors_mevius_mighty_plate|Mevius' Mighty Plate|Meviuksen Mahtava Pelti|Placa Poderosa de Mevius|Могучая Тарелка Мевиуса|梅维乌斯强力护胸|メビウスの偉大なプレート|뫼비우스의 마이티 플레이트|Mevius' Mächtige Platte|Armure de plates puissante de Mevius
armors_anubis_torso|Anubis Torso|Anubis Vartalo|Tronco de Anúbis|Торс Анубиса|阿努比斯护甲|アヌビスの胴|아누비스의 몸통|Anubis' Torso|Torse d'Anubis
armors_genjis_battle_armor|Genji's Battle Armor|Genjin Taistelupanssari|Armadura de Batalha de Genji|Боевые доспехи Гэндзи|根吉的战斗盔甲|ゲンジのバトル・アーマー|겐지의 전투용 갑옷|Genjis Brustplatte|Armure de combat de Genji
armors_satans_cuirass|Satan's Cuirass|Saatanan Rintapanssari|Couraça de Satã|Кираса сатаны|撒旦的胸甲|サタンのキュイラス|사탄의 동체갑옷|Satans Brustplatte|Cuirasse de Satan
armors_sand_kings_scarab|Sand King's Scarab|Hiekkakuninkaan Skarabi|Escaravelho do Rei da Areia|Скарабей Песчаного короля|沙王的圣甲虫|サンド・キングのスカラベ|모래 왕의 풍뎅이|Brustplatte des Königs der Sande|Porte-plaque du roi des sables
armors_ice_howls_cuirass|Ice Howl's Cuirass|Jääulvojan Rintapanssari|Couraça do Uivo Congelado|Кираса Ледяного Воя|冰王的胸甲|アイスハウルのキュイラス|아이스 하울의 동체갑옷|Eisgeheuls Kürass|Cuirasse de glace de Hurlevent
armors_grandwizards_robe|Grandwizard's Robe|Suurvelhon Viitta|Manto do Grão-Mago|Мантия Великого Волшебника|大巫师的长袍|グランドウィザードのローブ|위대한 위저드의 로브|Brustplatte des Großmagiers|Robe de l'archimage
armors_zeus_body_armor|Zeus' Body Armor|Zeuksen Panssari|Peitoral de Zeus|Бронежилет Зевса|宙斯盔甲|ゼウスの胴甲|제우스의 몸통 갑옷|Zeus' Körperpanzerung|Armure de Zeus
armors_rednecks_shirt|Redneck's Shirt|Punaniskan Paita|Camisa do Caipira|Рубашка деревенщины|红脖子的衬衫|レッドネックのシャツ|레드넥의 셔츠|Redneck-Hemd|Chemise de redneck
armors_pirate_captains_shirt|Pirate Captain's Shirt|Merirosvokapteenin Paita|Camisa do Capitão Pirata|Рубашка Капитана пиратов|海盗船长衬衫|海賊船長のシャツ|해적 대위의 셔츠|Hemd des Piratenkapitäns|Chemise de capitaine
armors_death_lords_bone_armor|Death Lord's Bone Armor|Kuolemanherran Luupanssari|Armadura de Ossos do Senhor da Morte|Костяные доспехи Повелителя Смерти|死神的骨甲|デス・ロードの骨の鎧|죽음의 신의 뼈갑옷|Knochenrüstung des Todeslords|Armure d'os de seigneur de la mort
armors_thors_chest_armor|Thor's Chest Armor|Odinin Rintapanssari|Peitoral de Thor|Нагрудный доспех Тора|奥丁的胸甲|オーディンのチェスト・アーマー|오딘의 흉부 갑옷|Odins Brustrüstung|Armure de Thor
armors_cuirass_of_blood|Cuirass of Blood|Veren Rintapanssari|Couraça Ensanguentada |Кровавая кираса|嗜血胸甲|血のキュイラス|피의 흉갑|Kürass des Blutes|Cuirasse de sang
armors_magisters_robe|Magister's Robe|Velhon Viitta|Manto do Mestre|Мантия магистра|大法师的长袍|マギステル・ローブ|마법사의 로브|Gewand des Magisters|Robe de magister
armors_nomads_battlerobe|Nomad's Battlerobe|Vaeltajan Taisteluviitta|Veste de Batalha do Nômade|Битва кочевников.|流浪者的战袍|ノマドのバトルローブ|노마드의 배틀로브|Schlachtenrobe des Nomaden|Robe de combat de nomade
armors_marksmans_hunting_shroud|Marksman's Hunting Shroud|Jousimiehen Metsästysverho|Manto de Caça do Atirador|Охотничий саван стрелка|射手的狩猎裹尸布|マークスマンのハンティングシュラウド|명사수의 사냥용 장막|Kampfschleier des Marksman|Capuche de chasse de tireur d'élite
armors_upis_sweetshirt|Upi's Sweetshirt|Upin Makea Paita|Suéter de Upi|Сладкая рубашка Юпи|Upi的运动衫|ユピのスウィートシャツ|우피의 스웨트셔츠|Sweetshirt des Upi|Sweetshirt d'Upi
armors_thunder_gladiators_armor|Thunder Gladiator's Armor|Ukkosgladiaattorin Panssari|Armadura do Gladiador do Trovão|Доспехи Громового Гладиатора|雷声角斗士的盔甲|サンダーグラディエーターのアーマー|썬더 글라디에이터의 갑옷|Rüstung des Donnergladiatoren|Armure de tonnerre de gladiateur
armors_nobunagas_battle_cuirass|Nobunaga's Battle Cuirass|Nobunagan Taistelurintapanssari|Couraça de Batalha de Nobunaga|Боевая кираса Нобунаги|织田信长的战斗胸甲|信長のバトルクイラス|노부나가의 전투용 동체 갑옷|Schlachtkürass des Nobunaga|Cuirasse de bataille de Nobunaga
armors_dantes_jacket|Dante's Jacket||Jaqueta de Dante|Куртка Данте|||단테의 재킷||Veste de Dante
armors_lancers_chestplate|Lancer's Chestplate|Kilpiseivästäjän Rintapelti|Peitoral do Lanceiro|Нагрудный знак Улана|枪骑兵的胸甲|ランサーズチェストプレート|랜서즈 갑옷|Brustplatte des Lanzenreiters|Plastron de lancier
armors_demons_ribcage|Demon's Ribcage|Demonin Rintakehä|Caixa Torácica do Demônio|Грудная клетка Демона|恶魔的胸腔|悪魔の胸郭|악마의 흉곽|Brustkorb des Dämons|Cage thoracique de démon
armors_sacred_robe|Sacred Robe|Pyhäviitta|Veste Sagrada|Священное Одеяние|神圣的长袍|聖なるローブ|신성한 가운|Heilige Robe|Robe sacrée
armors_chestplate_of_fire|Chestplate of Fire|Liekkirintapelti|Peitoral de Fogo|Огненный нагрудник|火胸甲|炎のチェストプレート|불의 갑옷|Brennende Brustplatte|Plastron de feu
armors_lichbane|Lichbane|Kalmanriesa|Perdição de Lich|Личбейн|尸巫|リヒベネ|리치베인|Lichbane|Fléau des liches
armors_st_judas_hauberk|St. Jupe's Plate of Command||Placa do Comando de St. Jupe|Командный пункт Святого Юпа|||성 주페의 지휘 판금||Haubert de St. Judas
armors_travelers_leather_jacket|Traveler's Leather Jacket|Matkustajan Nahkatakki|Jaqueta de Couro do Viajante|Кожаная куртка Путешественника|旅行者的皮夹克|トラベラーズレザージャケット|여행자 용 가죽 자켓|Lederjacke für Reisende|Veste en cuir de voyageur
armors_gem_kings_garb|Gem King's Garb|Jalokivi Kuninkaan Panssari|Traje do Rei das Gemas|Одеяние Короля драгоценных камней|宝石王的服装|ジェムキングの服|보석 왕의 의복|Gem King's Gewand|Habit du roi des gemmes 
armors_engineers_plated_vest|Engineer's Plated Vest|Insinöörin Panssaroitu Liivi|Colete Tático do Engenheiro|Жилет инженера с покрытием|工程师的镀金背心|エンジニアのメッキベスト|엔지니어의 도금 조끼|Überzogene Weste des Ingenieurs|Gilet plaqué d'ingénieur
armors_vagabonds_wraps|Vagabond's Wraps|Kiertolaisen Rievut|Trapos do Vagabundo|Обертывания Бродяги|流浪者的裹身|バガボンドのラップ|방랑자의 겉옷|Vagabonds Wraps|Vêtements de vagabond
armors_flame_diviners_sanctum|Flame Diviner's Sanctum|Liekinjakajan Suoja|Santuário do Adivinho Flamejante|Святилище Огненного Прорицателя|烈焰圣者的圣殿|炎占い師の聖域|화염 점쟁이의 성소|Flammenwahrsagers Heiligtum|Sanctuaire de pyromancien
armors_bloodletters_plate_body|Blood-letter's Plate Body|Blood-letter's Plate Body|Placa do Flebotomista|Тело Пластины кровавого письма|Blood-letter's Plate Body|Blood-letter's Plate Body|혈서의 판금 갑옷|Blood-letter's Plate Body|Armure de plates de gravesang
armors_venoms_ribcage|Venom's Ribcage|Venomin Rintakehä|Caixa Torácica Envenenada|Грудная клетка Венома|毒液的肋骨|ヴェノムの胸郭|독의 갈비뼈|Venoms Brustkorb|Cage thoracique de venom
armors_shield_bearers_plated_armor|Shield Bearer's Plated Armor|Kilvenkäyttäjän Panssari|Peitoral do Portador do Escudo|Покрытая Доспехами Щитоносца|盾牌守卫者的板甲|シールドベアラーのプレートアーマー|방패 운반자의 도금 갑옷|Schildträger-Rüstung|Armure de plates de porteur de bouclier
armors_juggernauts_glorious_plate|Juggernaut's Glorious Plate|Pysäyttämätön Voiman Mahtava Haarniska|Placa Gloriosa do Juggernaut|Великолепная тарелка Джаггернаута|剑圣的光荣板甲|ジャガーノートの栄光のプレート|저거너트의 영광스러운 판|Juggernauts herrlicher Teller|Harnois glorieux de juggernaut
armors_justiciars_thunder_armor|Justiciar's Thunder Armor|Oikeuttajan Ukkospanssari|Armadura de Trovão do Justiceiro|Громовые доспехи Юстициария|贾斯蒂西尔的雷霆护甲|司法長官のサンダーアーマー|Justiciar의 천둥 갑옷|Justiciars Donnerrüstung|Armure de tonnerre de justicier
armors_lost_masters_platemail|Lost Master's Platemail|Kadonneen Mestarin Peltipanssari|Armadura de Placas do Mestre Perdido|Электронная почта потерянного Хозяина|失落大师的板甲|ロストマスターのプレートメール|로스트 마스터의 플레이트 메일|Platemail des verlorenen Meisters|Armure du maître d'armes
armors_earth_shapers_body|Earth Shaper's body|Maanmuokkaajan Keho|Corpo do Modelador de Terras|Тело Формирователя Земли|造地者的身体|アースシェイパーの体|지구 형성 자의 몸|Körper des Erdformers|Corps de l'élémen'terre
armors_plunderers_jacket|Plunderer's Jacket|Ryövärin Jakku|Jaqueta do Saqueador|Куртка грабителя|掠夺者外套|プランダラのジャケット|약탈자 재킷|Plündererjacke|Veste de pilleur
armors_valkyries_battle_rainment|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment|Vestimenta de Batalha da Valquíria|Боевое облачение Валькирии|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment|발키리의 전투 의상|Valkyrie's Battle Raiment|Vêtements de combat de valkyrie
armors_hazmat_suit|Hazmat Suit|Hazmat puku|Traje Hazmat|Защитный Костюм|危险品防护服|ハズマットスーツ|방호복|Gefahrgutanzug|Combinaison hazmat
armors_molten_steel_cataphract|Molten Steel Cataphract|Sulan teräksen katafrakti|Catafractário de Aço Derretido|Катафракт из расплавленной Стали|熔化的钢铁大士|モルテン・スチール・カタフラクト|용해된 강철 카타프락트|Geschmolzener Stahl Kataphrakt|Cataphractaire d'acier en fusion
armors_tropical_storm|Tropical Storm|Trooppinen myrsky|Tempestade Tropical|Тропический шторм|热带风暴|熱帯雨林|열대 폭풍|Tropensturm|Tempête tropicale
armors_magic_imbued_frozen_plate|Magic-Imbued Frozen Plate|Taikuudella varustettu jäädytetty platemail|Placa Congelada Imbuída de Magia|Замороженная Тарелка, Пропитанная Магией|充满魔力的冰冻桔梗|魔法をかけられたフローズンプラテメール|마법이 깃든 얼어붙은 플레이트|Gefrorene Platemail mit Magie-Imprägnierung|Armure de plate gelée imprégnée
armors_zephys_gown|Zephy's Gown|Zephyn puku|Vestido de Zephy|Платье Зефи|Zephy's Gown|Zephyのガウン|제피의 가운|Zephys Kleid|Robe de Zephy
armors_mystique_allure|Mystique Allure |Mystiikka Allure|Fascínio Místico|Таинственное Очарование |神秘主义的魅力|ミスティーク・アリュール|신비한 매력|Mystik Allure|Attrait mystique
armors_cocoon_of_berserker|Cocoon of the Berserker|Berserkerin kotelo|Casulo do Berserker|Кокон Берсеркера|狂热者之茧|バーサーカーの繭|광전사의 고치|Kokon des Berserkers|Cocon de berserker
armors_giant_thorned_lizard_skin|Giant Thorned Lizard Skin|Giant Thorned Lizard Skin|Pele Gigante de Lagarto Espinhoso|Шкура Гигантской Шипастой Ящерицы|巨型带刺蜥蜴皮|巨大なトゲトカゲの皮|거대한 가시 도마뱀 가죽|Haut der Rieseneidechse mit Dornen|Peau de lézard épineux géant
armors_noxious_hunters_reward|Noxious Hunter's Reward|Noxious Hunter's Reward|Recompensa do Caçador Nocivo|Награда Вредного охотника|Noxious Hunter's Reward|Noxious Hunter's Reward|유독한 사냥꾼의 보상|Noxious Hunter's Reward|Récompense d'éradicateur
armors_empires_military_plate|Empire's Military Plate|Imperiumin sotilaskilpi|Placa Militar do Império|Военная форма империи|帝国的军牌|帝国のミリタリープレート|제국의 군용 플레이트|Militärische Platte des Reiches|Plaque militaire de l'Empire
armors_leather_muscle_breastplate|Leather Muscle Breastplate|Nahkainen lihasrintalautanen|Peitoral Muscular de Couro|Кожаный Мышечный Нагрудник|皮革肌肉胸甲|レザーマッスルブレストプレート|가죽 근육 흉갑|Leder-Muskel-Brustplatte|Plastron musculaire en cuir
armors_tundra_hunters_long_coat|Tundra Hunter's Long Coat|Tundrametsästäjän pitkä takki|Casaco Longo do Caçador da Tundra|Длинное пальто Тундрового охотника|苔原猎人的长外套|ツンドラハンターのロングコート|툰드라 사냥꾼의 롱코트|Langer Mantel des Tundra-Jägers|Manteau long de chasseur de la toundra
armors_arcana_robes_of_authority|Arcane Robes of Authority|Arkaninen auktoriteetin kaapu|Túnicas de Autoridade Arcana|Тайные Одеяния Власти|权力的奥秘之袍|権威あるアルカンのローブ|비전 권위의 로브|Arkane Gewänder der Autorität|Robe d'autorité arcanique
armors_thunder_guardians_plate|Thunder Guardian's Plate|Thunder Guardianin lautanen|Placa do Guardião do Trovão|Тарелка Громового Стража|雷霆守护者之盘|サンダーガーディアンのプレート|천둥 수호자의 플레이트|Teller des Donnerwächters|Plaque de gardien du tonnerre
armors_tactical_flak_jacket|Tactical Flak Jacket|Taktinen Flak-takki|Colete Tático à Prova de Balas|Тактический Бронежилет|战术高射炮夹克|タクティカルフラックジャケット|전술 플랙 재킷|Taktische Flak-Jacke|Veste tactique Flak
armors_unearthed_esoteric_panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Panóplia Esotérica Desenterrada|Раскопанное Эзотерическое Снаряжение|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|발굴된 에소테릭 장비|Unearthed Esoteric Panoply|Panoplie ésotérique inédite
armors_sheep_kings_hide|Sheep King's Hide|Sheep King's Hide|Couro do Rei Ovelha|Шкура Короля овец|Sheep King's Hide|Sheep King's Hide|양 왕의 가죽|Sheep King's Hide|Peau du roi des moutons
armors_clan_leaders_pride|Clan Leader's Pride|Clan Leader's Pride|Orgulho do Líder do Clã|Гордость Лидера Клана|Clan Leader's Pride|Clan Leader's Pride|클랜 리더의 자부심|Clan Leader's Pride|Fierté du chef de clan
armors_elementalists_silk_shroud|Elementalist's Silk Shroud|Elementalist's Enchanted Shroud|Manto de Lã Encantado do Elementalista|Шелковый Саван Элементалиста|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|엘리멘탈리스트의 마법의 수의|Elementalist's Enchanted Shroud|Linceul en soie de l'élémentaliste
armors_bandit_lords_shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Manto do Senhor dos Bandidos|Саван Повелителя Бандитов|Bandit Lord's Shroud|Bandit Lord's Shroud|산적 군주의 망토|Bandit Lord's Shroud|Capuche de seigneur bandit
armors_black_knights_carapace|Black Knight's Carapace|Black Knight's Carapace|Carapaça do Cavaleiro Negro|Панцирь Черного Рыцаря|Black Knight's Carapace|Black Knight's Carapace|흑기사의 갑옷|Black Knight's Carapace|Carapace de chevalier noir
armors_behemoths_damascus_body|Behemoth's Damascus Body|Behemoth's Damascus Body|Corpo de Damasco do Behemoth|Дамасское тело Бегемота|Behemoth's Damascus Body|Behemoth's Damascus Body|베히모스의 다마스쿠스 몸|Behemoth's Damascus Body|Corps damassé de Behemoth
armors_sand_manipulators_kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Kalasiris do Manipulador das Areias|Каласирис манипулятора с песком|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|모래 조종사의 칼라시리스|Sand Manipulator's Kalasiris|Kalasiris de manipulateur de sable
armors_ymirs_frozen_vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Vestimenta Congelada de Ymir|Замороженное Облачение Имира|Ymir's Frozen Vestment|Ymir's Frozen Vestment|이미르의 얼어붙은 의복|Ymir's Frozen Vestment|Vêtement glacé d'Ymir
armors_einars_plated_armor|Einar's Plated Armor|Einar's Plated Armor|Peitoral de Einar|Покрытые пластинами Доспехи Эйнара|Einar's Plated Armor|Einar's Plated Armor|아이나르의 판금 갑옷|Einar's Plated Armor|Armure plaquée d'Einar
armors_gabriels_leather_trench_coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Sobretudo de Couro de Gabriel|Кожаный плащ Габриэля|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|가브리엘의 가죽 트렌치코트|Gabriel's Leather Trench Coat|Trench-coat en cuir de Gabriel
armors_grimbones_ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Caixa Torácica de Grimbone|Грудная клетка Гримбона|Grimbone's Ribcage|Grimbone's Ribcage|그림본의 갈비뼈|Grimbone's Ribcage|Cage thoracique de Grimbone
armors_odins_battlearmor|Odin's Battlearmor|Odin's Battlearmor|Armadura de Batalha de Odin|Боевая броня Одина|Odin's Battlearmor|Odin's Battlearmor|오딘의 전투 갑옷|Odin's Battlearmor|Armure de guerre d'Odin
armors_ironclad_protector|Ironclad Protector||Protetor de Ferro|Закованный в Броню Защитник|||철갑 수호자||Protecteur de Peau de fer
armors_magiward_battlegear|Magiward Battlegear||Equipamento de Batalha Mágica|Боевой Меч Магиварда|||마기워드 전투장비||Équipement de Garde-mage
armors_wardbreaker_armor|Wardbreaker Armor||Armadura do Protetor|Броня Разрушителя Оберегов|||와드브레이커 갑옷||Armure de Brise-garde
armors_aegisweave_robes|Aegisweave Robes||Túnicas do Tecelã da Égide|Одеяния из Aegisweave|||아이기스위브 로브||Robe de Tisségide
armors_solar_prophets_robe|Solar Prophet's Robes||Roupões do Profeta Solar|Одеяния Солнечного Пророка|||태양 예언자의 로브||
armors_stoneplate_of_corruption|Stoneplate of Corruption||Placa de Pedra da Corrupção||||타락의 돌판||
armors_butchers_aprin|Butcher's Apron||Avental do Açougueiro||||도살자의 앞치마||
armors_gabriels_broken_wings|Gabriel's Broken Wings||Asas Quebradas de Gabriel||||가브리엘의 부러진 날개||
armors_thunder_callers_robe|Thunder Caller's Robe||Manto do Invocador de Trovões||||천둥 소환사의 로브||
armors_muspelheim_guardians_scorched_plate|Muspelheim Guardian's Scorched Plate||Placa Chamuscada do Guardião de Muspelheim||||무스펠하임 수호자의 그을린 판금||
armors_venomsteel_carapace|Venomsteel Carapace||Carapaça de Aço Venenoso||||독성강철 갑옷||
armors_isarius_ironthorn_breastplate|Isarius Ironthorn Breastplate||Peitoral Aço-espinhoso de Isarius||||이사리우스 철가시 흉갑||
armors_executioneers_cocoon|Executioner's Cocoon||Casulo do Carrasco||||집행인의 고치||
armors_mantle_exiled_pagan|Exiled Pagan´s Mantle||Manto do Pagão Exilado||||추방된 이교도의 망토||
armors_runemasters_mantle|Runemaster´s Mantle||||||룬마스터의 어깨걸이||
armors_glacial_gladiators_armor|Glacial Gladiator´s Armor||||||빙하 검투사의 갑옷||
armors_magma_gladiators_armor|Magma Gladiator´s Armor||||||마그마 검투사의 갑옷||
armors_scourge_gladiators_armor|Scourge Gladiator´s Armor||||||재앙 검투사의 갑옷||
armors_arcane_gladiators_armor|Arcane Gladiator´s Armor||||||비전 검투사의 갑옷||
armors_grand_archwizards_mantle|Grand Arch Wizard´s Mantle||||||대마법사의 망토||
|||||||||
|||||||||
|||||||||
lore_armors_gem_kings_garb|In a hall bedecked with jewels, the king, consumed by greed, bestows his blessings at a cost.Insert Pristine Gems to unlock ancient powers.||Em um salão adornado com joias, o Rei, consumido pela ganância, concede suas bênçãos a um custo.|В зале, украшенном драгоценностями, король, снедаемый жадностью, дарует свои благословения дорогой ценой.|||보석으로 장식된 홀에서, 탐욕에 사로잡힌 왕은 대가를 치르고 축복을 내립니다. 고대의 힘을 해제하려면 깨끗한 보석을 삽입하세요.||Dans une salle ornée de bijoux, le roi, rongé par l'appât du gain, accorde ses bénédictions à un prix exorbitant.
lore_armors_tundra_hunters_long_coat|In the storms of a cold and frozen tundra, a lone hunter is stalking his prey.||Nas tempestades de uma tundra fria e congelada, um caçador solitário está perseguindo sua presa.|В штормах холодной и замерзшей тундры одинокий охотник выслеживает свою добычу.|||차갑고 얼어붙은 툰드라의 폭풍 속에서, 외로운 사냥꾼이 자신의 먹잇감을 추적하고 있다.||Dans les tempêtes d'une toundra froide et gelée, un chasseur solitaire traque sa proie.
lore_armors_thunder_guardians_plate|A noble warrior, infused with the storm in their veins, descends to protect the innocent.||Um nobre guerreiro, infundido com a tempestade em suas veias, desce para proteger os inocentes.|Благородный воин, наполненный бурей в своих венах, спускается, чтобы защитить невинных.|||고귀한 전사, 그들의 혈관에 폭풍이 주입된 채로, 무고한 자들을 보호하기 위해 내려온다.||Un noble guerrier, imprégné par la tempête qui coule dans ses veines, descend pour protéger les innocents.
lore_armors_st_judas_hauberk|High above the celestial realms, upon His resplendent throne, the Divine Observer gazes upon the entirety of creation, His eyes reaching every corner of existence. As the cosmic architect of justice, He unfailingly discerns the threads of fate, ready to mete out fair judgment to those who tread the paths of righteousness or wickedness.||No alto dos reinos celestiais, em seu trono resplandecente, o Observador Divino contempla toda a criação, Seus olhos alcançam cada canto da existência. Como o arquiteto cósmico da justiça, Ele discerne infalivelmente os fios do destino, pronto para aplicar um julgamento justo àqueles que trilham os caminhos da retidão ou da maldade.|Высоко над небесными царствами, на Своем блистательном троне, Божественный Наблюдатель взирает на все творение, Его глаза достигают каждого уголка существования. Как космический архитектор справедливости, Он неизменно различает нити судьбы, готовый вынести справедливый приговор тем, кто идет по пути праведности или зла.|||천상의 영역 위 높은 곳에서, 그분의 찬란한 왕좌에 앉아, 신성한 관찰자는 모든 창조물을 바라보며, 그분의 눈은 존재의 모든 구석구석을 꿰뚫어 봅니다. 우주의 정의의 건축가로서, 그분은 운명의 실을 틀림없이 구별하며, 의로움이나 악의 길을 걷는 자들에게 공정한 심판을 내릴 준비가 되어 있습니다.||Au-dessus des royaumes célestes, sur son trône resplendissant, l'Observateur divin contemple l'ensemble de la création, ses yeux atteignant chaque recoin de l'existence. Architecte cosmique de la justice, il discerne infailliblement les fils du destin, prêt à rendre un jugement équitable à ceux qui empruntent les chemins de la justice ou de la malveillance.
lore_armors_grimbones_ribcage|Ribcage of a thousand souls forged from the corpses of fallen warriors in Niflhel.||A Caixa Torácica de mil almas forjada a partir dos cadáveres de guerreiros mortos em Nifhel.|Грудная клетка тысячи душ, выкованная из трупов павших воинов в Нифльхеле.|||니플헬에서 쓰러진 전사들의 시체로 단련된 천 개의 영혼의 늑골.||Prison spirituelle d'un millier d'âmes forgée à partir des cadavres des guerriers tombés à Niflhel.
lore_armors_stoneplate_of_corruption|From the darkest pits of hell, forged in the pool of lost souls wields its carrier with eternal corruption..||Das profundezas mais sombrias do inferno, forjado na piscina de almas perdidas, empunha seu portador com corrupção eterna...||||지옥의 가장 어두운 구덩이에서, 잃어버린 영혼들의 풀장에서 단련된 이 무기는 그 운반자를 영원한 타락으로 이끕니다...||
lore_armors_gabriels_broken_wings|The broken wings of a fallen angel..||As asas quebradas de um anjo caído..||||타락한 천사의 부러진 날개..||
lore_armors_tayrels_chestplate|Chestplate of the divine singularity..||Peitoral da singularidade divina..||||신성한 특이점의 흉갑..||
lore_armors_executioneers_cocoon|Splattered by blood of the executioned||Manchada pelo sangue dos executados.||||처형된 자의 피에 얼룩진||
lore_armors_mantle_exiled_pagan|Exiled for preaching a false prophecy.. The mantle reeks of dark energy..||Exilado por pregar uma falsa profecia... O manto fede a energia escura...||||거짓 예언을 전파한 죄로 추방되었다.. 망토에서 어두운 에너지가 풍긴다..||
lore_armors_grand_archwizards_mantle|Perfectly preserved through the test of time holding immense power within..||||||시간의 시험을 견디며 완벽하게 보존된 채 엄청난 힘을 품고 있다..||
|||||||||
|||||||||
[helms]|||||||||
helmet_normal_cap|Cap||Gorro|Колпачок|||||Capuchon
helmet_normal_casque|Casque||Casco|Casque|||헬멧||Heaume
helmet_normal_basinet|Basinet||Basinet|Басинет|||||Bassinet
helmet_normal_war_hat|War Hat||Capacete de Guerra|Военная Шляпа|||전쟁 모자||Capuchon de guerre
helmet_normal_great_helm|Great Helm||Elmo |Отличный Шлем|||대형 투구||Grand heaume
helmet_normal_war_visage|War Visage||Viseira de Guerra|Облик Войны|||전쟁의 얼굴||Masque de guerre
helmet_normal_shako|Shako||Barretina|Кивер|||||Shako
helmet_normal_horned_helm|Horned Helm||Capacete com Chifre|Рогатый Шлем|||뿔 달린 투구||Heaume à cornes
helmet_normal_basilisk_skull|Basilisk Skull||Capacete do Basilisco|Череп Василиска|||바실리스크 해골||Crâne de Basilic
|||||||||
[helms_unique]|||||||||
helmet_harlequin_crest|Harlequinn's Crest||Elmo do Arlequim|Герб Арлекина|||하이레퀸의 문장||Cimier arlequin
helmet_harlequins_veil|Harlequinn's Veil||Véu do Arlequim||||할리퀸의 베일||
helmet_colossal_avenger|The Colossal Avenger|Jättimäinenkostaja|O Vingador Colossal|Колоссальный Мститель|巨人复仇者|復讐者軍団|거대한 복수자|Der Kolossale Rächer|Le vengeur colossal
helmet_demon_warlords_helm|Demon Warlord's Helm|Demonisotaherran Kypärä|Elmo do Demônio Senhor da Guerra|Шлем Военачальника Демонов|恶魔军阀的头盔|デーモン武将の兜|악마 장군의 투구|Helm des Dämonischen Kriegsherrn|Casque de seigneur de guerre démoniaque
helmet_the_bucket|The Bucket|Ämpäri|O Balde|Ведро|桶|バケツ|양동이|Der Eimer|Le seau
helmet_sky_crusader_helm|Sky Crusader Helm|Taivasristiretkeilykypärä|Elmo do Cruzado do Céu|Шлем Небесного Крестоносца|天空十字军头盔|空のクルセーダーの兜|하늘의 십자군 투구|Helm des Himmlischen Kreuzritters|Casque de croisé du ciel
helmet_helm_of_dominator|Helm of Dominator|Dominoijan Kypärä|Elmo do Dominador|Руль Властелина|霸主的头盔|支配者の兜|정복자의 투구|Helm des Beherrschers|Casque de dominateur
helmet_faceless_priest|The Faceless Priest|Kasvoton Pappi|O Sacerdote sem Rosto|Безликий Священник|无脸祭司|顔の無い祭司|얼굴 없는 성직자|Der Gesichtslose Priester|Le prêtre sans visage
helmet_uabels_helmet|Uabel's Helmet|Uabelin Kypärä|Capacete de Uabel|Шлем Уабеля|乌贝尔头盔|ユーベルの兜|와벨의 투구|Uabels Helm|Casque d'Uabel
helmet_reapers_hood|Reaper's Hood|Viikatemiehen Kaapu|Capuz do Ceifador|Капюшон Жнеца|死神的兜帽|死神のフード|사신의 두건|Schnitterkapuze|Capuche de faucheur
helmet_genjis_battle_helmet|Genji's Battle Helmet|Genjin Taistelukypärä|Capacete de Batalha de Genji|Боевой шлем Гэндзи|根吉的战斗头盔|ゲンジのバトル兜|겐지의 전투 투구|Genjis Kampfhelm|Casque de combat de Genji
helmet_mevius_mighty_helmet|Mevius' Mighty Helmet|Meviuksen Mahtava Kypärä|Capacete Poderoso de Mevius|Могучий шлем Мевиуса|梅维乌斯强大头盔|メビウスの偉大な兜|뫼비우스의 힘의 투구|Mevius' Mächtiger Helm|Casque puissant de Mevius
helmet_flame_gods_helmet|Flame God's Helmet|Tulijumalan Kypärä|Capacete do Deus das Chamas|Шлем Бога Пламени|火王的头盔|炎神の兜|화염 신의 투구|Helm des Flammengottes|Casque de dieu des flammes        
helmet_ice_kings_crown|Ice King's Crown|Jääkuninkaan Kruunu|Coroa do Rei do Gelo|Корона Ледяного короля|冰王皇冠|氷の王の冠|얼음 왕의 왕관|Krone des Eiskönigs|Couronne de roi des glaces
helmet_zeus_circlet|Zeus' Circlet|Zeuksen Otsaripa|Tiara de Zeus|Обруч Зевса|宙斯的环形头饰|ゼウスのサークレット|제우스 서클릿|Zeus' Reif|Diadème de Zeus
