Unnamed: 0|en|[fi]|pt|ru|zh|ja|ko|de|fr
subDescPirateLandAhoy07|Increases damage dealt to stunned targets.||||||기절한 대상에게 가하는 피해가 증가합니다.||
subDescPirateLandAhoy08|Chance on hit to stun.||||||공격 시 기절 확률.||
subDescPirateLandAhoy09|Chance on cast to fire larger bombs knocking monsters airborne on hit dealing increased damage.||||||시전 시 확률적으로 더 큰 폭탄을 발사하여 몬스터를 공중으로 띄우고 추가 피해를 줍니다.||
subDescPirateLandAhoy10|Increases bomb damage based on explosion area of effect stat.||||||폭발 범위 효과 스탯에 따라 폭탄 피해 증가.||
subDescPirateLandAhoy11|Significantly decreases the area of effect radius of land ahoy! and increasing the amount of cannon balls. ||||||육지 발견!의 효과 범위를 크게 줄이고 대포알의 양을 증가시킵니다.||
subDescPirateLandAhoy12|Drop a reduced amount of big bombs on a significantly larger radius. Land Ahoy! now has a cooldown. ||||||큰 폭탄을 적은 양으로 더 넓은 반경에 떨어뜨립니다. 이제 '랜드 아호이!'는 쿨다운이 있습니다.||
subDescPirateLandAhoy13|Mark a location and fire bombs landing from your location to target location in a narrow line.||||||위치를 지정하고 폭탄을 발사하여 지정된 위치에 좁은 선으로 떨어뜨립니다.||
subDescPirateLandAhoy14|Damage type is changed to Fire. Explosive Barrels rain from the sky inflicting burning on hit ||||||피해 유형이 화염으로 변경됩니다. 하늘에서 폭발성 통이 떨어져 적중 시 화상을 입힙니다.||
|||||||||
subNomadSandCarver01|Desert Mix||||||사막 믹스||
subNomadSandCarver02|Concentrated Sand||||||농축된 모래||
subNomadSandCarver03|Glass Shards||||||유리 조각||
subNomadSandCarver04|Special Pouch||||||특별 주머니||
subNomadSandCarver05|Vortex Master||||||소용돌이 마스터||
subNomadSandCarver06|Combat Skills||||||전투 기술||
subNomadSandCarver07|Swift Strikes||||||신속한 공격||
subNomadSandCarver08|Raw Power||||||원초적인 힘||
subNomadSandCarver09|Headwind||||||||
subNomadSandCarver10|Sand Infusion||||||모래 주입||
subNomadSandCarver11|Eviscerate||||||||
subNomadSandCarver12|Parasitical Sand||||||기생 모래||
subNomadSandCarver13|Piercing Sands||||||관통하는 모래||
subNomadSandCarver14|Desert´s Blade||||||사막의 검||
subDescNomadSandCarver01|Increases the amount of sand thrown.||||||던지는 모래의 양을 증가시킵니다.||
subDescNomadSandCarver02|Increases the damage dealt by sand carver.||||||모래 조각기의 피해량이 증가합니다.||
subDescNomadSandCarver03|Thrown sand has a chance to inflict bleeding on hit.||||||모래를 던지면 적중 시 출혈을 일으킬 확률이 있습니다.||
subDescNomadSandCarver04|Increases the damage dealt to bosses by sand carver.||||||모래 조각가가 보스에게 가하는 피해 증가.||
subDescNomadSandCarver05|Chance on kill to spawn a small sand vortex.||||||적 처치 시 작은 모래 소용돌이가 생성될 확률이 있습니다.||
subDescNomadSandCarver06|Chance on hit to gain increased dodge chance for a short period.||||||공격 시 일정 시간 동안 회피 확률 증가||
subDescNomadSandCarver07|Increases attack speed when using sand carver.||||||모래 조각기를 사용할 때 공격 속도가 증가합니다.||
subDescNomadSandCarver08|Increases attack damage dealt by sand carver.||||||모래 조각가의 공격력을 증가시킵니다.||
subDescNomadSandCarver09|Increases the projectile speed of sand thrown.||||||던지는 모래의 발사체 속도가 증가합니다.||
subDescNomadSandCarver10|Chance to inflict armor break and arcane break on hit.||||||적중 시 방어구 파괴 및 비전 파괴 확률||
subDescNomadSandCarver11|Critical strikes cause the nomad to throw sand in a circle around him stunning and dealing additional damage.||||||치명타는 유목민이 주위에 모래를 던져 기절시키고 추가 피해를 입힙니다.||
subDescNomadSandCarver12|Thrown sand now sticks to the targets dealing damage over time for a short period.||||||던진 모래가 이제 대상에 붙어 짧은 시간 동안 지속 피해를 줍니다.||
subDescNomadSandCarver13|Thrown sand is now piercing and has a chance to fork on hit.||||||던진 모래는 이제 관통하며 맞았을 때 갈라질 확률이 있습니다.||
subDescNomadSandCarver14|Chance on attack to summon a big tornado pulling in and dealing additional damage to nearby monsters.||||||공격 시 큰 토네이도를 소환하여 주변 몬스터를 끌어들이고 추가 피해를 입힐 확률이 있습니다.||
|||||||||
subNomadCloudOfSand01|Breeze||||||||
subNomadCloudOfSand02|Desert's Spirit||||||사막의 영혼||
subNomadCloudOfSand03|Sand Twisters||||||||
subNomadCloudOfSand04|Desert's Will||||||사막의 의지||
subNomadCloudOfSand05|Desert's Endurance||||||사막의 인내||
subNomadCloudOfSand06|Sandbender||||||모래술사||
subNomadCloudOfSand07|Zephyr||||||||
subNomadCloudOfSand08|Heavy Sand||||||무거운 모래||
subNomadCloudOfSand09|Dust Storm||||||먼지 폭풍||
subNomadCloudOfSand10|Hand of the Oasis||||||오아시스의 손||
subNomadCloudOfSand11|Cloud Bender||||||클라우드 벤더||
subNomadCloudOfSand12|Field of Quicksand||||||모래늪 지대||
subNomadCloudOfSand13|Desert´s Echo||||||사막의 메아리||
subNomadCloudOfSand14|Ascension||||||승천||
subDescNomadCloudOfSand01|Decreases movement diminish when using cloud of sand.||||||모래 구름을 사용할 때 이동 감소가 줄어듭니다.||
subDescNomadCloudOfSand02|Increases cast rate when using cloud of sand.||||||모래 구름을 사용할 때 시전 속도가 증가합니다.||
subDescNomadCloudOfSand03|Teleporting into the cloud now unleashes multiple sand tornados around the cloud.||||||구름으로 순간이동하면 구름 주변에 여러 개의 모래 회오리바람이 발생합니다.||
subDescNomadCloudOfSand04|Decreases mana cost when using cloud of sand.||||||모래 구름을 사용할 때 마나 소모 감소.||
subDescNomadCloudOfSand05|Increases the duration of cloud of sand.||||||모래 구름의 지속 시간을 증가시킵니다.||
subDescNomadCloudOfSand06|Cloud of sand now leaves behind a trail of tornados.||||||모래 구름이 이제 회오리바람을 남깁니다.||
subDescNomadCloudOfSand07|Increases the projectile speed of cloud of sand.||||||모래 구름의 투사체 속도를 증가시킵니다.||
subDescNomadCloudOfSand08|Increases the damage dealt by cloud of sand.||||||모래 구름이 입히는 피해량이 증가합니다.||
subDescNomadCloudOfSand09|Increases the size of cloud of sand.||||||모래 구름의 크기를 증가시킵니다.||
subDescNomadCloudOfSand10|Inflicts arcane break on hit.||||||타격 시 비전 파괴를 가합니다.||
subDescNomadCloudOfSand11|The cloud is now under your control gaining increased size and damage.||||||이제 구름을 제어하여 크기와 피해량이 증가합니다.||
subDescNomadCloudOfSand12|Teleporting to the cloud now summons multiple small sand vortexes around it.||||||이제 구름으로 순간이동하면 주변에 여러 개의 작은 모래 소용돌이가 소환됩니다.||
subDescNomadCloudOfSand13|Summon multiple clouds dealing increased damage. You are no longer able to teleport into the cloud.||||||여러 구름을 소환하여 피해를 증가시킵니다. 이제 구름 속으로 순간이동할 수 없습니다.||
subDescNomadCloudOfSand14|Teleporting to the cloud now renders you immortal for a short period. Cloud of sand now has a cooldown.||||||이제 구름으로 순간이동하면 잠시 동안 불사의 상태가 됩니다. 모래 구름은 이제 재사용 대기시간이 있습니다.||
|||||||||
subNomadSandTremors01|Amplified Frequency||||||증폭된 주파수||
subNomadSandTremors02|Light Footwork||||||경쾌한 발놀림||
subNomadSandTremors03|Oasis Impaler||||||오아시스 임팔러||
subNomadSandTremors04|Internal Bleeding||||||내부 출혈||
subNomadSandTremors05|Waves of Despair||||||절망의 파도||
subNomadSandTremors06|Shock Therapy||||||충격 요법||
subNomadSandTremors07|Tremor´s Reach||||||진동의 손길||
subNomadSandTremors08|Conjuring Winds||||||마법의 바람||
subNomadSandTremors09|Exchange of Life||||||생명의 교환||
subNomadSandTremors10|Area of Impact||||||영향 지역||
subNomadSandTremors11|Shrouding Sand||||||모래 장막||
subNomadSandTremors12|Pulsating Tremors||||||맥동하는 진동||
subNomadSandTremors13|Night at the Desert||||||사막의 밤||
subNomadSandTremors14|Dune Warrior||||||듄 전사||
subDescNomadSandTremors01|Chance on attack to spawn additional tremors.||||||공격 시 추가 진동 발생 확률.||
subDescNomadSandTremors02|Decreases movement diminish when using sand tremors.||||||모래 진동을 사용할 때 이동 감소가 줄어듭니다.||
subDescNomadSandTremors03|Chance on hit to inflict bleeding for a portion of the damage.||||||타격 시 일정 확률로 출혈 상태를 유발하여 피해의 일부를 입힙니다.||
subDescNomadSandTremors04|Increases damage to bleeding targets.||||||출혈 상태의 적에게 가하는 피해 증가.||
subDescNomadSandTremors05|Increases the area of effect radius of sand tremors.||||||모래 진동의 효과 범위를 증가시킵니다.||
subDescNomadSandTremors06|Increases the damage dealt by sand tremors.||||||모래 진동으로 인한 피해량이 증가합니다.||
subDescNomadSandTremors07|Increases attack range when using sand tremors.||||||모래 진동을 사용할 때 공격 범위가 증가합니다.||
subDescNomadSandTremors08|Chance on hit to send a sand tornado towards the target dealing additional damage.||||||타격 시 일정 확률로 대상에게 모래 토네이도를 보내 추가 피해를 입힙니다.||
subDescNomadSandTremors09|Killing monsters with sand tremors restores your life.||||||모래 진동으로 몬스터를 처치하면 생명이 회복됩니다.||
subDescNomadSandTremors10|Increases critical strike damage dealt by sand tremors.||||||모래 진동에 의한 치명타 피해가 증가합니다.||
subDescNomadSandTremors11|Striking monsters now enshrouds you in a sandstorm which gradually shrinks and disappears. Striking additional enemies causes it to grow larger and last longer.||||||몬스터를 공격하면 모래 폭풍이 생성되어 점차 작아지고 사라집니다. 추가로 적을 공격하면 모래 폭풍이 커지고 지속 시간이 길어집니다.||
subDescNomadSandTremors12|Tremors now travel a short distance dealing additional damage.||||||지진이 짧은 거리를 이동하며 추가 피해를 입힙니다.||
subDescNomadSandTremors13|Tremors deal increased damage and inflict permafrost on hit.||||||지진은 피해를 증가시키고 명중 시 영구 동결을 일으킵니다.||
subDescNomadSandTremors14|Striking monsters adds a stack of dune warrior sending multiple tornados dealing additional damage in an arc upon reaching maximum stacks.||||||몬스터를 공격하면 모래 전사의 스택이 쌓이고, 최대 스택에 도달하면 여러 개의 토네이도가 추가 피해를 주는 호를 그리며 발사됩니다.||
|||||||||
subNomadSandGush01|Desert´s Sand||||||사막의 모래||
subNomadSandGush02|Gushing Winds||||||거센 바람||
subNomadSandGush03|Piercing Sand||||||||
subNomadSandGush04|Stranded Impact||||||좌초 충격||
subNomadSandGush05|Armor Piercing Flow||||||장갑 관통 흐름||
subNomadSandGush06|Gusting Winds||||||강풍||
subNomadSandGush07|Desert Storm||||||사막 폭풍||
subNomadSandGush08|Overwhelming Sand||||||압도적인 모래||
subNomadSandGush09|Contaminated Wounds||||||오염된 상처||
subNomadSandGush10|Tamed Winds||||||길들인 바람||
subNomadSandGush11|Desert Cyclones||||||사막의 회오리바람||
subNomadSandGush12|Sandstorm||||||모래 폭풍||
subNomadSandGush13|Sand Tornado||||||모래 회오리||
subNomadSandGush14|Dust Devils||||||더스트 데블스||
subDescNomadSandGush01|Increases the area of effect radius of sand gush.||||||모래 분출의 효과 범위 반경을 증가시킵니다.||
subDescNomadSandGush02|Chance on cast to increase the size and damage of tornados.||||||주문 시 일정 확률로 토네이도의 크기와 피해량 증가.||
subDescNomadSandGush03|Increases the damage dealt by sand gush.||||||모래 분출에 의한 피해 증가.||
subDescNomadSandGush04|Increases damage dealt to stunned targets.||||||기절한 대상에게 가하는 피해 증가.||
subDescNomadSandGush05|Inflicts arcane break on hit.||||||명중 시 신비한 파괴를 가합니다.||
subDescNomadSandGush06|Increases the speed of sand tornados.||||||모래 회오리의 속도가 증가합니다.||
subDescNomadSandGush07|Increases the amount of sand tornados.||||||모래 토네이도의 수가 증가합니다.||
subDescNomadSandGush08|Tornados have a chance on hit to inflict bleeding for a portion of the damage.||||||토네이도는 타격 시 일정 확률로 피해의 일부를 출혈 상태로 만듭니다.||
subDescNomadSandGush09|Increases damage dealt to bleeding targets.||||||출혈 중인 대상에게 가하는 피해량 증가.||
subDescNomadSandGush10|Tornados now spin outwards following the nomad.||||||토네이도가 유목민을 따라 바깥쪽으로 회전합니다.||
subDescNomadSandGush11|Tornados spawn multiple small cyclones on hit.||||||토네이도가 맞으면 여러 개의 작은 사이클론이 생성됩니다.||
subDescNomadSandGush12|Cast continuous gushes around you for a short period with increased radius and damage. Sand Gush now has a cooldown.||||||주변에 일정 시간 동안 증가된 반경과 피해로 연속적인 물줄기를 발사합니다. 이제 모래 분출에는 재사용 대기시간이 있습니다.||
subDescNomadSandGush13|Send out a sand tornado casting sand gush continuously.||||||모래 토네이도를 보내어 계속해서 모래를 뿜어냅니다.||
subDescNomadSandGush14|Unleash small dust devils bouncing off of walls and unleashing a pulse of sand on hit.||||||벽에 튕기며 작은 먼지 악마를 풀어놓고, 맞으면 모래 파동을 방출합니다.||
|||||||||
subNomadSandVortex01|Desert Mass||||||||
subNomadSandVortex02|Quicksand||||||유사||
subNomadSandVortex03|Shredding Sand||||||모래 갈기||
subNomadSandVortex04|Locust Whirlpool||||||메뚜기 소용돌이||
subNomadSandVortex05|Stuttering Pull||||||더듬거리는 당김||
subNomadSandVortex06|Desert Control||||||사막 제어||
subNomadSandVortex07|Lasting Whirlpool||||||지속되는 소용돌이||
subNomadSandVortex08|Veil of Sand||||||모래의 장막||
subNomadSandVortex09|Breaking Sands||||||모래를 깨다||
subNomadSandVortex10|Brain Damaging Whirl||||||뇌 손상 회오리||
subNomadSandVortex11|Sunken Field||||||가라앉은 들판||
subNomadSandVortex12|Accelerated Sand||||||가속된 모래||
subNomadSandVortex13|Cycloning Kraken||||||회오리 크라켄||
subNomadSandVortex14|Slow Burn||||||천천히 타오름||
subDescNomadSandVortex01|Increases the area of effect radius of sand vortex.||||||모래 소용돌이의 효과 범위 반경을 증가시킵니다.||
subDescNomadSandVortex02|Increases pulling strength.||||||끌어당기는 힘을 증가시킵니다.||
subDescNomadSandVortex03|Increases the damage dealt by sand vortex.||||||모래 소용돌이로 인한 피해량이 증가합니다.||
subDescNomadSandVortex04|Restores mana on hit.||||||공격 시 마나 회복||
subDescNomadSandVortex05|Chance to stun monsters on hit.||||||공격 시 몬스터를 기절시킬 확률.||
subDescNomadSandVortex06|Reduces the cooldown of sand vortex.||||||모래 소용돌이의 재사용 대기시간을 줄입니다.||
subDescNomadSandVortex07|Increases the duration of sand vortex.||||||모래 소용돌이의 지속 시간을 증가시킵니다.||
subDescNomadSandVortex08|Increases damage dealt to stunned targets.||||||기절한 대상에게 가하는 피해량 증가.||
subDescNomadSandVortex09|Inflicts arcane break on hit.||||||명중 시 비전 파괴를 가합니다.||
subDescNomadSandVortex10|Sand vortex now executes targets below a certain percentage of life.||||||모래 소용돌이는 이제 특정 생명력 이하의 대상을 처형합니다.||
subDescNomadSandVortex11|Summon multiple small sand vortexes around target location with increased damage.||||||대상 위치 주변에 여러 개의 작은 모래 소용돌이를 소환하여 피해를 증가시킵니다.||
subDescNomadSandVortex12|Sand vortex size and tick rate increases rapidly but lasts for a shorter duration.||||||모래 소용돌이의 크기와 틱 속도가 급격히 증가하지만 지속 시간은 짧아집니다.||
subDescNomadSandVortex13|Sand vortex now spawns cycling tornados from its center.||||||모래 소용돌이의 중심에서 회전하는 토네이도가 생성됩니다.||
subDescNomadSandVortex14|Sand vortex now doesn’t pull monsters but slows them and inflicts burning for a portion of the damage on hit.||||||이제 모래 소용돌이는 몬스터를 끌어들이지 않고, 대신 그들을 느리게 하고 적중 시 피해의 일부를 불태웁니다.||
|||||||||
subNomadBladeStrike01|Ferocious Swipe||||||맹렬한 휩쓸기||
subNomadBladeStrike02|Blade´s Edge||||||블레이드 엣지||
subNomadBladeStrike03|Lethal Swing||||||치명적인 휘두름||
subNomadBladeStrike04|Blade Master||||||블레이드 마스터||
subNomadBladeStrike05|Gut Slicer||||||창자 절단기||
subNomadBladeStrike06|Catch Up Blade||||||추적의 검||
subNomadBladeStrike07|Cleaving Slash||||||||
subNomadBladeStrike08|Agile Striker||||||민첩한 공격수||
subNomadBladeStrike09|Bounty Hunting||||||현상 수배||
subNomadBladeStrike10|Tribal Commander||||||부족 사령관||
subNomadBladeStrike11|Skewering Blades||||||꿰뚫는 칼날||
subNomadBladeStrike12|Brutalizing Cleave||||||잔혹한 베기||
subNomadBladeStrike13|Stacked Blade||||||중첩된 칼날||
subNomadBladeStrike14|Giant Slayer||||||거인 학살자||
subDescNomadBladeStrike01|Increases critical strike chance when using blade strike.||||||칼날 공격 사용 시 치명타 확률 증가.||
subDescNomadBladeStrike02|Increases critical strike damage when using blade strike.||||||칼날 공격 사용 시 치명타 피해 증가||
subDescNomadBladeStrike03|Increases damage dealt by blade strike.||||||칼날 공격으로 인한 피해 증가||
subDescNomadBladeStrike04|Increases attack rating when using blade strike.||||||칼날 공격 사용 시 명중률 증가||
subDescNomadBladeStrike05|Inflicts armor break on hit.||||||적중 시 방어구 파괴||
subDescNomadBladeStrike06|Chance on attack to throw your weapon with force dealing additional damage and bouncing from terrain. ||||||공격 시 무기를 던져 추가 피해를 주고 지형에 튕길 확률이 있습니다.||
subDescNomadBladeStrike07|Increases the area of effect of blade strike.||||||칼날 공격의 효과 범위를 증가시킵니다.||
subDescNomadBladeStrike08|Chance on attack to strike additional times.||||||공격 시 추가 타격의 기회가 있습니다.||
subDescNomadBladeStrike09|Chance on hit to increase your strength for a short period of time.||||||공격 시 일정 시간 동안 힘이 증가할 확률이 있습니다.||
subDescNomadBladeStrike10|Gain a portion of your strength as all attributes.||||||모든 속성으로 힘의 일부를 획득하십시오.||
subDescNomadBladeStrike11|Unleash flying blades on monster hit dealing area of effect damage and inflict bleeding.||||||몬스터를 타격하여 비행 칼날을 날리고 범위 피해를 입히며 출혈 상태로 만듭니다.||
subDescNomadBladeStrike12|Gain increased attack range and damage slightly knocking enemies back stunning them.||||||공격 범위가 증가하고 적을 약간 밀쳐 기절시킵니다.||
subDescNomadBladeStrike13|Striking a monster applies a debuff which when reaching max stacks will unleash multiple blades dealing additional damage and bouncing from terrain.||||||몬스터를 타격하면 디버프가 적용되며, 최대 중첩에 도달하면 여러 개의 칼날이 발사되어 추가 피해를 주고 지형을 튕깁니다.||
subDescNomadBladeStrike14|Critical strike damage by blade strike is increased based on your vitality.||||||블레이드 공격의 치명타 피해가 당신의 생명력에 따라 증가합니다.||
|||||||||
subNomadEyeOfRa01|Sunburn||||||햇볕에 탐||
subNomadEyeOfRa02|Ray´s of Wisdom||||||지혜의 광선||
subNomadEyeOfRa03|Solar Flow||||||태양 흐름||
subNomadEyeOfRa04|Ultra Violet Radiation||||||자외선 방사선||
subNomadEyeOfRa05|Scorching Sun||||||타오르는 태양||
subNomadEyeOfRa06|Ra´s Wrath||||||라의 분노||
subNomadEyeOfRa07|Heat Paralysis||||||열 마비||
subNomadEyeOfRa08|Piercing Sunlight||||||관통하는 햇빛||
subNomadEyeOfRa09|Armed Light||||||무장된 빛||
subNomadEyeOfRa10|Piercing Radiation||||||관통 방사선||
subNomadEyeOfRa11|God of Gods||||||신들의 신||
subNomadEyeOfRa12|Pillar of Light||||||빛의 기둥||
subNomadEyeOfRa13|Orbiting the Sun||||||태양 주위 궤도||
subNomadEyeOfRa14|Lightbringer||||||빛의 인도자||
subDescNomadEyeOfRa01|Increases the maximum targets per hit being affected by eye of ra.||||||라의 눈에 의해 영향을 받는 최대 타겟 수가 증가합니다.||
subDescNomadEyeOfRa02|Increases damage dealt by sun rays based on your energy.||||||에너지를 기반으로 태양 광선에 의한 피해량이 증가합니다.||
subDescNomadEyeOfRa03|Increases the range of the sun rays.||||||태양 광선의 범위를 증가시킵니다.||
subDescNomadEyeOfRa04|Chance on hit to inflict burning for a portion of the damage dealt by eye of ra.||||||타격 시 일정 확률로 라의 눈이 가한 피해의 일부를 불태우는 효과를 발동합니다.||
subDescNomadEyeOfRa05|Increases damage dealt to burning targets.||||||불타는 대상에게 가하는 피해 증가.||
subDescNomadEyeOfRa06|Increases the amount of sun rays additionally inflicting slow on hit.||||||햇살의 양을 증가시키고, 적중 시 추가로 느려지게 합니다.||
subDescNomadEyeOfRa07|Inflicts fire break on hit.||||||명중 시 화염 파괴를 입힙니다.||
subDescNomadEyeOfRa08|Increases critical strike damage dealt by eye of ra.||||||라의 눈에 의한 치명타 피해 증가||
subDescNomadEyeOfRa09|Increases attack rating when using eye of ra.||||||라의 눈을 사용할 때 명중률이 증가합니다.||
subDescNomadEyeOfRa10|Inflicts armor break on hit.||||||적중 시 방어구 파괴를 입힙니다.||
subDescNomadEyeOfRa11|Unleash eye of ra on all nearby monsters. Eye of Ra now has a cooldown. ||||||근처의 모든 몬스터에게 라의 눈을 발동합니다. 라의 눈은 이제 쿨타임이 있습니다.||
subDescNomadEyeOfRa12|Unleash pillars of light in a narrow line each dealing damage over time and slowing on hit. ||||||좁은 선을 따라 빛의 기둥을 발사하여 시간 경과에 따라 피해를 주고 맞은 적을 느리게 합니다.||
subDescNomadEyeOfRa13|Unleash multiple light pillars orbiting you dealing increased damage.||||||여러 개의 빛 기둥을 방출하여 주위를 돌며 피해를 증가시킵니다.||
subDescNomadEyeOfRa14|Eye of Ra unleashes a storm of light pillars at the last target. ||||||라의 눈이 마지막 목표에 빛의 기둥 폭풍을 발사합니다.||
|||||||||
subNomadFlyingScimitar01|Afterslice||||||애프터슬라이스||
subNomadFlyingScimitar02|Sharpened Blade||||||날카로운 칼날||
subNomadFlyingScimitar03|Slice and Flight||||||슬라이스 앤 플라이트||
subNomadFlyingScimitar04|Widened Blade||||||넓어진 칼날||
subNomadFlyingScimitar05|Blade´s Vengeance||||||블레이드의 복수||
subNomadFlyingScimitar06|Rupturing Flyby||||||비행 중 파열||
subNomadFlyingScimitar07|Scimitar´s Edge||||||시미터의 날||
subNomadFlyingScimitar08|Maiming Scimitar||||||절단의 시미터||
subNomadFlyingScimitar09|Last Wish||||||마지막 소원||
subNomadFlyingScimitar10|Salted Blade||||||소금에 절인 칼||
subNomadFlyingScimitar11|Flying Swarm||||||비행 무리||
subNomadFlyingScimitar12|Sticking Blade||||||찔러넣기 칼날||
subNomadFlyingScimitar13|League of Nomad||||||유목민의 리그||
subNomadFlyingScimitar14|Orbital Blade Strike||||||궤도 칼날 강타||
subDescNomadFlyingScimitar01|Chance on attack to cast another scimitar.||||||공격 시 또 다른 시미터를 시전할 확률이 있습니다.||
subDescNomadFlyingScimitar02|Increases the damage dealt by flying scimitar.||||||비행 시미터로 가하는 피해 증가||
subDescNomadFlyingScimitar03|Increases the projectile speed of flying scimitar.||||||비행 시미타르의 발사체 속도가 증가합니다.||
subDescNomadFlyingScimitar04|Increases the size of the scimitars.||||||시미터의 크기를 증가시킵니다.||
subDescNomadFlyingScimitar05|Returning scimitars pull enemies towards you with a chance to slow them.||||||되돌아오는 시미터가 적을 당신에게 끌어당기며 느려질 확률이 있습니다.||
subDescNomadFlyingScimitar06|Chance on attack for flying scimitar to inflict bleeding on hit.||||||공격 시 비행하는 시미터가 적중 시 출혈을 일으킬 확률이 있습니다.||
subDescNomadFlyingScimitar07|Increases critical strike chance when using flying scimitar.||||||비행 시미타를 사용할 때 치명타 확률이 증가합니다.||
subDescNomadFlyingScimitar08|Increases critical strike damage dealt by flying scimitar.||||||비행 시미타의 치명타 피해량 증가.||
subDescNomadFlyingScimitar09|Flying scimitar now executes targets below a certain percentage of life.||||||날아다니는 시미타르가 이제 일정 비율 이하의 생명력을 가진 대상을 처형합니다.||
subDescNomadFlyingScimitar10|Increases damage to bleeding targets.||||||출혈 상태의 적에게 주는 피해 증가||
subDescNomadFlyingScimitar11|Throw multiple smaller scimitars with decreased damage.||||||여러 개의 작은 시미터를 던지지만, 피해량이 감소합니다.||
subDescNomadFlyingScimitar12|Scimitars now attach to the first target for a short period dealing damage over time and returning back to the nomad.||||||스키미터가 이제 첫 번째 대상에 잠시 동안 부착되어 지속적인 피해를 입히고 유목민에게 돌아옵니다.||
subDescNomadFlyingScimitar13|Scimitars now return to their spawning location. Successfully catching the returning scimitars increases your damage for a short period.||||||이제 시미터가 생성 위치로 돌아옵니다. 돌아오는 시미터를 성공적으로 잡으면 잠시 동안 피해량이 증가합니다.||
subDescNomadFlyingScimitar14|Scimitars are now spawned in a circle around the nomad with increased projectile speed and pulled back dealing increased damage. Scimitar Throw now has a cooldown.||||||이제 스키미타가 유목민 주위에 원형으로 생성되며 투사체 속도가 증가하고 뒤로 당겨져 더 많은 피해를 줍니다. 스키미타 던지기는 이제 쿨다운이 있습니다.||
|||||||||
subNomadChainSlice01|Slice and Dice||||||난도질하기||
subNomadChainSlice02|Slicing Accuracy||||||절단 정확도||
subNomadChainSlice03|Penetrating Flesh||||||관통하는 살||
subNomadChainSlice04|Field Cover||||||은폐물||
subNomadChainSlice05|Vagabond Quickblades||||||방랑자의 빠른 검||
subNomadChainSlice06|Extended Blade||||||확장된 블레이드||
subNomadChainSlice07|Poisoned Shiv||||||독이 든 단검||
subNomadChainSlice08|Master Slicer||||||마스터 슬라이서||
subNomadChainSlice09|Agile Footwork||||||민첩한 발놀림||
subNomadChainSlice10|Infected Wounds||||||감염된 상처||
subNomadChainSlice11|Bloodburn||||||피의 불꽃||
subNomadChainSlice12|Ghost Blade||||||유령 칼날||
subNomadChainSlice13|Critical Shred||||||치명적인 분쇄||
subNomadChainSlice14|Chainception||||||체인셉션||
subDescNomadChainSlice01|Increases the amount of bounces for chainslice.||||||체인슬라이스의 튕김 횟수를 증가시킵니다.||
subDescNomadChainSlice02|Increases attack rating when using chainslice.||||||체인슬라이스 사용 시 명중률 증가||
subDescNomadChainSlice03|Inflict armor break on hit.||||||명중 시 방어구 파괴||
subDescNomadChainSlice04|Increases the range of chainslice.||||||체인 슬라이스의 범위가 증가합니다.||
subDescNomadChainSlice05|Increases the projectile speed of chainslice.||||||체인슬라이스의 투사체 속도가 증가합니다.||
subDescNomadChainSlice06|Increases the size of chainslice.||||||체인슬라이스의 크기를 증가시킵니다.||
subDescNomadChainSlice07|Chance on hit to inflict poisoned.||||||공격 시 독을 입힐 확률.||
subDescNomadChainSlice08|Increases damage dealt by chainslice.||||||체인슬라이스로 가하는 피해 증가||
subDescNomadChainSlice09|Decreases movement diminish when using chainslice.||||||체인 슬라이스 사용 시 이동 감소가 줄어듭니다.||
subDescNomadChainSlice10|Increases damage dealt to poisoned targets.||||||중독된 대상에게 가하는 피해가 증가합니다.||
subDescNomadChainSlice11|Unleash small blood novas on hit dealing increased damage.||||||타격 시 작은 혈액 노바를 발동하여 피해를 증가시킵니다.||
subDescNomadChainSlice12|Each chainslice hit scatters a flying blade spawning a phantom blade when landing.||||||각 체인 슬라이스 타격 시 날아가는 블레이드를 흩뿌리며 착지 시 팬텀 블레이드를 생성합니다.||
subDescNomadChainSlice13|When chainslice critically strikes it sends out additional scimitars in all directions.||||||체인슬라이스가 치명타를 적중시키면 모든 방향으로 추가 시미타르를 발사합니다.||
subDescNomadChainSlice14|Chance on hit to release an additional chainslice.||||||타격 시 추가 체인 슬라이스를 발동할 확률.||
|||||||||
subNomadScimitarCharge01|Sharpened Dash||||||날카로운 대시||
subNomadScimitarCharge02|Whirling Radius||||||회전 반경||
subNomadScimitarCharge03|Lethal Reach||||||치명적인 도달||
subNomadScimitarCharge04|Dashing Reflexes||||||민첩한 반사신경||
subNomadScimitarCharge05|Keep the Distance||||||거리를 유지하세요||
subNomadScimitarCharge06|Deadly Rush||||||치명적인 돌진||
subNomadScimitarCharge07|Mind Over Matter||||||정신력 우선||
subNomadScimitarCharge08|Doubleslash||||||더블슬래시||
subNomadScimitarCharge09|Debilitating Swirl||||||약화의 소용돌이||
subNomadScimitarCharge10|Unhinged Slash||||||광기 베기||
subNomadScimitarCharge11|Scimitar Storm||||||스키미터 폭풍||
subNomadScimitarCharge12|Slow Painful Death||||||느리고 고통스러운 죽음||
subNomadScimitarCharge13|Static Blade Vortex||||||정전기 블레이드 소용돌이||
subNomadScimitarCharge14|Phantom Charge||||||팬텀 차지||
subDescNomadScimitarCharge01|Increases damage dealt by scimitar charge.||||||시미터 돌진으로 인한 피해 증가||
