[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr
e_frost_goblin_3|Da Frozen Bling|Jäätynyt Blingi|Da Bling Congelado|Замороженные Побрякушки Da|冰霜妖精王|ダ・フローズン・ブリング|서리의 다 블링|Der gefrorene Bling|Bling-bling gelé
|||||||||
|||||||||
e_ice_elemental_1|Ice Elemental|Jääelementaali|Elemental de Gelo|Элементаль Льда|冰元素|アイス・エレメンタル|결빙 원소|Eis-Elementar|Élémentaire de glace
e_ice_elemental_2|Dark Ice Magician|Pimeä jäätaikuri|Mago do Gelo Sombrio|Темный Ледяной Маг|黑冰魔法师|ダーク・アイス・マジシャン|결빙 흑마법사|Dunkler Eiszauberer|Magicien de glace sombre
e_ice_elemental_3|Frost Apparition|Pakkasilmestys|Aparição Congelada|Морозное Видение|冰霜幻影|霜の鬼魅|혹한의 발현|Frostige Erscheinung|Apparition du givre
|||||||||
|||||||||
e_pyramid_guardian_1|Pyramid Guardian|Pyramidin suojelija|Guardião da Pirâmide|Страж Пирамиды|金字塔守护者|ピラミッド・ガーディアン|피라미드 수호자|Pyramidenwächter|Gardien de la pyramide
e_pyramid_guardian_2|Tomb Legion|Hautalegioonalainen|Legião da Tumba|Могильный Легион|古墓军团|墓軍団|병마용|Grab-Legionär|Légionnaire des tombes
e_pyramid_guardian_3|Anubis Worshipper|Anubiksen palvoja|Adorador de Anúbis|Поклоняющийся Анубису|阿努比斯崇拜者|アヌビスの崇拝者|아누비스 숭배자|Anubis Anbeterin|Adorateur d'Anubis
|||||||||
|||||||||
e_frost_skeleton_1|Frost Legion|Jäätynyt legioonalainen|Legião Congelada|Ледяной Легион|冰霜军团|フロスト軍団|혹한 군단병|Frost-Legion|Légionnaire du givre
e_frost_skeleton_2|Dark Commander|Tumma komentaja|Comandante Sombrio|Темный Командир|黑暗指挥官|ダーク・コマンダー|암흑 지휘관|Dunkler Kommandant|Commandant des ténèbres
e_frost_skeleton_3|Frozen Champion|Jäämestari|Campeão Congelado|Замороженный Чемпион|冰霜冠军|凍結のチャンピオン|서리 챔피언|Gefrorener Champion|Champion de glace
|||||||||
|||||||||
e_goblin_devilkin_1|Devilkin|Piru-Peikko|Devilkin|Дьяволкин|小恶魔|小悪魔|악귀|Teufelchen|Diablotin
e_goblin_devilkin_2|Slave Master|Orjamestari|Mestre dos Escravos|Раб - Хозяин|恶魔领头|スレーブ・マスター|노예주|Sklavenmeister|Maître esclavagiste
e_goblin_devilkin_3|Hellspawn Shaman|Helvetin Shamaani|Xamã Nascido no Inferno|Шаман - Исчадие Ада|地狱巫师|フェイスボール・シャーマン|지옥에서 태어난 주술사|Höllenschamane|Chaman de l'engeance
|||||||||
|||||||||
e_goblin_bomber_1|Goblin Bomber|Peikkopommittaja|Goblin Bombardeiro|Гоблин - Бомбардировщик|妖精投弹手|ゴブリン・ボンバー|고블린 폭파범|Goblin-Bomber|Bombardier gobelin
e_goblin_bomber_2|Bomb Engineer|Pommi-insinööri|Engenheiro de Bombas|Инженер - взрывотехник|炸弹工程师|爆弾技師|폭탄 기술자|Bombeningenieur|Ingénieur bombardier
e_goblin_bomber_3|Manic Bomber|Maaninen pommittaja|Bombardeiro Maníaco|Маниакальный Бомбардировщик|狂躁的投弹手|躁病のボンバー|광분의 폭파범|Manischer Bomber|Bombardier maniaque
|||||||||
|||||||||
e_organic_anomaly_1|Organic Anomaly|Orgaaninen kummajainen|Anomalia Orgânica|Органическая Аномалия|尸体恐怖|有機異形|뒤틀린 장기|Organische Anomalie|Anomalie organique
e_organic_anomaly_2|Sack of Flesh|Lihasäkki|Saco de Carne|Мешок Плоти|一麻袋尸体|血肉の袋|살코기 뭉텅이|Fleischsack|Sac de chair
e_organic_anomaly_3|Flesh of Satan|Saatanan liha|Carne de Satã|Плоть сатаны|撒旦的尸体|サタンの血肉|사탄의 살코기|Fleisch des Satans|Chair de Satan
|||||||||
|||||||||
e_skeleton_samurai_1|Skeletal Samurai|Luurankosamurai|Samurai Esquelético|Скелет Самурая|骨骼武士|スケルトン・サムライ|해골 사무라이|Skelett-Samurai|Samouraï squelette
e_skeleton_samurai_2|Ancient Zen Legion|Muinainen Zen-legioonalainen|Legião Zen Anciã|Древний дзенский Легион|古代禅宗军团|古代禅軍団|고대의 선병|Uralter Zen-Legionär|Légionnaire zen ancestral
e_skeleton_samurai_3|Samurai Warlord|Samurai sotapäällikkö|Samurai Senhor de Guerra|Военачальник - самурай|武士军阀|サムライ武将|장군 사무라이|Samurai-Kriegsherr|Seigneur de guerre samouraï
|||||||||
|||||||||
e_piranha_1|Piranha|Piraija|Piranha|Пиранья|水虎鱼|ピラニア|피라냐|Piranha|Piranha
e_piranha_2|Frenzied Piranha|Raivokas piraija|Piranha Frenética|Взбешенная Пиранья|狂热的水虎鱼|狂暴なピラニア|광란 피라냐|Fieberhafter Piranha|Piranha frénétique
e_piranha_3|Colossal Piranha|Jättiläispiraija|Piranha Colossal|Колоссальная Пиранья|巨型水虎鱼|巨大なピラニア|거대 피라냐|Kolossaler Piranha|Piranha colossal
|||||||||
|||||||||
e_rift_grunt_1|Rift Grunt|Repeämäkätryi|Grunhido da Fenda|Рифтовое Ворчание|裂缝步兵|割れ目のブーブー獣|균열의 소리|Kluft-Grunzen|Grondeur de la faille
e_rift_grunt_2|Astral Warrior|Astraalisoturi|Guerreiro Astral|Астральный Воин|星际武士|アストラル・ウオーリアー|성계 전사|Astraler Krieger|Guerrier astral
e_rift_grunt_3|Rift Commander|Repeämäkomentaja|Comandante da Fenda|Командующий Рифтом|裂谷指挥官|割れ目のコマンダー|균열의 지휘관|Kluftkommandant|Commandant de la faille
|||||||||
|||||||||
e_illuminated_stone_1|Illuminated Stone|Valaistunut kivi|Pedra Iluminada|Освещенный Камень|发光石|イルミネーション・ストーン|발광석|Luminierter Steine|Pierre illuminée
e_illuminated_stone_2|Colossal Illumination|Valtava valaisija|Iluminação Colossal|Колоссальное Освещение|巨型发光石|巨大なイルミネーション|거광체|Kolossale Illumination|Illumination colossale
e_illuminated_stone_3|Illuminati|Illuminati|Iluminati|Иллюминаты|超级发光石|イルミナティ|일루마나티|Illuminati|Illuminati
|||||||||
|||||||||
e_corrosive_ooze_1|Corrosive Ooze|Syövyttävä lima|Lodo Corrosivo|Едкий ил|腐蚀性软泥|腐食性のある粘液|부패된 분비물|Ätzender Schlamm|Boue corrosive
e_corrosive_ooze_2|Unstable Matter|Epävakaa materia|Matéria Instável|Нестабильная Материя|不稳定物质|不安定な物質|불안정 물질|Instabile Materie|Matière instable
e_corrosive_ooze_3|Devouring Slime|Lima-ahmija|Gosma Devoradora|Пожирающая Слизь|吞噬烂泥|パクパク・スライム|포식 슬라임|Verschlingender Schleim|Vase dévorante
|||||||||
|||||||||
e_corrupted_monk_1|Corrupted Monk|Korruptoitunut munkki|Monge Corrupto|Развращенный Монах|腐烂的和尚|堕落した修道士|타락한 수도승|Verderbter Mönch|Moine corrompu
e_corrupted_monk_2|Enlightened Horror|Valaistunut kauhu|Horror Iluminado|Просветленный Ужас|觉醒的恐怖|開化したホラー|깨우친 공포|Erleuchteter Horror|Horreur illuminée
e_corrupted_monk_3|Shaolin Demigod|Shaolin puolijumala|Shaolin Semideus|Шаолиньский Полубог|少林神明|少林寺の邪神|반신 소림|Shaolin Halbgott|Demi-dieu de Shaolin
|||||||||
|||||||||
e_giant_1|Astral Giant|Astraalijättiläinen|Gigante Astral|Астральный Гигант|星际巨人|アストラル・ジャイアント|성계 거수|Astraler Riese|Géant astral
e_giant_2|Rift Walker|Repeämäkulkija|Caminhante da Fenda|Ходок по Рифтам|裂谷巨人|割れ目のウォーカー|균열을 걷는 자|Riss Gehhilfe|Voyageur de la faille
e_giant_3|Gorgon Giant|Jättiläis Gorgon|Górgona Gigante|Гигантская Горгона|蛇发女怪|ゴーゴン・ジャイアント|거대 고르곤|Gorgon-Riese|Gorgone géante
|||||||||
|||||||||
e_headless_butler_1|Headless Butler|Päätön hovimestari|Mordomo sem Cabeça|Безголовый Дворецкий|无头管家|ヘッドレス・バトラー|머리 없는 집사|Kopfloser Butler|Majordome sans tête
e_headless_butler_2|Butler of Death|Kuoleman hovimestari|Mordomo da Morte|Дворецкий Смерти|死亡管家|バトラー・オブ・デス|죽음의 집사|Butler des Todes|Majordome de la Mort
e_headless_butler_3|Corpse Assistant|Ruumisavustaja|Assistente de Cadáver|Помощник Трупа|尸体助理|死体アシスタント|시체 집사|Leichen-Assistentin|Assistant cadavérique
|||||||||
|||||||||
e_haunted_book_1|Haunted Book|Kirottu kirja|Livro Assombrado|Книга с Привидениями|闹鬼的书|お化けの本|빙의서|Gespenstisches Buch|Livre hanté
e_haunted_book_2|Horror Diary|Kauhupäiväkirja|Diário dos Horrores|Дневник ужасов|恐怖日记|ホラー・ダイアリー|빙의 수첩|Horror-Tagebuch|Journal de l'horreur
e_haunted_book_3|Corrupted Necronomicon|Korruptoitunut Necronomicon|Necronomicon Corrompido|Испорченный Некрономикон|腐败的死灵之书|堕落したネクロノミコン|저주받은 네크로노미콘|Beschädigtes Necronomicon|Necronomicon
|||||||||
|||||||||
e_flesh_plant_1|Flesh Plant|Lihakasvi|Planta de Carne|Мякоть Растения|食肉植物|血肉の植物|육식 식물|Fleischpflanze|Plante carnivore
e_flesh_plant_2|Carnivorous|Lihansyöjä|Carnívoro|Плотоядный|食人族|肉食者|식인 식물|Fleischfressend|Dévoreur de chair
e_flesh_plant_3|Fertilized Horror|Hedelmällinen kammotus|Horror Fertilizado|Оплодотворенный Ужас|施肥恐怖|肥沃となったホラー|공포 식물|Befruchteter Horror|Horreur enrichie
|||||||||
|||||||||
e_spider_sibling_1|Spider Sibling|Hämähäkkisisarus|Aranha Irmã|Брат - Паук|蜘蛛兄弟|スパイダー同胞|새끼 거미|Spinne|Araignée
e_spider_sibling_2|Giant Spider|Jättiläis-Hämähäkki|Aranha Gigante|Гигантский Паук|巨型蜘蛛|ジャイアント・スパイダー|거대 거미|Riesenspinne|Araignée géante
e_spider_sibling_3|Arachnid Mother|Arachnid Emo|Mãe Aracnídea|Мать - Паукообразный|蛛母|蛛系魔の母|어미 거미|Arachnidenmutter|Mère arachnide
|||||||||
|||||||||
e_slime_1|Slime|Lima|Gosma|Слизь|烂泥|スライム|슬라임|Schleim|Slime
e_slime_2|Slime Champion|Limamestari|Gosma Campeã|Чемпион По Слизи|烂泥冠军|スライムチャンピオン|챔피언 슬라임|Schleim-Champion|Slime champion
e_slime_3|Toxic Waste|Myrkkyjäte|Resíduo Tóxico|Токсичные отходы|有毒废料|有毒廃棄物|독폐수 슬라임|Giftiger Abfall|Déchet toxique
|||||||||
|||||||||
e_hell_beast_1|Hell Beast|Helvetin peto|Besta do Inferno|Адский Зверь|地狱野兽|地獄の野獣|지옥 괴수|Höllenbestie|Bête de l'enfer
e_hell_beast_2|Goliath of Hell|Helvetin goljatti|Golias do Inferno|Голиаф из ада|地狱的巨人|地獄のゴリアテ|지옥의 골리앗|Goliath aus der Hölle|Goliath de l'enfer
e_hell_beast_3|Sacrilegious Goliath|Rienaava goljatti|Golias Sacrílego|Святотатственный Голиаф|亵渎的巨人|冒涜のゴリアテ|신성모독 골리앗|Sakralerr Goliath|Goliath profane
|||||||||
|||||||||
e_skull_crawler_1|Skull Crawler|Kalloryömijä|Caveira Rastejante|Краулер с черепом|头骨履带|スカルクローラ|해골 크롤러|Schädelkriecher|Lèche-crâne
e_skull_crawler_2|Bonecrab|Luurapu|Caranguejo de Ossos|Костяной Граб|骨蟹|ボーンクラブ|본크랩|Knochenkrabbe|Crabe osseux
e_skull_crawler_3|Bonecrab|Luurapu|Caranguejo de Ossos|Костяной Граб|骨蟹|ボーンクラブ|본크랩|Knochenkrabbe|Tourteau osseux
|||||||||
|||||||||
e_cave_slime_1|Cave Slime|Kaivoslima|Gosma da Caverna|Пещерная Слизь|洞穴的粘液|ケーブスライム|동굴 점액|Höhlenschleim|Slime des cavernes
e_cave_slime_2|Toxic Mucus|Myrkkylima|Muco Tóxico|Токсичная Слизь|有毒的粘液|毒粘液|독성 점액|Toxischer Schleim|Mucus toxique
e_cave_slime_3|Toxic Mucus|Myrkkylima|Muco Tóxico|Токсичная Слизь|有毒的粘液|毒粘液|독성 점액|Toxischer Schleim|Mucosité toxique
|||||||||
|||||||||
e_cyclops_1|Cyclops|Kyklooppi|Ciclope|Циклоп|独眼巨人|サイクロプス|키클롭스|Zyklop|Cyclope
e_cyclops_2|Cyclops Goliath|Kyklooppigoljatti|Ciclope Golias|Циклоп Голиаф|独眼巨人歌利亚|サイクロプス･ゴリアテ|키클롭스 골리앗|Zyklopgoliath|Cyclope goliath
e_cyclops_3|Cyclops Goliath|Kyklooppigoljatti|Ciclope Golias|Циклоп Голиаф|独眼巨人歌利亚|サイクロプス･ゴリアテ|키클롭스 골리앗|Zyklopgoliath|Cyclope colossal
|||||||||
|||||||||
e_rift_skeleton_1|Rift Skeleton|Repeämäluuranko|Esqueleto da Fenda|Рифтовый Скелет|裂缝骨架|リフトスケルトン|리프트 스켈레톤|Riftskelett|Squelette de la faille
e_rift_skeleton_2|Shadow Champion|Varjomestari|Campeão das Sombras|Теневой Чемпион|影子冠军|シャドーチャンピオン|그림자 챔피언|Schattenchampion|Champion de l'ombre
e_rift_skeleton_3|Rift Legion|Repeämälegioonalainen|Legião da Fenda|Рифтовый Легион|裂谷军团|リフトレギオン|리프트 군단|Riftlegion|Légionnaire de la faille
|||||||||
|||||||||
[bosses]|||||||||
e_pontus_1|Pontus the Lard|Läski Pontus|Pontus, o Grandão|Понтус Сало|本都拉德|ラードのポントス|기름쥐 폰토스|Pontus des Schmalzes|Pontus le lardon
e_pontus_2|Pontus the Sewer Rat|Viemärirotta Pontus|Pontus, o Rato de Esgoto|Понтус - Канализационная Крыса|本都褐鼠|ドブネズミのポントス|시궁쥐 폰토스|Pontus der Kanalratten|Pontus le rat d'égout
e_pontus_3|Pontus the Ancient Lard|Muinainen Läski Pontus|Pontus, o Grandão Ancião|Понтус Древний Сало|本都古代拉德|古代ラードのポントス|고대의 기름쥐 폰토스|Pontus des alten Schmalzes|Pontus le vieux lardon
|||||||||
|||||||||
e_khorga_1|King Khorga|Kuningas Khorga|Rei Khorga|Король Хорга|霍尔加国王|キングコルガ|코르가왕|König Khorga|Roi Khorga
e_khorga_2|King Khorga II|Kuningas Khorga II|Rei Khorga II|Король Хорга II|霍尔加二世|キングコルガ 2 世|코르가왕 II세|König Khorga II.|Roi Khorga II
e_khorga_3|Ancient War King Khorga|Muinainen sotakuningas Khorga|Khorga, Rei da Guerra Antiga|Король Древней Войны Хорга|古代战争之王霍尔加|古代戦争王コルガ|고대의 전쟁왕 코르가|Antiker Kriegerkönig Khorga|Ancien roi de guerre Khorga
|||||||||
|||||||||
e_akrea_1|Akrea|Akrea|Akrea|Акреа|阿克雷亚|骨格のアークマージ|해골 대마법사|Akrea|Akrea
e_akrea_2|Skeletal Archmage|Luuranko arkkimaagi|Arquimago Esquelético|Архимаг - Скелет|骷髅大法师|不浄な司祭|불결한 사제|Skelettierter Erzmagier|Archevêque squelettique
e_akrea_3|Unholy Priest|Epäpyhä pappi|Sacerdote Profano|Нечестивый Священник|邪恶祭司|魔王の異教徒|사탄의 이교도|Unheiliger Priester|Prêtre impie
|||||||||
|||||||||
e_dahzul_1|Dah'Zul|Dah'Zul|Dah'Zul|Да'Зул|达祖尔|ダーズル|다'줄|Dah'Zul|Dah'Zul
e_dahzul_2|Dah'Gul|Dah'Gul|Dah'Gul|Да'Гул|达古尔|ダーグル|다'굴|Dah'Gul|Dah'Gul
e_dahzul_3|Zen'Zhuul|Zen'Zhuul|Zen'Zhuul|Зен'Зуул|禅宗祖尔|ゼンズール|젠'줄|Zen'Zhuul|Zen'Zhuul
|||||||||
|||||||||
e_kayo_1|Kayo the Sapling|Taimi Kayo|Kayo, a Muda|Кайо - Молодое деревце|卡约树苗|苗木のカヨ|어린 나무 카요|Kayo der Schössling|Kayo la jeune pousse
e_kayo_2|Kayo the Ent|Entti Kayo|Kayo, o Ent|Кайо - Лор|卡约树精|エントのカヨ|엔트 카요|Kayo der Ent|Kayo l'Ent
e_kayo_3|Ancient Branch|Muinainen oksa|Galho Antigo|Древняя Ветвь|古代树精|古代のブランチ|고대의 나무가지|Antiker Zweig|Branche séculaire
|||||||||
|||||||||
e_kalcifer_1|Kalcifer|Kalcifer|Kalcifer|Кальцифер|卡尔西费尔|カルシファー|칼시퍼|Kalcifer|Kalcifer
e_kalcifer_2|Kalcifer the Fiery Demonspawn|Tulinen pirulainen Kalcifer|Kalcifer, a Cria de Demônio Ardente|Кальцифер - Огненное Демоническое Отродье|卡尔西弗尔 炽热恶魔|火のデーモンズポーン・カルシファー|화염의 데몬스폰 칼시퍼|Die feurige Dämonenbrut Kalcifer|Kalcifer l'engeance ardente
e_kalcifer_3|Margogah the Ancient Imp|Muinainen piru Margogah|Margogah, o Diabrete Ancião|Маргога , Древний Бес|马尔戈加 古代恶魔|古代の小悪魔マルゴーガ|고대의 임프 마르고가|Margogah, der alte Imperator|Margogah l'ancien empereur
|||||||||
|||||||||
e_hayro_1|Hayro|Hayro|Hayro|Hayro|海罗|へーロー|헤이로|Hayro|Hayro
e_hayro_2|Ancient Hayro|Muinainen Hayro|Hayro Ancião|Древний Хайро|古代海罗|古代へーロー|고대의 헤이로|Antiker Hayro|Hayro ancestral
e_hayro_3|Colossal Hayro|Jättiläis Hayro|Hayro Colossal|Колоссальный Хайро|巨型海罗|巨大へーロー|거대 헤이로|Kolossaler Hayro|Hayro colossal
|||||||||
|||||||||
e_kungo_1|Kungo|Kungo|Kungo|Kungo|昆戈|クンゴ|쿵고|Kungo|Kungo
e_kungo_2|Kungo the Tyrant|Tyranni Kungo|Kungo, o Tirano|Кунго - Тиран|昆戈暴君|クンゴ・タイタン|폭군 쿵고|Der Tyrann Kungo|Kungo le tyran
e_kungo_3|Overlord Kungo|Ylikomentaja Kungo|Kungo, o Soberano|Повелитель Кунго|霸主昆戈|オーバーロード・クンゴ|대폭군 쿵고|Lehensherr Kungo|Seigneur suprême Kungo
|||||||||
|||||||||
e_hololo_1|Hololo|Hololo|Hololo|Хололо|霍洛洛|ホロロ|홀로로|Hololo|Hololo
e_hololo_2|Hololo of the Abyss|Syvyyksien Hololo|Hololo do Abismo|Гололо бездны|地狱的霍洛洛|アビスのホロロ|심연의 홀로로|Hololo aus der Hölle|Hololo abyssal
e_hololo_3|Holo-bob Metal Pants|Holo-Paavo Metallisieni|Holo-bob Calça Metálica|Металлические Брюки в стиле Голо-боб|霍洛-鲍勃金属裤|ホロボブ・メタルパンツ|쇳소리 홀로-밥|Holo-bob Metall Pants|Hololo Culotte-de-fer
|||||||||
|||||||||
e_annie_1|Annie|Annie|Annie|Энни|安妮|アニー|애니|Annie|Annie
e_annie_2|Samara|Samara|Samara|Самара|翅果|サマラ|사마라|Samara|Samara
e_annie_3|Kayako|Kayako|Kayako|Каяко|卡亚科|カヤコ|카야코|Kayako|Kayako
|||||||||
|||||||||
e_parasectoid_1|Parasectoid|Parasectoidi|Parasectoid|Парасектоид|寄生物|奇形獣|기형수|Parasectoid|Parasectoid
e_parasectoid_2|Fuxxagen|Fuxxagen|Fuxxagen|Фуксаген|富克萨根|異形獣|괴형수|Fuxxagen|Fuxxagen
e_parasectoid_3|Vedensulattajas Homolus|Vedensulattajas Homolus|Vedensulattajas Homolus|Веденсулаттаяс Гомолус|韦登苏拉塔亚斯·霍莫卢斯|人造怪物|호문쿨루스|Vedensulattajas Homolus|Vedensulattajas Homolus
|||||||||
|||||||||
e_garguth_1|Garguth|Garguth|Garguth|Гаргут|加古斯|ガーグス|가르거스|Garguth|Garguth
e_garguth_2|Garguth the Moss Beast|Sammalhirviö Garguth|Garguth, a Besta de Musgo|Гаргут - Моховой Зверь|加古斯的苔藓怪|モス・ビーストのガーグス|이끼 괴수 가르거스|Garguth das Moos-Biest|Garguth la bête moussue
e_garguth_3|Gargudoguth|Gargudoguth|Gargudoguth|Гаргудогут|加尔古多古斯|ガーグドグース|가르거도거스|Gargudoguth|Gargudoguth
|||||||||
|||||||||
e_betankhamun_1|Betankhamun|Betankhamun|Betankhamun|Бетанхамон|贝坦卡蒙|ベタンカーメン|베탄카문|Betankhamun|Bétankhamon
e_betankhamun_2|Betankhamun the Fallen|Kaatunut Betankhamun|Betankhamun, o Caído|Бетанхамон Павший|贝坦卡蒙堕落者|死者ベタンカーメン|망자 베탄카문|Betankhamun der Gefallene|Bétankhamon le déchu
e_betankhamun_3|Betankhamun the Servant|Palvelija Betankhamun|Betankhamun, o Servo|Бетанхамон - Слуга|贝坦卡蒙仆人|使用人ベタンカーメン|하수인 베탄카문|Betankhamun der Diener|Bétankhamon le serviteur
|||||||||
|||||||||
e_general_kaw_1|General Kaw|Kenraali Kaw|General Kaw|Генерал Кау|考将军|将軍カウ|코우 장군|General Kaw|Général Kaw
e_general_kaw_2|Enraged General Kaw|Raivostunut Kenraali Kaw|General Kaw Enfurecido|Разъяренный генерал Кау|愤怒的考将军|激怒した将軍カウ|격분한 고우 장군|Wütender General Kaw|Général Kaw enragé
e_general_kaw_3|Kawaii|Kawaii|Kawaii|Кавайный|卡瓦伊|カワイイ|카와이|Kawaii|Kawaii
|||||||||
|||||||||
e_anubis_1|Anubis|Anubis|Anúbis|Анубис|阿努比斯|アヌビス|아누비스|Anubis|Anubis
e_anubis_2|Guardian of the Eternal Life|Ikuisen elämän suojelija|Guardião da Vida Eterna|Хранитель Вечной Жизни|永生的守护者|永遠の命の守護者|영생의 수호자|Hüter des ewigen Lebens|Gardien de la vie éternelle
e_anubis_3|Reincarnation of Ramses II|Uudelleensyntynyt Ramses II|Reencarnação de Ramsés II|Реинкарнация Рамзеса II|拉姆西斯二世的转世|生まれ変わったラムセス II 世|람세스 II세의 현신|Reinkarnation von Ramses II.|Réincarnation de Ramsès II
|||||||||
|||||||||
e_damien_1|Damien|Damien|Damien|Дэмиен|达米恩|ダミアン|데미언|Damien|Damien
e_damien_2|Wretched Kid|Kirottu poika|Criança Miserável|Несчастный Ребенок|可怜的孩子|惨めな子供|비참한 아이|Elendes Kind|Enfant misérable
e_damien_3|Son of Lucifer|Luciferin poika|Filho de Lúcifer|Сын Люцифера|路西法的儿子|ルシファーの息子|루시퍼의 아들|Sohn Luzifers|Fils de Lucifer
e_damiensMask_1|Damien’s Mirror||Espelho de Damien||||다미엔의 거울||
e_damiensMask_2|Damien’s Mirror||Espelho de Damien||||다미엔의 거울||
e_damiensMask_3|Damien’s Mirror||Espelho de Damien||||다미엔의 거울||
spell_damien_01|Unleashed Agony||Agonia Desenfreada||||해방된 고통||
spell_damien_02|Mirror’s of Darkness||Espelhos da Escuridão||||어둠의 거울||
spell_damien_03|Masked Agony||Agonia Mascarada||||가면의 고통||
spell_damien_04|Blood Surge||Surto de Sangue||||피의 쇄도||
spell_damien_05|Pools of Agony||Piscinas de Agonia||||고통의 웅덩이||
|||||||||
e_reaper_1|Grim Reaper|Viikatemies|Ceifador|Мрачный Жнец|死神|グリム・リーパー|사신|Sensenmann|Faucheuse sinistre
e_reaper_2|Soul Harvester|Sielujen kerääjä|Colhedor de Almas|Сборщик Душ|灵魂收割者|ソウル・ハーベスター|영혼 수확자|Seelenerntemaschine|Moissonneuse d'âmes
e_reaper_3|Death|Kuolema|Morte|Смерть|死亡|死神|저승사자|Tod|La Mort
|||||||||
|||||||||
e_gurag_1|Gurag the Destroyer|Tuhoaja Gurag|Gurag, o Destruidor|Гураг - Разрушитель|古拉格毁坏者|駆逐艦グラゴ|파괴자 구라그|Gurag der Zerstörer|Gurag le destructeur
e_gurag_2|Gurag the Demolisher|Täystuho Gurag|Gurag, o Demolidor|Гураг Разрушитель|古拉格毁灭者|破壊者グラゴ|파멸자 구라그|Gurag der Vernichter|Gurag le démolisseur
e_gurag_3|Gurag the Demi-God|Puolijumala Gurag|Gurag, o Semideus|Гураг - Полубог|古拉格半神|グラゴ・ザ・デミ・ゴッド|반신 구라그|Gurag der Halbgott|Gurag le demi-dieu
|||||||||
|||||||||
e_karp_king_1|The Karp King|Karppi Kuningas|O Rei das Carpas|Король Карпов|卡普国王|カープキング|잉어 왕|Karp King|Roi Carpe
e_karp_king_2|Aku|Aku|Aku|Aku|阿库|アク|아쿠|Aku|Aku
e_karp_king_3|Gaforashyu|Gaforashyu|Gaforashyu|Гафорашью|加福拉什尤|ガフォラシェ|가포라슈|Gaforashyu|Gaforashyu
|||||||||
|||||||||
e_ent_boss_1|Keeper of the Haunted Forest|Kummitusmetsän Pitäjä|Guarda da Floresta Assombrada|Хранитель Леса с привидениями|闹鬼森林的看守者|お化けの森の番人|유령 숲의 파수꾼|Hüter des Geisterwaldes|Gardien de la forêt hantée
e_ent_boss_2|Guardian of the Haunted Forest|Kummitusmetsän Vartija|Guardião da Floresta Assombrada|Страж Леса с Привидениями|闹鬼森林的守护者|お化けの森の守護者|유령 숲의 수호자|Wächter des Geisterwaldes|Protecteur de la forêt hantée
e_ent_boss_3|Hollow Death|Ontto Kuolema|Morte Vazia|Пустая Смерть|空心死亡|中空の死|공허한 죽음|Aushöhlender Tod|Mort creuse
|||||||||
|||||||||
e_abomination_1|Gluttony|Ahnaisuus|Gula|Обжорство|暴食|暴飲暴食|폭식 어보미네이션|Völlerei|Gloutonnerie
e_abomination_2|Hellspawn Abomination|Helvetin Iljetys|Abominação Nascida no Inferno|Исчадие Ада , Мерзость|地狱之命的憎恶|フェイスボール・スケアモンスター|지옥에서 태어난 어보미네이션|Höllengeborene Abscheulichkeit|Abomination née de l'enfer
e_abomination_3|Abomination|Iljetys|Abominação|Мерзость|憎恶|嫌悪すべきもの|어보미네이션|Abscheulichkeit|Abomination
|||||||||
|||||||||
e_eye_1|The Eye|Silmä|O Olho|Глаз|眼睛|目球|눈|Das Auge|L'œil
e_eye_2|Devil's Eye|Pirun silmä|Olho do Demônio|Глаз дьявола|魔鬼之眼|悪魔の目|악마의 눈|Teufelsauge|L'œil du diable
e_eye_3|Eye of Satan|Saatanan silmä|Olho de Satã|Око сатаны|撒旦之眼|サタンの目|사탄의 눈|Das Auge des Satans|L'œil de Satan
|||||||||
|||||||||
e_mask_1|Conjured Mask|Loihdittu naamio|Máscara Conjurada|Наколдованная Маска|施了魔法的面具|召喚のマスク|강령 가면|Beschworene Maske|Masque de conjuration
e_mask_2|Face of Horror|Kauhun kasvot|Face do Horror|Лицо ужаса|恐怖的脸|恐怖の顔|공포의 얼굴|Gesicht des Schreckens|Visage de l'horreur
e_mask_3|Pure Evil|Puhdas pahuus|Mal Puro|Чистое Зло|完全邪恶|純粋な悪|악의 결정체|Das Reine Böse|Mal à l'état pur
|||||||||
|||||||||
e_sheep_king_1|The Sheep King|Lammaskuningas|O Rei das Ovelhas|Король Овец|羊王|シープ・キング|양 왕|Der Schafskönig|Roi des moutons
e_sheep_king_2|Sheep King Senior II|Lammaskuningas II|Rei das Ovelhas Sênior II|Король Овец Старший II|羊王进阶II|シープ・キング・シニア II|양 왕 시니어 II세|Schafskönig Senior II|Roi des moutons senior II
e_sheep_king_3|Jefre the God of Sheep|Lammasjumala Jefre|Jefre, o Deus das Ovelhas|Джефре , Бог овец|耶夫羊神|シープ・ゴッド・ジェフリー|양의 신 제프리|Jefre der Gott der Schafe|Jefre le dieu des moutons
|||||||||
|||||||||
e_pogocho_1|Pogocho|Pogocho|Pogocho|Погочо|波戈乔|ポゴチョ|포고초|Pogocho|Pogocho
e_pogocho_2|Pogocho the Awaken Horror|Herännyt kauhu Pogocho|Pogocho, o Terror Desperto|Погочо Пробужденный Ужас|波戈乔的觉醒恐怖|ポゴチョ・ザ・アウェイク・ホラー|깨어난 공포 포고초|Pogocho, der erwachende Horror|Pogocho l'horreur éveillée
