[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
solo_self_found_desc|- Odyssey heroes can only play solo. Market, trading and mailbox are disabled.|- Seikkailijasankarit voivat pelata vain yksin. Marketti, vaihtaminen ja postilaatikko on suljettu.|- Os heróis odisseia só podem jogar sozinhos. Mercado, trocas e caixa de correio são desativados.|- Герои Одиссеи могут играть только в одиночку. Маркет, торговля и почта отключены.|- 奥德赛英雄只能单独游戏。市场、交易和邮箱均已禁用。|- オデッセイのヒーローはソロでのみプレイできます。マーケット、トレード、メールボックスは無効です。|- 오디세이 영웅은 솔로로만 플레이할 수 있습니다. 마켓, 거래 및 우편함은 비활성화됩니다.|- Odyssey-Helden können nur alleine spielen. Markt, Handel und Briefkasten sind deaktiviert.|- Les héros de l'Odyssée ne peuvent jouer qu'en solo. Le marché, le commerce et la boîte aux lettres sont désactivés.
blood_pact_desc|- Blood Pact heroes can only play with other members of the associated Blood Pact. Blood Pact heroes will be converted to Odyssey heroes after the Blood Pact ends.||- Heróis do Pacto de Sangue só podem jogar com outros membros do Pacto de Sangue associado. Heróis do Pacto de Sangue serão convertidos em heróis da Odisseia após o término do Pacto de Sangue. |- Герои Blood Pact могут играть только с другими членами связанного Blood Pact. Герои Blood Pact будут преобразованы в героев Odyssey после окончания Blood Pact. |- 血契英雄只能与相关血契的其他成员一起游戏。血契结束后，血契英雄将转换为奥德赛英雄。 |- ブラッド パクトのヒーローは、関連するブラッド パクトの他のメンバーとのみプレイできます。ブラッド パクトのヒーローは、ブラッド パクトの終了後にオデッセイのヒーローに変換されます。 |- 블러드 팩트 영웅은 연관된 블러드 팩트의 다른 멤버와만 플레이할 수 있습니다. 블러드 팩트 영웅은 블러드 팩트가 끝나면 오디세이 영웅으로 전환됩니다. |- Blood Pact-Helden können nur mit anderen Mitgliedern des zugehörigen Blood Pacts spielen. Blood Pact-Helden werden nach Ende des Blood Pacts in Odyssey-Helden umgewandelt. |- Les héros du Pacte de sang ne peuvent jouer qu'avec d'autres membres du Pacte de sang associé. Les héros du Pacte de sang seront convertis en héros d'Odyssée une fois le Pacte de sang terminé. 
wrathofmevius|Wrath of Mevius|Meviuksen Viha|Ira de Mevius|Гнев Мевиуса|梅威斯之怒|メビウスの怒り|메비우스의 분노|Zorn von Mevius|Colère de Mevius
slot|Slot|Paikka|Espaço|Слот|空位|スロット|슬롯|Platz|Place
shop|Shop|Kauppa|Loja|Магазин|商店|ショップ|상점|Laden|Boutique
cosmetic_shop|Cosmetic Shop|Kosmetiikkakauppa|Loja de cosméticos |Косметический магазин |化妆品店 |化粧品店 |화장품 가게 |Kosmetikgeschäft |Boutique de cosmétiques 
adventure_journal|Journal|Päiväkirja|Jornal|Журнал|杂志 |ジャーナル |신문 |Handbuch|Journal
level|Level|Taso|Nível|Ур.|关卡|レベル|레벨|Level|niv.
empty|Empty|Tyhjä|Vazio|Пустой|空闲|空き|비어 있음|Leer|Vide
requires_karp|REQUIRES KARP OF DOOM TO PLAY|VAATII KARP OF DOOM LISÄOSAN|EXIGE KARP OF DOOM PARA JOGAR|ТРЕБУЕТСЯ KARP OF DOOM ДЛЯ ИГРЫ|需要 KARP OF DOOM 才能玩|プレイするには KARP OF DOOM が必要です|플레이하려면 KARP OF DOOM이 필요합니다.|ERFORDERT KARP OF DOOM|NÉCESSITE LE DLC DE KARP OF DOOM
requires_hell|REQUIRES DEPTHS OF HELL TO PLAY|VAATII DEPTHS OF HELL LISÄOSAN|EXIGE DEPTHS OF HELL PARA JOGAR|ТРЕБУЕТСЯ DEPTHS OF HELL ДЛЯ ИГРЫ|需要 DePTHS OF HELL 才能玩|プレイするには DEPTHS OF HELL が必要です|플레이하려면 DEPTHS OF HELL이 필요합니다.|ERFORDERT DEPTHS OF HELL|NÉCESSITE LE DLC PROFONDEURS DE L'ENFER
requires_mevius|REQUIRES WRATH OF MEVIUS TO PLAY|VAATII WRATH OF MEVIUS LISÄOSAN|EXIGE WRATH OF MEVIUS PARA JOGAR|ТРЕБУЕТСЯ WRATH OF MEVIUS ДЛЯ ИГРЫ|需要 WRATH OF MEVIUS 才能玩|プレイするには WRATH OF MEVIUS が必要です|플레이하려면 WRATH OF MEVIUS가 필요합니다.|ERFORDERT WRATH OF MEVIUS|NÉCESSITE LE DLC COLÈRE OF MEVIUS
requires_amazon|REQUIRES AMAZON PACK TO PLAY|VAATII AMAZON LISÄOSAN|EXIGE AMAZON PACK PARA JOGAR|ТРЕБУЕТСЯ AMAZON PACK ДЛЯ ИГРЫ|需要 AMAZON PACK 才能玩|プレイするには AMAZON PACK が必要です|플레이하려면 AMAZON PACK이 필요합니다.|ERFORDERT DAS AMAZON-PACK|NÉCESSITE LE PACK AMAZONE
requires_shaman|REQUIRES SHAMAN PACK TO PLAY|VAATII SHAMAN LISÄOSAN|EXIGE SHAMAN PACK PARA JOGAR|ТРЕБУЕТСЯ SHAMAN PACK ДЛЯ ИГРЫ|需要 SHAMAN PACK 才能玩|プレイするには SHAMAN PACK が必要です|플레이하려면 SHAMAN PACK이 필요합니다.|ERFORDERT DAS SHAMAN-PACK|NÉCESSITE LE PACK CHAMAN
requires_marauder|REQUIRES MARAUDER PACK TO PLAY|VAATII MARAUDER LISÄOSAN|EXIGE MARAUDER PACK PARA JOGAR|ТРЕБУЕТСЯ MARAUDER PACK ДЛЯ ИГРЫ|需要 MARAUDER PACK 才能玩|プレイするには MARAUDER PACK が必要です|플레이하려면 MARAUDER PACK이 필요합니다.|ERFORDERT DAS MARAUDER-PACK|NÉCESSITE LE PACK MARAUDEUR
requires_plague_doctor|REQUIRES PLAGUE DOCTOR DLC TO PLAY|VAATII PLAGUE DOCTOR LISÄOSAN|EXIGE PLAGE DOCTOR DLC PARA JOGAR|ТРЕБУЕТСЯ PLAGUE DOCTOR DLC ДЛЯ ИГРЫ|需要 PLAGUE DOCTOR DLC 才能玩|プレイするには PLAGUE DOCTOR DLC が必要です|플레이하려면 PLAGUE DOCTOR DLC가 필요합니다.|ERFORDERT DAS PLAGUE DOCTOR DLC|NÉCESSITE LE PACK DOCTEUR DE PESTE
requires_lancer|REQUIRES LANCER DLC TO PLAY|VAATII LANCER LISÄOSAN|REQUER LANCER DLC PARA JOGAR|ТРЕБУЕТСЯ LANCER DLC ДЛЯ ИГРЫ|需要 LANCER DLC 才能玩|プレイするには LANCER DLC が必要です|플레이하려면 LANCER DLC가 필요합니다.|ERFORDERT DAS SHIELD LANCER DLC|NÉCESSITE LE PACK LANCIER
requires_jotunn|REQUIRES GATES OF VALHALLA DLC TO PLAY|PELAAMINEN VAATII GATES OF VALHALLA DLC:tä |REQUER GATES OF VALHALLA DLC PARA JOGAR|ТРЕБУЕТСЯ GATES OF VALHALLA DLC |需要 GATES OF VALHALLA DLC 才能玩 |プレイするには GATES OF VALHALLA DLC が必要です |플레이하려면 GATES OF VALHALLA DLC가 필요합니다. |ERFORDERT GATES OF VALHALLA DLC|NÉCESSITE LE DLC PORTES DU VALHALLA
play|Play|Pelaa|Jogar|Играть|玩|プレイ|플레이|Spielen|Jouer
continue|Continue|Jatka|Continuar|Продолжать|继续|継続|이어하기|Fortfahren|Continuer
rename|Rename|Nimeä uudelleen|Renomear|Переименовать|重命名|名前を変更する|이름 변경|Umbenennen|Renommer
reset_talents|Reset Skills|Palauta taidot|Reiniciar Habilidades|Сбросить навыки|重置技能|スキルをリセット|스킬 재설정|Fähigkeiten zurücksetzen|RAZ des Compétences
reset_attributes|Reset Attributes|Palauta taitopisteet|Reiniciar Pontos de Atributo|Сброс. очки харак.|重置属性 |属性をリセット |속성 재설정 |Attribute zurücksetzen |RAZ des Statistiques
reset|Reset|Palauta|Reiniciar|Сбросить|重启|リセット|초기화|Zurücksetzen|Réinitialiser 
delete|Delete|Poista|Deletar|Удалить|删除|削除|삭제|Löschen|Supprimer
whats_your_name|What's your name?|Mikä sinun nimesi on?|Qual seu nome?|Как тебя зовут?|你的名字是？|あなたの名前は何ですか？|당신의 이름은?|Wie lautet dein Name?|Quel est votre nom ?
hardcore|Hardcore|Kuolevainen|Hardcore|Хардкор|硬核模式|ハードコア|하드코어|Hardcore|Hardcore
softcore|Softcore|Normaali|Softcore|Софткор|普通模式|ソフトコア|소프트코어|Softcore|Softcore
exclusive|exclusive|lisäosa vaadittu|exclusivo|эксклюзивный|专属|専属|전용|Exklusiv|exclusif
coming_soon|Coming Soon|Tulossa Pian|Em Breve|Вскоре|即将到来|近日公開|근일 발매|Demnächst verfügbar|Prochainement
username_validation|Illegal characters have been removed from your input resulting in the following text:|Laittomat merkit on poistettu syötteestäsi, minkä tuloksena on seuraava teksti:|Caracteres ilegais foram removidos de sua entrada resultando no seguinte texto:|Из вашего ввода были удалены недопустимые символы, в результате чего появился следующий текст:|非法字符已从您的输入中删除，导致出现以下文本：|不正な文字が入力から削除され、次のテキストが表示されます。|입력에서 잘못된 문자가 제거되어 다음 텍스트가 표시됩니다.|Unzulässige Zeichen wurden aus Ihrer Eingabe entfernt, was zu folgendem Text führte:|Les caractères illégaux ont été supprimés de votre saisie, ce qui donne le texte suivant :
delete_prompt|Are you sure you want to delete this character? Your character will be deleted permanently!|Oletko varma että haluat poistaa tämän hahmon? Hahmosi poistetaan pysyvästi!|Tem certeza de que pretende deletar este personagem? Seu personagem será excluído permanentemente!|Вы уверены, что хотите удалить этого персонажа? Ваш персонаж будет удален навсегда!|你确定要删除这个角色？ 你的角色将会永久消失！|このキャラクターを削除してもよろしいですか？ あなたのキャラクターが永久に消えますぞ！|이 캐릭터를 삭제하시겠습니까? 한 번 삭제하면 되돌릴 수 없습니다!|Bist du sicher, dass du dieses Charakter löschen willst? Dein Charakter wird unwiderruflich gelöscht!|Êtes-vous sûr de vouloir supprimer ce personnage ? Il sera définitivement perdu !
delete_failed|Could not delete character. Try again later.|Hahmoa ei voitu poistaa. Yritä myöhemmin uudelleen.|Não foi possível excluir o personagem. Tente mais tarde.|Не удалось удалить персонажа. Попробуйте позже.|无法删除字符。稍后再试。|文字を削除できませんでした。あとでもう一度試してみてください。|캐릭터를 삭제할 수 없습니다. 나중에 다시 시도하십시오.|Charakter konnte nicht gelöscht werden. Versuchen Sie es später erneut.|Impossible de supprimer le personnage. Réessayez plus tard.
talents_prompt|Are you sure you want to reset your Skill Points?|Oletko varma että haluat palauttaa taitosi?|Tem certeza de que deseja redefinir seus Pontos de Talento?|Вы уверены, что хотите сбросить свои очки навыков?|你确定要重置你的角色的技能点吗？|タレントポイントをリセットしてもよろしいですか？|재능 포인트를 초기화하시겠습니까?|Bist du sicher, dass du deine Talentpunkte zurücksetzen willst?|Êtes-vous sûr de vouloir réinitialiser vos points de Compétences ?
attributes_prompt|Are you sure you want to reset your Attribute Points?|Oletko varma että haluat palauttaa taitopisteesi?|Tem certeza de que deseja redefinir seus Pontos de Atributo?|Вы уверены, что хотите сбросить свои очки атрибутов?|您确定要重置您的属性点数吗？|属性ポイントをリセットしてもよろしいですか?|속성 포인트를 재설정하시겠습니까?|Möchten Sie Ihre Attributpunkte wirklich zurücksetzen?|Êtes-vous sûr de vouloir réinitialiser vos points de Statistiques ?
hero_board_changes_prompt|Do you want to save your changes?|Haluatko tallentaa muutoksesi?|Você quer salvar suas mudanças?|Вы хотите сохранить изменения?|您想保存更改吗？|変更を保存しますか?|변경 사항을 저장하시겠습니까?|Möchten Sie Ihre Änderungen speichern?|Etes-vous sûr de vouloir réinitialiser vos points d'attribut ?
character_customize_buy_prompt|Would you like to purchase this item for|Haluatko ostaa tämän esineen hintaan|Você gostaria de comprar este item por|Хотите купить этот товар за|您想购买此商品吗？|このアイテムを購入しますか?|이 아이템을 구매하시겠습니까?|Möchten Sie diesen Artikel kaufen für|Voulez-vous enregistrer vos modifications ?
purchase_prompt|Would you like to purchase this item?|Haluatko ostaa tämän esineen?|Você gostaria de comprar este item?|Хотите купить этот товар? |您想购买此商品吗？ |このアイテムを購入しますか? |이 아이템을 구매하시겠습니까? |Möchten Sie diesen Artikel kaufen? |Souhaitez-vous acheter cet article pour
|||||||이 항목을 구매하시겠습니까?||Souhaitez-vous acheter cet article ? 
[online]|||||||||
ingame_tab|Ingame|Pelinsisäinen|Em jogo|В игре|游戏中|インゲーム|인게임|Im Spiel|En jeu
general_tab|General|Yleinen|Geral|Общий|通用|一般|일반|Allgemein|Général
trade_tab|Trade|Vaihto|Trocas|Торговля|交易|交換|무역|Handel|Commerce
guild_tab|Guild|Kilta|Guilda|Гильдия|公会|ギルド|길드|Gilde|Guilde
login|Login|Kirjaudu sisään|Entrar|Авторизоваться|登录|ログイン|로그인|Anmeldung|Connexion
register|Register|Rekisteröidy|Registrar|Регистрация|注册|登録|회원가입|Registrieren|Se connecter 
logout|Logout|Kirjaudu ulos|Sair|Выйти|登出|ログアウト|로그아웃|Abmelden|Se déconnecter
username|Username|Käyttäjänimi|Nome de Usuário|Имя пользователя|用户名|ユーザー名|사용자 명|Benutzername|Nom d'utilisateur
password|Password|Salasana|Senha|Пароль|密码|パスワード|비밀번호|Passwort|Mot de passe
remember_username|Remember login|Muista kirjautuminen|Lembrar Nome de Usuário|Запомнить логин|记住用户名|ユーザー名を記憶する|사용자 명을 기억하십시오|Benutzername merken|Se souvenir des identifiants
retype_password|Re-type password|Salasana uudelleen|Redigite a senha|Введите пароль еще раз|重新输入密码|パスワードを再入力する|비밀번호 재입력|Passwort wiederholen|Ressaisir le mot de passe
email|E-mail|Sähköposti|E-mail|Электронная почта|邮箱|Eメール|이메일|E-Mail|E-mail
forgot_password|Forgot password?|Unohditko salasanasi?|Esqueceu a senha?|Забыли пароль?|忘记密码？|パスワードを忘れましたか？|비밀번호를 분실하셨습니까?|Passwort vergessen?|Mot de passe oublié ?
password_too_short|Passwords too short.|Salasana liian lyhyt.|Senha muito curta.|Пароль слишком короткий.|密码过短。|パスワードが短すぎます。|비밀번호가 너무 짧습니다.|Passwört zu kurz.|Mot de passe trop courts.
password_no_match|Passwords do not match.|Salasanat eivät täsmää.|As senhas não combinam.|Пароли не совпадают.|密码不匹配。|パスワードが一致しません。|비밀번호가 일치하지 않습니다.|Passwörter stimmen nicht überein.|Les mots de passe ne correspondent pas.
information_missing|Insufficient information.|Tietoja puuttuu.|Informações insuficientes.|Недостаточно информации.|信息不足。|情報が不十分です。|정보가 불충분합니다.|Unzureichende Informationen.|Informations insuffisantes.
logging_in|Logging in...|Kirjaudutaan sisään...|Entrando...|Вход в систему...|正在登陆。。。。。。|ログインしています...|로그인 중...|Einloggen...|Connexion...
wrong_password|Wrong password|Väärä salasana|Senha incorreta|Неправильный пароль|错误密码|パスワードが間違っています|잘못된 비밀번호|Falsches Passwort|Mauvais mot de passe
cannot_login|Cannot login to online services.|Kirjautuminen verkkopalveluihin epäonnistui.|Não foi possível se conectar aos serviços on-line.|Не могу войти в онлайн-сервисы.|无法登录在线服务。|オンラインサービスにログインできません。|온라인 서비스에 로그인할 수 없습니다.|Anmeldung bei Online-Diensten nicht möglich.|Impossible de se connecter aux services en ligne.
description|Description|Selite|Descrição|Описание|描述|説明|소개문|Beschreibung|Description
player_list_guild|Guild Members|Killan jäsenet|Membros da Guilda|Члены гильдии|公会成员|ギルドメンバー|길드원|Gildenmitglieder|Membres de Guilde
join_discord|Join Hero Siege Discord server!|Liity Hero Siege Discord keskusteluun!|Junte-se ao servidor do Hero Siege no Discord!|Присоединяйтесь к серверу Discord Hero Siege!|加入英雄围攻Discord服务器！|Hero Siege Discordサーバーに参加しましょう！|히어로 시즈의 Discord 서버에 참여하십시오!|Treten Sie dem Hero Siege Discord Server bei!|Rejoignez le serveur Discord de Hero Siege !
report_bugs|Report bugs|Raportoi bugeja|Reportar bugs|Сообщить об ошибках|报告错误|レポートのバグ|보고서 버그|Fehler melden|Signaler les bugs
players_online|Players Online|Pelaajia online|Jogadores Online|Игроки онлайн|在线玩家|オンラインプレイヤー|온라인 플레이어|Spieler online|Joueurs en ligne
players|Players|Pelaajaa|Jogadores|Игроки|玩家|プレイヤー|플레이어|Spieler|Joueurs
create_private_game|Create Game|Luo Peli|Criar Jogo|Создать игру|创建私人游戏|プライベートゲームを作成する|비공개 게임 생성|Erstelle ein Spiel|Créer un jeu
join_public_game|Find Public Game|Etsi julkinen peli|Encontrar Jogo Público|Найти публичную игру|加入公共游戏|パブリックゲームに参加する|공개 게임 참가|Öffentliches Spiel|Trouver une partie publique
join_private_game|Join Game|Liity peliin|Entrar no Jogo|Присоединиться|加入游戏|ゲームに参加する|게임 참가|Spiel beitreten|Rejoindre
show_private_games|Show private games|Näytä yksityiset pelit|Mostrar jogos privados|Показать частные игры|显示私人游戏|プライベートゲームを表示する|비공개 게임 보기|Private Spiele anzeigen|Afficher les parties privées
public_game_not_found|No public game was found with the current search criteria. Starting a new public game.|Nykyisillä hakuehdoilla ei löytynyt julkista peliä. Aloitetaan uusi julkinen peli.|Nenhum jogo público foi encontrado com os critérios de pesquisa atuais. Iniciando um novo jogo público.|По текущим критериям поиска общедоступная игра не найдена. Начинаем новую публичную игру.|当前的搜索条件未找到公开游戏。开始一个新的公共游戏。|現在の検索条件で公開ゲームは見つかりませんでした。新しい公開ゲームを開始します。|현재 검색 기준에 맞는 공개 게임이 없습니다. 새로운 공개 게임을 시작합니다.|Mit den aktuellen Suchkriterien wurde kein öffentliches Spiel gefunden. Starte ein neues öffentliches Spiel.|Aucune partie publique n'a été trouvée avec les critères de recherche actuels. Commencer une nouvelle partie publique.
leaderboards|Leaderboards|Pistetaulukko|Placar de Líderes|Таблицы лидеров|排行榜|リーダーボード|리더보드|Bestenliste|Classements
chaos_tower_highscore|Chaos Tower|Kaaostorni|Torre do Caos|Chaos Tower|混沌之塔|カオスタワー|카오스 타워|Chaosturm|Tour du Chaos
chaos_tower_debuff_title|Choose Your Personal Hell|Valitse henkilökohtainen helvettisi |Escolha seu inferno pessoal|Выберите свой личный ад|选择你的个人地狱|自分だけの地獄を選択|개인 지옥 선택|Wähle deine persönliche Hölle|Choisissez votre enfer personnel
server_first_highscore|Server First Level 100|Palvelimen ensimmäinen tasolla 100|Servidor primeiro nível 100 |Сервер Первый уровень 100|服务器第一级100|サーバー初レベル 100|서버 첫 레벨 100|Server Erster Level 100|Premier niveau 100 du serveur
server_first_button_text|Server First Level 100|Palvelimen ensimmäinen tasolla 100|Primeiro Nível 100 do Servidor|Сервер Первый уровень 100|服务器第一级100|サーバー初レベル 100|서버 첫 레벨 100|Server Erster Level 100|Premier niveau 100 du serveur
hero_selection|Hero Selection|Hahmovalikko|Seleção do Herói|Выбор героя |英雄选择 |ヒーロー選択 |영웅 선택 |Heldenauswahl |Sélection du héros 
developer|Developer|Kehittäjä|Desenvolvedor|Разработчик|开发者|開発者|개발자|Entwickler|Développeur
moderator|Moderator|Moderaattori|Moderador|Модератор|mod制作者|mod製作者|모더레이터|Moderator|Modérateur
admin|Admin|Ylläpitäjä|Admin|Админ|管理员|管理者|관리자|Administrator|Administrateur
player|Player|Pelaaja|Jogador|Игрок|玩家|プレーヤー|플레이어|Spieler|Joueur
hero_level|Hero level|Sankaritaso|Nível Heroico|Уровень героя|英雄等级|ヒーローレベル|영웅 레벨|Helden-Level|Niveau du héros
; wormhole|Wormhole ; in zones|Madonreikä ; in zones|Buraco de Minhoca ; em zonas|Червоточина; в зонах|虫洞；在区域中 |ワームホール; ゾーン内 |웜홀 ; 구역 내 |Wurmloch; in Zonen |Trou de ver ; en zones 
expansion|Expansion|Lisäosa|Expansão|Расширение|扩展|拡張|확장팩|Erweiterung|Extension
ready|Ready|Valmis|Pronto|Готовый|准备|準備完了|준비|Bereit|Prêt
refresh|Refresh|Päivitä|Atualizar|Обновить|刷新|リフレッシュ|새로 고침|Aktualisieren|Rafraîchir
enter|Enter|Mene|Entrar|Входить|进入|入力|입장|Betreten|Entrer
wep_very_fast|Very Fast|Hyvin nopea|Muito Rápido|Очень быстро|极快|とても早い|매우 빠르게|Sehr Schnell|Très rapide
wep_fast|Fast|Nopea|Rápido|Быстрый|快速|早い|빠르게|Schnell|Rapide
wep_moderate|Moderate|Kohtalainen|Moderado|Умеренный|中速|普通|적당히|Moderat|Modéré
wep_slow|Slow|Hidas|Devagar|Медленный|缓慢|遅い|천천히|Langsam|Lent
wep_very_slow|Very Slow|Hyvin hidas|Muito Devagar|Очень медленно|极慢|とても遅い|매우 천천히|Sehr Langsam|Très lent
write_message|Write|Kirjoita|Escrever|Писать|写|記入|쓰기|Schreiben|Écrire
invalid_code|No internet connection or invalid code.|Ei internet yhteyttä tai virheellinen koodi.|Sem ligação à Internet ou código inválido.|Нет подключения к Интернету или неверный код.|无网络连接或代码不可用|インターネットの無効接続もしくはコード不可用です。|인터넷에 연결되어 있지 않거나 유효하지 않은 코드입니다.|Keine Internetverbindung oder ungültiger Code.|Pas de connexion internet ou code invalide
server_down|No internet connection or server down.|Ei internet yhteyttä tai palvelin ei vastaa.|Sem ligação à Internet ou servidor fora do ar.|Нет подключения к Интернету или сервер отключен.|无网络连接或服务器不可用|インターネットの無効接続もしくはサーバーダウンです。|인터넷에 연결되어 있지 않거나 서버가 다운되었습니다.|Keine Internetverbindung oder Serverausfall.|Pas de connexion internet ou de serveur indisponible.
merchant_busy|Merchant is busy.|Kauppias on varattu.|O Mercador está ocupado.|Торговец занят.|商家很忙。|商人は忙しいです。|상인이 바쁩니다.|Händler ist beschäftigt.|Le marchand est occupé.
game_invite_sent|Game invite sent.|Pelikutsu lähetetty.|Convite de jogo enviado.|Приглашение в игру отправлено.|游戏邀请已发送。|ゲームへの招待が送信されました。|게임 초대가 전송되었습니다.|Spieleinladung gesendet.|Invitation de jeu envoyée.
game_invite_must_be_ingame|Must be in game for game invites.|Sinun täytyy olla pelissä lähettääksesi pelikutsu.|Deve estar em jogo para convites de jogo.|Для получения приглашений в игру необходимо быть в игре.|必须处于游戏中才能收到游戏邀请。|ゲームへの招待を受けるにはゲームに参加している必要があります。|게임 초대를 받으려면 게임에 참여해야 합니다.|Für Spieleinladungen muss man im Spiel sein.|Vous devez être en jeu pour recevoir des invitations de jeu.
hs_plus_cancel_confirm|Are you sure you want to cancel your Hero Siege Plus subscription?|Oletko varma että haluat peruuttaa Hero Siege Plus tilauksesi?|Tem certeza de que deseja cancelar sua assinatura do Hero Siege Plus?|Вы уверены, что хотите отменить подписку Hero Siege Plus?|您确定要取消 Hero Siege Plus 订阅吗？|Hero Siege Plus サブスクリプションをキャンセルしてもよろしいですか?|Hero Siege Plus 구독을 취소하시겠습니까?|Möchten Sie Ihr Hero Siege Plus-Abonnement wirklich kündigen?|Êtes-vous sûr de vouloir annuler votre abonnement à Hero Siege Plus ?
edit|Edit|Muokkaa|Editar|Изменить|编辑|編集|편집|Bearbeiten|Modifier
report|Report|Raportoi|Denunciar|Сообщить|报告|レポート|신고|Melden|Signaler
report_send_success|Report sent succesfully|Raportti lähetetty onnistuneesti |Denunciar enviado com sucesso|Сообщение отправлено успешно|报告已成功发送|レポートが正常に送信されました|신고가 성공적으로 전송되었습니다.|Bericht erfolgreich gesendet|Signaler avec succès
unblock|Unblock|Poista esto|Desbloquear|Разблокировать|解除屏蔽|ブロック解除|차단 해제|Entsperren|Débloquer
show_player_messages|Show player messages|Näytä pelaajaviestit|Mostrar mensagens do jogador|Показать сообщения игрока|显示玩家消息|プレイヤー メッセージを表示|플레이어 메시지 표시|Spielernachrichten anzeigen|Afficher les messages des joueurs
show_item_drop_messages|Show item drop messages|Näytä esineviestit|Mostrar mensagens de queda de itens|Показать сообщения о выпадении предметов|显示物品掉落消息|アイテム ドロップ メッセージを表示|아이템 드롭 메시지 표시|Nachrichten zum Ablegen von Gegenständen anzeigen|Afficher les messages de dépôt d'objets
start|Start|Aloita|Iniciar|Начать|开始|開始|시작|Starten|Démarrer
submit|Submit|Lähetä|Enviar|Отправить|提交|送信|제출|Senden|Envoyer
members|Members|Jäsenet|Membros|Участники|会员|メンバー|멤버|Mitglieder|Membres
invites|Invites|Kutsut|Convites|Приглашения|邀请|招待|초대|Einladungen|Invitations
pending_invites|Pending invites|Lähetetyt kutsut|Convites pendentes |Ожидающие приглашения |待处理的邀请 |保留中の招待 |보류 중인 초대 |Ausstehende Einladungen |Invitations en attente 
|||||||||
[GUILDS]|||||||||
guilds|Guilds|Killat|Guildas|Гильдии|公会|ギルド|길드|Gilden|Guildes
guild_name|Guild name|Killan nimi|Nome da Guilda|Название гильдии|公会名|ギルド名|길드 명|Gildenname|Nom de guilde
guild_tag|Guild tag|Killan lyhenne|Tag da Guilda|Тег гильдии|公会标签|ギルドタグ|길드 태그|Gilden-Tag|Tag de guilde
guild_desc|Guild Description|Killan selite|Descrição da Guilda|Описание гильдии|公会描述|ギルドの説明|길드 소개문|Gildenbeschreibung|Description de la guilde
guild_permission_no_access|No access|Ei pääsyä|Sem acesso|Нет доступа|无访问权限|アクセス不可|접근 불가|Kein Zugriff|Pas d'accès
guild_permission_view_only|View only|Vain katselu|Apenas ver|Только просмотр|仅查看|表示のみ|보기 전용|Nur anzeigen|Affichage uniquement
guild_permission_add_items|Add items|Lisää esineitä|Adicionar Itens|Добавить элементы|添加项目|アイテムの追加|아이템 추가|Elemente hinzufügen|Ajouter des éléments
guild_permission_full_access|Full access|Täydet oikeudet|Acesso completo|Полный доступ|完全访问权限|フルアクセス|전체 접근|Vollzugriff|Accès complet
guild_tab_display|Display|Näyttö|Exibição|Отображать|显示|表示|표시|Anzeigen|Affichage
guild_tab_perks|Perks|Edut|Vantagens|Перки|特权|特典|특전|Vergünstigungen|Avantages
guild_tab_settings|Settings|Asetukset|Configurações|Настройки|设置|設定|설정|Einstellungen|Paramètres
guild_officer_color|Officer color|Valvojan väri|Cor do Oficial|Цветофицера|官员颜色|役員の色|임원 색상|Offizierfarbe|Couleur de l'officier
guild_member_color|Member color|Jäsenen väri|Cor do Membro|Цвет участника|成员颜色|メンバーの色|멤버 색상|Mitgliedsfarbe|Couleur du membre
guild_officer_name|Officer name|Valvojan nimi|Nome do Oficial|Имя офицера|官员姓名|役員名|임원 이름|Offiziername|Nom de l'officier
guild_member_name|Member name|Jäsenen nimi|Nome do Membro|Имя участника|成员姓名|メンバー名|멤버 이름|Mitgliedsname|Nom du membre
guild_edit_description|Edit Description|Muokkaa selitettä|Editar Descrição|Изменить описание|编辑描述|説明の編集|설명 편집|Beschreibung bearbeiten|Modifier la description
guild_leave|Leave guild|Poistu killasta|Sair da guilda|Покинуть гильдию|离开公会|ギルドを脱退|길드 탈퇴|Gilde verlassen|Quitter la guilde
guild_invite_member|Invite member|Kutsu jäsen|Convidar membro|Пригласить участника|邀请成员|メンバーを招待|멤버 초대|Mitglied einladen|Inviter un membre
guild_apply|Apply|Käytä|Aplicar|Применять|申请|適用|신청|Bewerben|Postuler
guild_stash_level_requirement_prompt|Guild Stash is unlocked at guild level 20!|Kiltapankki avautuu kiltatasolla 20!|O Armazém da Guilda é liberado no Nível 20 da Guilda!|Тайник гильдии открывается на 20 уровне гильдии!|公会储藏室在公会等级 20 时解锁！|ギルド スタッシュはギルド レベル 20 でロック解除されます!|길드 보관함은 길드 레벨 20에서 잠금 해제됩니다!|Gildenlager wird auf Gildenlevel 20 freigeschaltet!|Le coffre de guilde est déverrouillé au niveau de guilde 20 !
guild_stash_guildless_prompt|You seem guildless. I've got nothing for you!|Sinulla ei ole kiltaa. En voi auttaa sinua!|Você parece sem guilda. Tenho nada pra você!|Вы, кажется, лишены гильдии. У меня для тебя ничего нет!|你似乎没有公会。我没什么可以给你的！|あなたはギルドに所属していないようです。あなたには何も用意できません!|당신은 길드가 없는 듯합니다. 저는 당신에게 줄 게 없습니다!|Du scheinst gildenlos zu sein. Ich habe nichts für dich!|Vous semblez sans guilde. Je n'ai rien pour vous !
