[npc]|en|fi|pt|ru|zh|ja|ko|de|fr
dialog_valhallaDenied|Hey, where did you come from?|Hey, where did you come from?|Ei, de onde você veio?|Эй, откуда ты взялся?|Hey, where did you come from?|Hey, where did you come from?|이봐, 어디서 왔어?|Hey, where did you come from?|Hé, d'où venez-vous ?
dialog_valhallaPeace_01|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him 'till the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|De Valhalla, você diz? Então você deve ser muito forte e corajoso! Como esta é a nossa última parada antes de finalmente chegarmos a Helheim e à paz eterna, tenho que perguntar se você poderia encontrar o urso de brinquedo do meu filho em nossa trilha. Ele ficaria arrasado se não o acompanhasse até o fim...|Из Валгаллы, говоришь? Тогда ты, должно быть, действительно сильный и храбрый! Поскольку это наша последняя остановка перед окончательным прибытием в Хельхейм и обретением вечного мира, я должен спросить, сможете ли вы найти игрушечного медвежонка моего сына по нашему следу. Он был бы опустошен, если бы это не сопровождало его до конца...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|발할라에서 왔다고요? 그렇다면 정말 강하고 용감한 분이겠군요! 헬헤임과 영원한 평화에 도달하기 전에 마지막 정거장이기 때문에, 우리 길을 따라 아들의 장난감 곰을 찾아줄 수 있는지 물어봐야겠어요. 그것이 끝까지 함께하지 않으면 아들이 매우 슬퍼할 거예요...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|Du Valhalla, dites-vous ? Vous devez être vraiment fort et courageux ! Comme il s'agit de notre dernière étape avant de rejoindre Helheim et la paix éternelle, je dois vous demander si vous pouvez trouver l'ourson de mon fils sur notre chemin. Il serait effondré s'il ne l'accompagnait pas jusqu'à la fin...
dialog_valhallaPeace_02|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Obrigado, herói! Agora todos nós podemos descansar em paz.|Спасибо тебе, герой! Теперь мы все можем покоиться с миром.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|고마워요 영웅님! 이제 모두 평화롭게 쉴 수 있겠어요.|Thank you hero! Now we may all rest in peace.|Merci mon héros ! Maintenant, nous pouvons tous reposer en paix.
dialog_valhallaPeace_03|I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,15] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |Eu neguei Valhalla a vocês, assim como vocês negarão Helheim a essas pragas imundas.[pause,15] [pause,0][nl]Você é apenas um ser humano, sua mente se quebrará e seu corpo o seguirá.[pause,15] |Я отрекся от тебя в Валгалле, как и ты отрекешь Хельхейм от этих мерзких вредителей.[пауза,15] [пауза, 0] [nl] Ты всего лишь человек, твой разум сломается, и твое тело последует за ним.[пауза,15] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |나는 너에게 발할라를 부정했다, 너는 이 더러운 해충들에게 헬하임을 부정할 것이다.[pause,15] [pause,0][nl]너는 단지 인간일 뿐이다, 너의 정신은 무너지고 너의 몸도 그 뒤를 따를 것이다.[pause,15]|I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |Je vous ai refusé le Valhalla, comme vous refuserez Helheim à ces sales parasites[pause,15] [pause,0] [nl]Vous n'êtes qu'un être humain, je vais briser votre esprit puis se sera le tour de votre corps[pause,15].
|||||||||
dialog_valhallaDenied_purged|Where am I? Who am I?||||||여기가 어디지? 나는 누구지?||
dialog_valhallaPeace_01_purged|I feel a sense of... disconnection from this world, as if I've been severed from my own life and memories. Please, find my son's [c_yellow]Toy Bear[c_reset] and bring it here. It is the last thing I remember needing, althought I am unsure as to why... maybe it will bring some memories back.||||||이 세상과의... 단절감을 느낍니다. 마치 제 삶과 기억에서 끊어진 것처럼요. 제발, 제 아들의 [c_yellow]장난감 곰[c_reset]을 찾아서 여기로 가져다 주세요. 그것이 제가 마지막으로 필요했던 것이라 기억합니다만, 왜인지 확신할 수 없습니다... 어쩌면 그것이 기억을 되찾게 해줄지도 모릅니다.||
dialog_valhallaPeace_02_purged|Who... are you? My very being feels being pulled more and more away from existence, but somehow this [c_yellow]Toy Bear[c_reset] brings me a feeling of warmth and hope. Thank you for bringing it to me. I feel like I should pass this to someone. Why do I feel like I have a son? This must be his...||||||누구...세요? 내 존재가 점점 사라지는 느낌이지만, 이 [c_yellow]장난감 곰[c_reset]이 나에게 따뜻함과 희망을 줍니다. 가져다줘서 고마워요. 이걸 누군가에게 전해야 할 것 같아요. 왜 아들이 있는 것 같은 느낌이 들까요? 이건 분명 그의 것일 거예요...||
dialog_valhallaPurged_Astrid|[shake_letter][c_aqua]I feel strange... What happened? Where am I?[c_reset][shake_reset]||||||[shake_letter][c_aqua]이상한 느낌이 드는데... 무슨 일이 있었지? 여기가 어디지?[c_reset][shake_reset]||
dialog_valhallaPurged_common|[shake_letter][c_aqua].........?[c_reset][shake_reset]||||||[shake_letter][c_aqua].........?[c_reset][shake_reset]||
|||||||||
[Nightmare Quest]|||||||||
dialog_mainMagicStones|Greetings Hero! The forces of evil are getting stronger within the Black Tower, will you help us slay their commander?||Saudações, herói! As forças do mal estão ficando mais fortes dentro da Torre Negra. Você nos ajudará a matar o comandante delas?||||안녕하세요, 영웅님! 검은 탑 안에서 악의 세력이 점점 강해지고 있습니다. 그들의 지휘관을 처치하는 데 도와주시겠습니까?||
dialog_mainMagicStones_end|That was faster than expected! Take these runes, you might have more use for them than me.||Isso foi mais rápido do que o esperado! Pegue essas runas, talvez você tenha mais utilidade para elas do que eu.||||생각보다 빨랐군요! 이 룬들을 가져가세요, 저보다 당신에게 더 유용할지도 몰라요.||
dialog_mainHuntingWild|We are having problems fighting the wild life as they seem to have allied with the undead. Could you help us slaying them?||Estamos tendo problemas para combater os animais selvagens, pois eles parecem ter se aliado aos mortos-vivos. Você poderia nos ajudar a matá-los?||||야생 동물들이 언데드와 동맹을 맺은 것 같아서 싸우는 데 문제가 있습니다. 그들을 처치하는 데 도와주실 수 있나요?||
dialog_mainHuntingWild_end|Our people are thankful for your aid! Take these as a token of our appreciation!||Nosso povo é grato por sua ajuda! Tome isto como um símbolo de nossa gratidão!||||우리 사람들은 당신의 도움에 감사드립니다! 감사의 표시로 이것을 받아주세요!||
dialog_mainTombRaider|The desert and our sacred pyramid of Mos’Arathim is taken over by the undead. Please help us cleanse this holy place so we can charish it once gain!||O deserto e a nossa pirâmide sagrada de Mos'Arathim foram tomados pelos mortos-vivos. Por favor, ajude-nos a limpar esse lugar sagrado para que possamos voltar a prezá-lo!||||사막과 우리의 신성한 모스아라팀 피라미드가 언데드에 의해 점령되었습니다. 이 신성한 장소를 정화하여 다시 소중히 여길 수 있도록 도와주세요!||
dialog_mainTombRaider_end|May the gods bless you hero! Here is a gift from our people!||Que os deuses o abençoem, herói! Aqui está um presente de nosso povo!||||신들이 당신을 축복하길, 영웅이여! 우리 민족의 선물을 받으세요!||
dialog_mainSecretsIron|Ahhh just as I was looking for someone. My back is not as good as it used to be... Could you help me by slaying the Forge Master within the Abadoned mine and mining some Iron Ore for me? I will reward you accordingly!||Ahhh, exatamente quando eu estava procurando por alguém. Minhas costas não estão tão boas quanto antes... Você poderia me ajudar matando o Mestre da Forja dentro da Mina Abandonada e minerando um pouco de Minério de Ferro para mim? Eu o recompensarei de acordo!||||아, 마침 누군가를 찾고 있었는데. 허리가 예전 같지 않아서 말이야... 버려진 광산 안에 있는 대장장이를 처치하고 철광석을 좀 캐다 줄 수 있겠나? 그에 맞는 보상을 해주겠네!||
dialog_mainSecretsIron_end|Thank you so much! Highly appreciated!!! Here, take these valuables!||Muito obrigado! Gratidão!!! Aqui, pegue estes objetos de valor!||||정말 감사합니다! 대단히 고마워요!!! 여기, 이 귀중품들을 받아주세요!||
dialog_mainWarlordTraining|Greetings hero! If you wish to join our clan I need you to prove your combat skills and slay a legion of undead monsters within karponia! May the gods be by your side!||Saudações, herói! Se quiser se juntar ao nosso clã, preciso que prove suas habilidades de combate e mate uma legião de monstros mortos-vivos em Karponia! Que os deuses estejam ao seu lado!||||안녕하세요, 영웅님! 우리 클랜에 가입하고 싶다면, 당신의 전투 능력을 증명하고 카르포니아에서 언데드 몬스터 군단을 처치해야 합니다! 신들의 가호가 함께 하길!||
dialog_mainWarlordTraining_end|Hahaha.. *Bows before you*. You have made us proud brother. Take this weapon, the clan will always have your back!||Hahaha... *Faz uma reverência diante de você*. Você nos deixou orgulhosos, irmão. Pegue esta arma, o clã sempre estará ao seu lado!||||하하하.. *당신 앞에 머리를 숙입니다*. 당신은 우리를 자랑스럽게 만들었어요, 형제여. 이 무기를 받아요, 클랜이 항상 당신을 지켜줄 것입니다!||
dialog_mainSoulsOfDead|Grace to you hero! The Dawn’s Chappel seeks your aid on purifying our lands of the malevolent spirits! Will you aid us?||Graça a você, herói! A Capela Dawn busca sua ajuda para purificar nossas terras dos espíritos malévolos! Você nos ajudará?||||영웅에게 은혜를! 새벽의 예배당이 악령으로부터 우리의 땅을 정화하는 데 당신의 도움이 필요합니다! 도와주시겠습니까?||
dialog_mainSoulsOfDead_end|Bless you hero! Take these and may the lord be with you!||Abençoado seja você, herói! Pegue isso e que o Senhor esteja com você!||||축복을 받으세요, 영웅이여! 이것을 가져가시고 주님이 함께 하시길!||
dialog_mainLostManual|Gosh darnit! I lost my manual inside the distorted horizons and now its filled with these weird monsters from a parallel universe. Could you help me retrieve it? I will reward you for your trouble!||Poxa vida! Perdi meu manual dentro dos Horizontes Distorcidos e agora ele está cheio desses monstros estranhos de um universo paralelo. Você poderia me ajudar a recuperá-lo? Eu o recompensarei por seu trabalho!||||이런! 나는 왜곡된 지평선 안에 내 매뉴얼을 잃어버렸고, 이제 그것은 평행 우주의 이상한 괴물들로 가득 차 있어. 그것을 되찾는 것을 도와줄 수 있겠어? 당신의 수고에 대한 보상을 드릴게요!||
dialog_mainLostManual_end|My manual!!! Thank you so much! Take this, hopefully it serves you better!||Meu manual!!! Muito obrigado! Fique com ele, espero que lhe sirva melhor!||||내 설명서!!! 정말 고마워! 이거 받아, 더 잘 쓰이길 바래!||
dialog_mainEightLegMonst|Hello stranger! I see you have quite the equipment there! You look just like someone I was trying to find. Would you help us remove an eight legged problem that our town is having?||Olá, estranho! Vejo que você tem um equipamento e tanto! Você se parece com alguém que eu estava tentando encontrar. Você poderia nos ajudar a eliminar um problema de oito patas que nossa cidade está tendo?||||안녕하세요, 낯선 사람! 당신은 꽤나 좋은 장비를 가지고 있군요! 당신은 제가 찾고 있던 사람처럼 보이네요. 우리 마을에 있는 여덟 다리 문제를 해결해 줄 수 있나요?||
dialog_mainEightLegMonst_end|Finally! I can go explore the caves now! I found this stone that looks valuable, you might make more use of it.||Finalmente! Agora posso explorar as cavernas! Encontrei esta pedra que parece valiosa, talvez você possa usá-la melhor.||||드디어! 이제 동굴을 탐험할 수 있어! 이 귀중해 보이는 돌을 찾았어. 네가 더 잘 쓸 수 있을 거야.||
|||||||||
[Hell Quest]|||||||||
dialog_mainGrandPurge|Ah.. I was just looking for you. The undead are getting out of control! Could you help us contain them?||Ah, eu estava procurando por você. Os mortos-vivos estão ficando fora de controle! Você poderia nos ajudar a contê-los?||||아.. 당신을 찾고 있었어요. 언데드가 통제 불능 상태에요! 그들을 제압하는 것을 도와주실 수 있나요?||
dialog_mainGrandPurge_end|Marvellous! Here is your reward!||Maravilhoso! Aqui está sua recompensa!||||멋져요! 여기 보상이 있어요!||
dialog_mainProtectWilderness|Greetings hero! Our troops are falling short and we are in dire need of reinforcements! Will you join and help us slay the undead and stack our food storages?||Saudações, herói! Nossas tropas estão ficando curtas além do necessário e precisamos urgentemente de reforços! Você se juntaria a nós e nos ajudaria a matar os mortos-vivos e a estocar nossos estoques de alimentos?||||안녕하세요, 영웅님! 우리의 병력이 부족하고, 긴급히 지원이 필요합니다! 우리와 함께하여 언데드를 처치하고 식량 저장고를 채워주시겠습니까?||
dialog_mainProtectWilderness_end|Great work! Here, take these for your trouble!||Ótimo trabalho! Aqui, pegue isto pelo seu trabalho!||||멋진 작업이에요! 여기, 고생한 보상이에요!||
dialog_mainFreeSpirits|Good day hero! The lands of Mos’Arathim have encountered some kind of curse. We would appreciate a helping hand with freeing trapped souls within the deserts.||Bom dia, herói! As terras de Mos'Arathim sofreram algum tipo de maldição. Gostaríamos de receber uma ajuda para libertar as almas presas nos desertos.||||좋은 하루입니다, 영웅님! 모스아라팀의 땅이 어떤 저주에 걸렸습니다. 사막에 갇힌 영혼들을 해방시키는 데 도움을 주시면 감사하겠습니다.||
dialog_mainFreeSpirits_end|Bless you! Here is your reward!||Abençoado seja você! Aqui está sua recompensa!||||축하합니다! 여기 보상이 있습니다!||
dialog_mainTarethiumsEssence|Splendid day hero! I am looking for some tarethium ores. Would you be interested in mining some for me? I will reward you greatly!||Esplêndido dia, herói! Estou procurando alguns minérios de tarethium. Você estaria interessado em minerar alguns para mim? Eu o recompensarei muito!||||멋진 하루입니다, 영웅님! 저는 타레티움 광석을 찾고 있습니다. 저를 위해 채굴해 주시겠습니까? 후하게 보상해 드리겠습니다!||
dialog_mainTarethiumsEssence_end|Excellent!! Here is a reward that should make you really happy!||Excelente!!! Aqui está uma recompensa que deve deixá-lo muito feliz!||||훌륭해요!! 여기 당신을 정말 행복하게 해줄 보상이 있어요!||
dialog_mainWarlordsCommand|Greetings hero! Are you ready for the ultimate combat training? ||Saudações, herói! Você está pronto para o treinamento de combate definitivo?||||안녕하세요, 영웅님! 궁극의 전투 훈련을 받을 준비가 되셨나요?||
dialog_mainWarlordsCommand_end|You are a true warrior! Take these!||Você é um verdadeiro guerreiro! Leve isto!||||당신은 진정한 전사입니다! 이걸 받아요!||
dialog_mainPurification|Blessed day stranger! We seek your aid in purifying the lands of unholy forces. Will you accept?||Dia abençoado, forasteiro! Buscamos sua ajuda para purificar as terras de forças profanas. Você aceita?||||축복받은 날이군요, 낯선 이여! 우리는 불경한 세력으로부터 땅을 정화하는 데 당신의 도움이 필요합니다. 도와주시겠습니까?||
dialog_mainPurification_end|God bless you! May these riches bless your day!||Deus os abençoe! Que estas riquezas abençoem seu dia!||||하느님이 당신을 축복하길! 이 부가 당신의 하루를 축복하길!||
dialog_mainFixingGlitches|Oh boy... We messed up big time and caused a bunch of glitches. Will you help us?||Ih, rapaz... Fizemos uma grande besteira e causamos várias falhas. Você pode nos ajudar?||||이런... 우리가 큰 실수를 저질러서 여러 가지 오류가 발생했어요. 도와주실래요?||
dialog_mainFixingGlitches_end|Phew... That was close. Here, take this for your journey!||Ufa... Essa foi por pouco. Aqui, pegue isto para sua viagem!||||휴... 아슬아슬했어. 여기, 여행을 위해 이걸 받아!||
dialog_mainCleansingValhalla|Uh oh... The townsfolk are scared to go out of the town, there are undead everywhere!! Please help us hero!||Uh oh... Os habitantes da cidade estão com medo de sair da cidade, pois há mortos-vivos por toda parte!!! Por favor, ajude-nos, herói!||||어머나... 마을 사람들이 마을 밖으로 나가는 것을 두려워하고 있어요. 곳곳에 언데드가 있어요!! 제발 도와주세요, 영웅님!||
dialog_mainCleansingValhalla_end|We are eternally grateful for your help! Please take these as a token of appreciation!||Somos eternamente gratos por sua ajuda! Por favor, aceite isto como um sinal de agradecimento!||||당신의 도움에 영원히 감사드립니다! 감사의 표시로 이것들을 받아주세요!||
|||||||||
[Inferno Quest]|||||||||
dialog_fallOfDarkness|We need to bring an end to the darkness.. We must slay Gabriel and Amun-Ra, the sooner the better.. For all of us..||||||우리는 어둠을 끝내야 합니다.. 우리는 가브리엘과 아문-라를 처치해야 합니다, 빨리 할수록 좋습니다.. 우리 모두를 위해..||
dialog_fallOfDarkness_end|I bow before you noble hero! We will forever be grateful for what you have done for us all!||||||고귀한 영웅님께 경의를 표합니다! 우리 모두를 위해 해주신 일들에 영원히 감사할 것입니다!||
dialog_theLightOfDawn|Please.. Help us!! The forces of evil are growing too strong! ||||||제발.. 도와주세요!! 악의 세력이 너무 강해지고 있어요!||
dialog_theLightOfDawn_end|Thank you noble warrior.. Take these as a token of our appreciation!||||||고마워요, 고귀한 전사여.. 우리의 감사의 표시로 이것들을 받아주세요!||
|||||||||
|||||||||
|||||||||
[Halloween Quest]|||||||||
halloween_event_1|Oooooh what a headache... I'm never having that much pumpkin ale again. Hey, where am I? Who are you? I can't feel my legs... I can't feel any of my body parts! But I can feel that friendly maggot in my eye socket. Hey you, my minion! Go fetch rest of... Well, me.|Oooooh mikä päänsärky... En enää koskaan juo kurpitsaolutta. Hei, missä minä olen? Kuka sinä olet? En tunne jalkojani... En tunne mitään ruumiinosaani! Mutta tunnen tämän ystävällisen toukan silmäkuopassani. Hei sinä, kätyrini! Käy hakemassa... loput minusta.|Que dor de cabeça... nunca mais vou tomar tanta cerveja de abóbora. Ei, onde eu estou? Quem é Você? Não sinto minhas pernas... Não sinto nenhuma parte do meu corpo! Mas posso sentir essa larva amigável no meu olho. Ei você, meu servo! Vá buscar o resto de... Bom, eu.|Ооооо, какая головная боль... Я больше никогда не выпью столько тыквенного эля. Эй, где я? Кто ты? Я не чувствую своих ног... Я не чувствую ни одной части своего тела! Но я чувствую эту дружелюбную личинку в своей глазнице. Эй, ты, мой миньон! Иди приведи остальных... Ну, меня.|真是让人头疼... 我永远不会再有那么多的南瓜爱尔啤酒。 嘿， 我在哪里？ 你是谁？ 我感觉不到我的腿... 我感觉不到我 的任何身体部位！ 但我能感觉到我的 眼圈 是友好的蛆。 嘿， 你， 我的小乖乖！ 拿来的... 好吧我休息。|どのような頭痛... 私は再びそのくらいの カボチャのエールを持 つことはありませんよ。 ねえ、 私はどこですか？ あなたは誰？ 私は私の足を感じることができない。。。 私は私の体の部分のいずれかを感じることができません！ しかし、 私は私の 眼窩 でその優しいうじ虫を感じることができます。 ねえ、 私の手先！の... まあ、 私残りをフェッチ行きます。|무엇 두통... 나는 다시는 그 많은 호박 에일이없는거야. 이봐, 나는 어디로? 당신은 누구인가? 내 다리에 감각이 없습니다... 나는 내 신체 부위 중 하나를 느낄 수 없습니다! 하지만 내 눈구멍 에서 해당 친화적 인 구더기를 느낄 수 있습니다. 이봐, 내 미니언! 의... 그럼 내가 나머지를 가져 간다.|Was Kopfschmerzen... habe ich nie wieder so viel Kürbis ale. Hey, wo bin ich? Wer bist du? Ich kann meine Beine nicht mehr fühlen... ich keine meiner Körperteile fühlen! Aber ich kann diese freundliche Made in meinem augenhöhle fühlen. Hey du, mein Günstling! Go holen Rest... Nun mich.|Oooooh quel mal de tête... Je ne boirai plus jamais autant de bière à la citrouille. Hé, où suis-je ? Qui es-tu ? Je ne sens plus mes jambes... Je ne sens aucune partie de mon corps ! Mais je peux sentir ce sympathique asticot dans mon orbite. Hé toi, larbin ! Va chercher le reste de... Eh bien, de moi.
halloween_event_2|What took you so long?! Considering how slow you were, you are going to need that backbone much more than I do. BWAHAAHAHHA! No please, don't take it back...|Mikä kesti?! Ottaen huomioon kuinka hidas olet, tulet tarvitsemaan selkärankaa enemmän kuin minä. BWAHAAHAHHA! Se oli vitsi, älä vie sitä takaisin...|Por que demorou tanto?! Considerando o quão lento você foi, você precisará dessa espinha dorsal muito mais do que eu. HAHAHA! Não, por favor, não leve de volta...|Почему ты так долго?! Учитывая, насколько медлительным ты был, тебе этот костяк понадобится гораздо больше, чем мне. БВАХАХАХХА! Нет, пожалуйста, не бери свои слова обратно...|你怎么这么久？！ 考虑到您的速度有多慢， 您将比我需要更多的骨干。 哈哈哈！ 不， 请不要拿回去...|なんでそんな遅かったの？！ あなたがどれほど遅かったかを考えると、 あなたは私よりもはるかにそのバック ボーンを必要とするでしょう。 ははは！ いいえ、 取り戻さないでください...|왜 그렇게 늦었 어?! 당신이 얼마나 느리다는 것을 고려할 때, 당신은 내가하는 것보다 훨씬 더 그 골격이 필요할 것입니다. 하하하! 아니, 제발 가져 가지 마|Was hast du so lange gebraucht?! Wenn man bedenkt, wie langsam Sie waren, werden Sie dieses Rückgrat viel mehr brauchen als ich. HAHAHA! Nein bitte, nimm es nicht zurück...|Qu'est-ce qui t'a pris tant de temps ? Vu ta lenteur, tu vas avoir besoin de cette [c_yellow]colonne vertébrale[c_reset] bien plus que moi. BWAHAAHAHHA ! Non, s'il te plaît, ne fais pas demi-tour...
halloween_event_3|Aah, my right hand and my pelvis. Can you name more dynamic duo? Peanut and butter you say? Well I guess you are right... Get back in there, I'm only half a skeleton! Or half-a-ton BWAHAhahaa... Oh nevermind...|Aah, oikea käteni ja lantioni. Pystytkö nimeämään dynaamisemman duon? Maapähkinä ja voi? Noh, olet kait oikeassa... Takaisin töihin, olen vasta puolikas luuranko! Tai puoli-ranko BWAHAhahaa... Äh, unohda koko vitsi...|Aah, minha mão direita e minha pélvis. Você pode nomear uma dupla mais dinâmica? Amendoim e manteiga, você diz? Bem, acho que você está certo... Volte ao trabalho, sou apenas meio esqueleto!|Ааа, моя правая рука и мой таз. Можете ли вы назвать более динамичный дуэт? Арахис с маслом, вы говорите? Что ж, я думаю, вы правы... Возвращайтесь туда, я только наполовину скелет! Или полтонны БВАХАхахаа... О, неважно...|我的右手和骨盆。 你能说出更有活力的二人吗？ 你说花生酱吗？ 好吧， 我想你是对的... 回到工作， 我只是骷髅的一半！|右手と骨盤。 よりダイナミックなデュオ を指名できますか？ ピーナッツとバターと言いますか？ ええと、 あなたが正しいと思います... 仕事に戻ってください、 私はスケルトンの半分です！|오른손과 골반. 더 역동적 인 듀오 이름을 지정할 수 있습니까? 땅콩과 버터라고? 글쎄, 네 말이 맞아... 일하러 가라, 나는 단지 반 해골이야!|Meine rechte Hand und mein Becken. Können Sie ein dynamischeres Duo nennen? Erdnuss und Butter, sagst du? Nun, ich denke du hast recht... Mach dich wieder an die Arbeit, ich bin nur ein halbes Skelett!|"Aah, ma [c_yellow]main droite[c_reset] et mon [c_yellow]bassin[c_reset]. Peux-tu nommer un duo plus... dynamique ? Cacahuète et beurre, dis-tu ? Eh bien, je crois que tu as raison... Retourne là-dedans, je ne suis qu'un demi-squelette ! Ou un ""sque"" BWAHAhahaa... Oh, oublie ça..."
halloween_event_4|Finally, I have both of my arms! And since you are such a slacker, I might just lift myself off this pole and run to freedom! Uhm... crawl to freedom. Oh, who am I kidding. Handsome guy like me is nothing with out his beautiful legs!|Vihdoin, minulla on molemmat kädet! Ja, koska sinä olet laiskimus, minä voisin yhtä hyvin nostaa itseni tästä tangosta ja juosta vapauteen! Ööh... ryömiä vapauteen. Äh, ketä minä huijaan? Komea kaveri, kuten minä, ei ole mitään ilman komeita jalkojaan!|Finalmente, eu tenho meus dois braços! E já que você é tão preguiçoso, eu poderia me levantar desse poste e correr para a liberdade! Umm... rastejar para a liberdade. Oh, quem estou engando? Um cara bonito como eu não é nada sem suas lindas pernas!|Наконец-то у меня есть обе руки! И поскольку ты такой бездельник, я мог бы просто оторваться от этого шеста и побежать к свободе! Хм ... ползти к свободе. О, кого я обманываю. Такой красивый парень, как я, ничто без его красивых ног!|终于， 我有了双臂！ 而且由于您是如此的懒惰， 我可能会把自己从这极点上抬起来， 走向自由！ 嗯... 爬行到自由。 哦， 我在开玩笑。 像我这样的帅哥没什么漂亮的腿！|最後に、私は両腕を持っています！ そして、 あなたはそんなにたるんでいるので、 私はこの棒から自分 を持ち上げて自由に 走るかもしれません！ うーん... 自由に這う。 ああ、 冗談だよ。 私のようなハンサム な男は彼の美脚なし では何もありません！|마침내 나는 두 팔을 가지고있다! 그리고 당신이 너무 느슨하기 때문에, 나는이 기둥에서 벗어나 자신을 자유롭게 달릴 수 있습니다! 음... 자유로 기어가 내가 농담하는 사람 나와 같은 잘 생긴 남자는 그의 아름다운 다리가 아무것도 아닙니다!|Endlich habe ich beide Arme! Und da du so ein Faulpelz bist, könnte ich mich einfach von dieser Stange heben und in die Freiheit rennen! Ähm... krieche in die Freiheit. Oh, wen scherze ich? Ein hübscher Kerl wie ich ist nichts ohne seine schönen Beine!|Enfin, j'ai mes [c_yellow]deux bras[c_reset] ! Et puisque tu es un tel fainéant, je vais peut-être me soulever de ce poteau et courir vers la liberté ! Euh... ramper jusqu'à la liberté. Oh, de qui je me moque. Un beau gaillard comme moi n'est rien sans ses belles jambes !
halloween_event_5|Are you ready for a race? Let's see who is first to get outside of the town using only one leg. You think that I'm going to escape? No, of course not! I promise I'll hang myself back to this lovely pole after the race. Oh, screw you! Go fetch my other leg, you fleshy scumbag!|Oletko valmis kisaan? Katotaan kumpi ehtii ensimmäisenä kaupungin ulkopuolelle yhdellä jalalla. Kuvittelet, että yritän pakoon? En tietenkään! Lupaan, että laitan itseni roikkumaan tähän tankoon kisan jälkeen. Haista huilu! Mene hakemaan toinen jalkani, senkin lihallinen lurjus.|Você está pronto para uma corrida? Vamos ver quem é o primeiro a sair da cidade usando apenas uma perna. Você acha que eu vou escapar? Não, claro que não! Prometo que vou me pendurar de volta a este lindo poste depois da corrida. Ah, dane-se você! Vá buscar minha outra perna, seu canalha carnudo!|Ты готов к гонке? Давай посмотрим, кто первым выберется за пределы города, используя только одну ногу. Ты думаешь, я собираюсь сбежать? Нет, конечно, нет! Обещаю, что после гонки я снова повешусь на этот прекрасный шест. Да пошел ты! Принеси мне вторую ногу, ты, мясистый подонок!|你准备好参加比赛了吗？ 让我们看看谁最先 用一只脚走出城镇。 你以为我要逃脱？ 不， 当然不！ 我保证比赛后我会 把自己吊回到这 个可爱的杆子上。 哦， 搞砸了！ 去拿我的另一只腿， 你这个肉烂的卑鄙小人！|レースの準備はできていますか？ 片足だけで最初に 町の外に出るのは誰 かを見てみましょう。 あなたは私が逃げるつ もりだと思いますか？ いいえ、 もちろん違います！ レースが終わったら、 この素敵なポール にぶら下がるこ とを約束します。 ああ、 あなたを台無しに！ 私のもう片方の足を取 りに行ってください、 あなたは肉質の土嚢です！|경주 준비가 되셨습니까? 한쪽 다리 만 사용하여 누가 먼저 도시 밖으로 나가는 지 봅시다. 내가 탈출 할 것 같아? 물론 아닙니다! 경기가 끝나고이 멋진 장대에 몸을 맡기겠다고 약속드립니다. 오, 망쳐! 내 다른 다리를 가져 가라, 다육 쓰레기.|Bist du bereit für ein Rennen? Mal sehen, wer als erster mit nur einem Bein aus der Stadt kommt. Glaubst du, ich werde fliehen? Nein natürlich nicht! Ich verspreche, dass ich mich nach dem Rennen wieder an diese schöne Stange hängen werde. Oh, scheiß auf dich! Hol mein anderes Bein, du fleischiger Drecksack!|Êtes-vous prêts pour une course ? Voyons qui sera le premier à sortir de la ville en n'utilisant qu'une seule jambe. Tu crois que je vais m'échapper ? Non, bien sûr que non ! Je promets de me pendre à ce beau poteau après la course. Oh, va te faire voir ! Va chercher mon [c_yellow]autre jambe[c_reset], espèce de salopard charnu !
