[quest]|en|fi|pt|ru|zh|ja|ko|de|fr
quest_name_204|Snowball fight!|Lumisota!|Luta na neve!|Игра в снежки!|打雪仗！|雪合戦！|눈 싸움!|Schneeballschlacht!|Combat de boules de neige !
quest_description_204|Use the Snowball relic to cover enemies in snow!|Käytä lumipalloaarretta peittääksesi harvinaisia vihollisia lumeen!|Utilizar a relíquia da bola de neve para cobrir os inimigos com neve!|Используй реликвию Снежка, чтобы засыпать врагов снегом!|用雪球遗物将稀有敌人埋起来！|スノーボールの遺物を使って珍しい敵を雪の中に埋めましょう！|눈덩이 유물을 사용하여 희귀 몬스터를 눈으로 덮어버리십시오!|Verwende Schneebaelle, um seltene Gegner im Schnee zu entdecken!|Utilisez la relique Boule de neige pour recouvrir les ennemis de neige !
quest_objective_204_1|Enemies hit|Vihollista osuttu.|Inimigos atingidos|Враги поражены|已击中稀有敌人。|レアな敵がヒットされました。|눈덩이에 맞은 희귀 몬스터.|Seltenen Gegner gefunden.|Ennemis touchés
|||||||||
quest_name_205|It's so dark|On niin pimeää|Está tão escuro|Здесь так темно|太暗了|とても暗い|너무 어두워|Es ist so dunkel|Il fait si sombre
quest_description_205|Collect Christmas lights in Act III.|Kerää jouluvaloja tasossa III.|Colete luzes de Natal no ATO III.|Соберите рождественские гирлянды в акте III.|在章节III收集圣诞灯。|幕 III でクリスマス・ライトを集めましょう。|액트 III에서 크리스마스 전구를 모으십시오.|Sammle Weihnachtsbeleuchtung in Akt III.|Collectez les guirlandes de Noël dans l'acte III.
quest_objective_205_1|Christmas lights collected|Jouluvaloja kerätty.|Luzes de Natal recolhidas|Собранные рождественские огни|已收集圣诞灯。|クリスマス・ライトが集められました。|모은 크리스마스 전구.|Weihnachtsbeleuchtung gesammelt.|Guirlandes de Noël collectées
|||||||||
quest_name_206|This town is missing something...|Tästä kylästä puuttuu jotain...|Esta cidade está faltando alguma coisa...|Этому городу чего-то не хватает...|这个小镇缺什么东西…|この町は何かが欠けている…|뭔가가 빠졌는데...|Dieser Stadt fehlt etwas ...|Il manque quelque chose à cette ville...
quest_description_206|Retrieve the Christmas Tree from Anubis in Act III.|Hae joulukuusi Anubikselta tasossa III.|Recupere a árvore de Natal de Anúbis no ATO III.|Заберите Рождественскую елку у Анубиса в ТРЕТЬЕМ акте.|从章节III的阿努比斯收集圣诞树。|幕 III のアヌビスからクリスマス・ツリーを取り戻してください。|액트 III에서 아누비스에게 빼앗긴 크리스마스 트리를 되찾아오십시오.|Holt den Weihnachtsbaum von Anubis in Akt III.|Récupérez l'arbre de Noël d'Anubis à l'acte III.
quest_objective_206_1|Christmas tree retrieved|Joulukuusi haettu.|Árvore de Natal recuperada|Извлеченная рождественская елка|已收集圣诞树。|クリスマス・ツリーが取り戻されました。|되찾은 크리스마스 트리.|Weihnachtsbaum abgeholt.|Arbre de Noël récupéré
|||||||||
quest_name_207|Robin Hood is my idol|Robin Hood on idolini|Robin Hood é meu ídolo|Робин Гуд - мой кумир|罗宾汉是我的偶像|ロビンフッドは私のアイドル|로빈 훗은 내 우상|Robin Hood ist mein Idol|Robin des bois est mon idole
quest_description_207|Use Thief's glove to steal Christmas decorations from enemies.|Käytä varkaan käsinettä varastaaksesi joulukoristeita vihollisilta.|Utilizar a luva de ladrão para roubar decorações de Natal dos inimigos.|Используйте перчатку вора, чтобы украсть рождественские украшения у врагов.|使用盗贼手套从敌人那里偷取圣诞装饰。|泥棒の手袋を使って敵からクリスマスの装飾品を盗んでください。|도둑의 장갑을 사용해서 적들로부터 크리스마스 장식을 훔치십시오.|Benutze die Diebeshandschuhe, um Weihnachtsschmuck vonGegnern zu stehlen.|Utilisez le gant de voleur pour voler les décorations de Noël de vos ennemis.
quest_objective_207_1|Christmas decoration stolen|Joulukoristeita varastettu.|Decoração de Natal roubada|Украдено рождественское украшение|已偷到圣诞装饰。|クリスマス装飾が盗まれました。|훔친 크리스마스 장식.|Weihnachtsdekoration gestohlen.|Décoration de Noël volée
|||||||||
quest_name_208|Let's bring the Christmas spirit!|Tulkoon joulun henki!|Vamos trazer o espírito de Natal!|Давайте привнесем дух Рождества!|让我们带来圣诞之魂吧！|クリスマス・スピリットを持っていこう！|제대로 크리스마스 분위기를 내보자!|Lasst uns den Weihnachtsgeist holen!|Faisons briller l'esprit de Noël !
quest_description_208|Retrieve the Christmas star from Damien in Act IV.|Hae joulutähti Damienilta tasossa IV.|Recupere a estrela de Natal de Damien no ATO IV.|Заберите рождественскую звезду у Дэмиена в четвертом акте.|从章节IV的达米安处取得圣诞星。|幕 IV のダミアンからクリスマス・スターを取り戻してください。|액트 IV에서 데미언에게 빼앗긴 크리스마스 별을 되찾아오십시오.|Holt den Weihnachtsstern von Damien in Akt IV.|Récupérez l'étoile de Noël auprès de Damien à l'acte IV.
quest_objective_208_1|Christmas star retrieved|Joulutähti haettu.|Estrela de Natal recuperada|Извлеченная рождественская звезда|已收集圣诞星。|クリスマス・スターが取り戻されました。|되찾은 크리스마스 별.|Weihnachtsstern abgeholt.|Étoile de Noël récupérée
|||||||||
quest_name_209|Santa needs help!||Papai Noel precisa de ajuda!|Санте нужна помощь!|||산타가 도움이 필요해요!||Le Père Noël a besoin d'aide !
quest_description_209|Enter North Pole from Danethorpe and help Santa.||Ajude o Papai Noel no ATO 2 Zona 1|Помогите Санте в Действии 2, Зона 1|||다네소프에서 북극으로 가서 산타를 도와주세요.||Aidez le Père Noël dans l'Acte 2 Zone 1
quest_objective_209_1|North Pole reached||Polo Norte alcançado|Достигнут Северный полюс|||북극 도달||Pôle Nord atteint
quest_objective_209_2|Santa saved||Papai Noel salvo|Санта спасен|||산타 구출됨||Père Noël sauvé
|||||||||
[ANNIVERSARY EVENT]|||||||||
quest_name_300|Insert Coin|Aseta kolikko|Insira moeda|Вставить Монету|投币|コインを入れる|동전을 넣으세요|Muenze einwerfen|Insérer une pièce
quest_description_300|Retrieve an Ancient Coin from Gurag in Act I.|Hae muinainen kolikko Guragilta tasossa I.|Recupere uma moeda antiga de Gurag no ATO I.|Заберите Древнюю монету у Гурага в Акте I.|在第一幕中从古拉格 （Gurag） 取回古钱币。|幕 Iでグラグから古代のコインを回収します。|행위 I에서 구라 그에서 고대 주화를 회수하십시오.|Holt in Akt I eine uralte Muenze von Gurag.|Récupérer une pièce ancienne à Gurag dans l'acte I.
quest_objective_300_1|Coin retrieved|Kolikko haettu.|Moeda recuperada|Извлеченная монета|找回硬币。|コインを回収。|동전을 회수했습니다.|Muenze gesammelt.|Pièce récupérée
|||||||||
[GATES_OF_VALHALLA]|||||||||
quest_name_399|Memory of Mevius||Memória de Mevius||||메비우스의 기억||
quest_description_399|Enter the portal to the Memory of Mevius in south east of Inoya||Entre no portal para a Memória de Mevius no sudeste de Inoya||||이노야 남동쪽의 메비우스의 기억으로 가는 포털에 들어가세요||
quest_objective_399_1|Memory of mevius entered||Memória de Mevius entrou||||메비우스의 기억이 들어왔다||
|||||||||
quest_name_400|Welcome to Valhalla|Tervetuloa Valhallaan|Bem vindo a Valhalla|Добро пожаловать в Валгаллу|Welcome to Valhalla|Welcome to Valhalla|발할라에 오신 것을 환영합니다|Welcome to Valhalla|Bienvenue au Valhalla
quest_description_400|Reach Plain of Ida in Act 8 Zone 2.|Etsi pääsy Idan tasangolle taso 8 alueella 2.|Chegue na Planície de Ida no ATO 8 Zona 2.|Достигните равнины Ида в Зоне 2 Акта 8.|Reach Plain of Ida in Act 8 Zone 2.|Reach Plain of Ida in Act 8 Zone 2.|8막 2구역의 이다 평원에 도달하세요.|Reach Plain of Ida in Act 8 Zone 2.|Atteignez la Plaine d'Ida dans l'Acte 8 Zone 2.
quest_objective_400_1|Plain of Ida reached|Idan tasanko löydetty.|Planície de Ida alcançada|Равнина Иды достигла|Plain of Ida reached|Plain of Ida reached||Plain of Ida reached|Plaine d'Ida atteint
|||||||||
quest_name_401|Valkyrie Hunting|Valkyrien metsästys|Caça às Valquírias|Охота на Валькирий|Valkyrie Hunting|Valkyrie Hunting|발키리 사냥|Valkyrie Hunting|Chasse à la Valkyrie
quest_description_401|Get the key to Valhalla from the Valkyrie.|Get the key to Valhalla from the Valkyrie.|Pegue a chave para Valhalla da Valquíria|Получи ключ от Валгаллы у Валькирии.|Get the key to Valhalla from the Valkyrie.|Get the key to Valhalla from the Valkyrie.|발키리에게서 발할라의 열쇠를 얻으세요.|Get the key to Valhalla from the Valkyrie.|Obtenez la clé pour Valhalla auprès de la Valkyrie.
quest_objective_401_1|Valkyrie found|Valkyrie löydetty|Valquíria encontrada|Найденная Валькирия|Valkyrie found|Valkyrie found||Valkyrie found|Valkyrie trouvée
quest_objective_401_2|Key obtained|Avain saatu|Chave obtida|Полученный ключ|Key obtained|Key obtained|열쇠 획득|Key obtained|Clé obtenue
|||||||||
quest_name_402|Gates of Valhalla|Valhallan portit|Portões de Valhalla|Врата Валгаллы|Gates of Valhalla|Gates of Valhalla|발할라의 문|Gates of Valhalla|Les portes du Valhalla
quest_description_402|Return to Act 8 Zone 2 and enter Valhalla. |Mene Valhallaan.|Retorne ao ATO 8 Zona 2 e entre em Valhalla.|Вернитесь к Действию 8, Зона 2 и войдите в Валгаллу. |Enter Valhalla. |Enter Valhalla. |액트 8 존 2로 돌아가서 발할라에 들어가세요.|Enter Valhalla. |Retournez dans la zone 2 de l'acte 8 et entrez dans le Valhalla. 
quest_objective_402_1|Valhalla entered|Valhalla entered|Entrou em Valhalla|Вошла Валгалла|Valhalla entered|Valhalla entered|발할라에 입장|Valhalla entered|Entrer dans le Valhalla
|||||||||
quest_name_403|Access Denied|Pääsy evätty|Acesso Negado|Доступ запрещен|Access Denied|Access Denied|접근 거부|Access Denied|Accès refusé
quest_description_403|Find a way forward through the caves.|Find a way forward through the caves.|Encontre um caminho através das cavernas.|Найдите путь вперед через пещеры.|Find a way forward through the caves.|Find a way forward through the caves.|동굴을 통해 앞으로 나아갈 방법을 찾으세요.|Find a way forward through the caves.|Trouvez un moyen d'avancer dans les grottes.
quest_objective_403_1|Cave explored|Luola tutkittu|Caverna explorada.|Исследованная пещера|Cave explored.|Cave explored.|동굴 탐험 완료|Cave explored.|Grotte explorée
|||||||||
quest_name_404|Eternal Peace|Ikuinen rauha|Paz Eterna|Вечный Мир|Eternal Peace|Eternal Peace|영원한 평화|Eternal Peace|Paix éternelle
quest_description_404|Help Astrid find her childs Toy Bear in Act 8 Zone 4.|Help the souls in the camp.|Ajude Astrid a encontrar o Urso de Brinquedo de seu filho no ATO 8 Zona 4.|Помогите Астрид найти Игрушечного Медвежонка ее ребенка в акте 8, зона 4.|Help the souls in the camp.|Help the souls in the camp.|아스트리드가 8막 4구역에서 아이의 곰인형을 찾도록 도와주세요.|Help the souls in the camp.|Aidez Astrid à retrouver l'ours en peluche de son enfant dans l'Acte 8 Zone 4.
quest_objective_404_1|Toy found|Lelu löydetty|Brinquedo encontrado|Найденная игрушка|Toy found.|Toy found.|장난감 발견|Toy found.|Jouet trouvé
|||||||||
quest_name_405|Purge|Puhdistus|Expurgo|Чистка|Purge|Purge|정화|Purge|Purge
quest_description_405|Slay the Corrupted Refugees in Act 8 Zone 4.|Slay the corrupted souls.|Mate os Refugiados Corrompidos no ATO 8 Zona 4.|Убейте Коррумпированных беженцев в Зоне 4 Акта 8.|Slay the corrupted souls.|Slay the corrupted souls.|8막 4구역에서 타락한 난민들을 처치하세요.|Slay the corrupted souls.|Tuez les réfugiés corrompus dans la zone 4 de l'acte 8.
quest_objective_405_1|Corrupted souls slain|Sielut surmattu|Almas Corrompidas eliminadas|Испорченные души убиты|Souls slain.|Souls slain.|타락한 영혼 처치|Souls slain.|Âmes corrompues tuées
|||||||||
quest_name_406|River Rapids|River Rapids|Corredeiras|Речные Пороги|River Rapids|River Rapids|급류|River Rapids|Ce matin c'est rafting !
quest_description_406|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Viaje para Helheim pelo rio Gjöll|Путешествие в Хельхайм через реку Йель.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|River Gjöll을 통해 Helheim으로 여행하세요.|Travel to Helheim through River Gjöll.|Voyage à Helheim par la rivière Gjöll.
quest_objective_406_1|Gate of Helheim reached.|Helheim saavutettu|Heilheim alcançado|Хельхейм достиг|Helheim reached.|Helheim reached.|헬하임 도달|Helheim reached.|Helheim atteint
|||||||||
quest_name_407|Destiny|Kohtalo|Destino|Судьба|Destiny|Destiny|운명|Destiny|Destinée
quest_description_407|Slay Corrupted Odin.|Surmaa korruptoitunut Odin.|Eliminte Odin Corrompido|Убей Испорченного Одина.|Slay Corrupted Odin.|Slay Corrupted Odin.|타락한 오딘 처치.|Slay Corrupted Odin.|Tuer Odin corrompu.
quest_objective_407_1|Odin slain|Odin surmattu|Odin morto|Один убит|Odin slain.|Odin slain.|오딘 처치됨|Odin slain.|Odin tué
|||||||||
quest_name_408|The Awesome Ring - part 1||O Anel Fantástico – parte 1|Потрясающее кольцо - часть 1|||멋진 반지 - 1부||L'anneau grandiose - partie 1
quest_description_408|Collect lots of braggite.||Colete bastante braggite|Соберите побольше браггита.|||브래그라이트를 많이 모으세요.||Collectez beaucoup de braggite.
quest_objective_408_1|Braggite collected||Braggite coletada|Собранный браггит|||브래그자이트 수집됨||Braggite collectée
|||||||||
quest_name_409|Mystery Key||Chave Misteriosa|Таинственный Ключ|||미스터리 키||Clé mystère
quest_description_409|Find out where the key goes to.||Descubra para onde a chave vai.|Выясни, куда ведет ключ.|||열쇠가 어디로 가는지 찾아보세요.||Découvrez où va la clé.
quest_objective_409_1|Find the owner of the key.||Encontre o dono da chave|Найдите владельца ключа.|||열쇠 주인을 찾아라.||Trouvez le propriétaire de la clé.
|||||||||
quest_name_410|The Awesome Ring - part 2||O Anel Fantástico – parte 2|Потрясающее кольцо - часть 2|||멋진 반지 - 2부||L'anneau grandiose - partie 2
quest_description_410|Collect Essence of the Gods from bosses.||Colete Essência dos Deuses de chefões.|Собирайте Эссенции Богов у боссов.|||보스에게서 신의 정수를 수집하세요.||Récupérez de l'essence des dieux sur les boss.
quest_objective_410_1|Essence of the Gods collected||Essência dos Deuses coletada|Сущность богов , собранная|||신들의 정수 수집 완료||Essence des dieux collectée
|||||||||
quest_name_411|The Awesome Ring - part 3||O Anel Fantástico – parte 3|Потрясающее кольцо - часть 3|||멋진 반지 - 3부||L'anneau grandiose - partie 3
quest_description_411|Find your desired Awesome Gem.||Encontre sua Gema Fantástica desejada.|Найдите желаемый Удивительный Драгоценный камень.|||원하는 멋진 보석을 찾아라.||Trouvez la gemme grandiose de votre choix.
quest_objective_411_1|Gem collected||Gema coletada|Собранный драгоценный камень|||보석을 수집했습니다||Gemme collectée
|||||||||
quest_name_420|Chains of Gold||Correntes de Ouro|Цепочки из золота|||황금 사슬||Chaînes d'or
quest_description_420|Mine and transport 20 kg of gold from the fallen chains to safety.||Minere e transporte 20 kg de ouro das correntes caídas para a segurança.|Добудьте и транспортируйте 20 кг золота из упавших цепей в безопасное место.|||20kg의 금을 채굴하고 떨어진 사슬에서 안전한 곳으로 운반하세요.||Extraire et transporter 20 kg d'or des chaînes tombées au sol pour les mettre en sécurité.
quest_objective_420_1|kg gold transported||kg de ouro transportado|кг перевозимого золота|||운반된 금 kg||kg d'or transporté
quest_objective_420_2|Troll patrol slain||Patrulha de trolls morta|Патруль троллей убит|||트롤 순찰대 처치됨||Patrouille de trolls tuée
|||||||||
quest_name_430|Hungry Haldor||Haldor Faminto|Голодный Халдор|||배고픈 할도르||Haldor affamé
quest_description_430|Get the meat of a delicious hog.||Consiga a carne de um porco delicioso.|Получите мясо вкусной свиньи.|||맛있는 돼지의 고기를 얻으세요.||Récupérez la viande d'un délicieux porc.
quest_objective_430_1|Meat collected||Carne coletada|Собранное мясо|||고기 수집 완료||Viande collectée
quest_objective_430_2|Meat cooked||Carne cozinhada|Мясо приготовленное|||고기 요리됨||Viande cuite
|||||||||
quest_name_431|Hurrdurr’s Rollercoaster||Montanha Russa de Hurrdurr|Американские горки Хуррдурра|||허르더의 롤러코스터||Les montagnes russes de Hurrdurr
quest_description_431|Find cart wheels in Forgotten Caves and attach them to Hurrdurr’s cart.||Encontre e encaixe rodas no carrinho de Hurrdurr.|Найдите и прикрепите колеса к тележке Хуррдурра.|||잊혀진 동굴에서 수레바퀴를 찾아 허르더르의 수레에 부착하세요.||Trouvez et fixez les roues sur le chariot de Hurrdurr.
quest_objective_431_1|Wheels found||Rodas encontradas|Колеса найдены|||바퀴 발견||Roues trouvées
quest_objective_431_2|Wheels attached||Rodas encaixadas|Колеса прикреплены|||바퀴 장착 완료||Roues attachées
|||||||||
quest_name_432|Balldur Muspelheim||Balldur Muspelheim|Балдур Муспельхейм|||발두르 무스펠하임||Baldur Muspelheim
quest_description_432|Do the thing||Faz a coisa|Сделай это дело|||||Faire la chose
quest_objective_432_1|Thing done||Coisa feita|Дело сделано|||||Chose faite
|||||||||
quest_name_433|Frøya’s Scale Armor||Armadura de Escamas de Frøya|Чешуйчатая Броня Фреи|||프레이야의 비늘 갑옷||L'armure d'écailles de Freya
quest_description_433|Collect Naga scales and return them to Frøya in Act 8 Zone 2.||Colete escamas de Naga e retorne elas a Frøya no ATO 8 Zona 2.|Соберите чешуйки нага и верните их Фрее в Действии 8, Зона 2.|||나가 비늘을 모아서 Act 8 Zone 2에 있는 프레이야에게 돌아가세요.||Récupérez les écailles de naga et rendez-les à Freya dans l'Acte 8 Zone 2.
quest_objective_433_1|Scales collected||Escamas coletadas|Собранные весы|||비늘 수집됨||Écailles collectées
|||||||||
quest_name_434|Tired Viking||Viking Cansado|Усталый Викинг|||피곤한 바이킹||Viking fatigué
quest_description_434|Find potion reagents and conjure it in Act 8 Zone 5.||Encontre reagentes de poção e conjure-a no ATO 8 Zona 5.|Найдите реагенты для приготовления зелий и наколдуйте их в Зоне 5 Действия 8.|||물약 재료를 찾아서 8막 5구역에서 조합하세요.||Trouvez des réactifs de potion et concoctez-les dans la zone 5 de l'acte 8.
quest_objective_434_1|Doom weed||Erva da desgraça|Роковой вид|||파멸초||Herbe du destin
quest_objective_434_2|Water from Gjöll||Água de Gjöll|Вода из Гьелля|||요르의 물||Eau de Gjöll
quest_objective_434_3|Corrupted dirt||Terra corrompida|Испорченная грязь|||부패한 흙||Terre corrompue
quest_objective_434_4|Potion conjured||Poção conjurada|Наколдованное зелье|||물약이 소환되었습니다||Potion concoctée
|||||||||
quest_name_435|Beacons of Gjöll||||||욜의 봉화||
quest_description_435|Ignite the four beacons to open the gate to the tunnel.||||||네 개의 봉화를 밝혀 터널로 가는 문을 여세요.||
quest_objective_435_1|Ignite Northwest beacon||||||북서쪽 봉화를 점화하라||
quest_objective_435_2|Ignite Northeast beacon||||||북동쪽 봉화에 불을 붙이세요||
quest_objective_435_3|Ignite Southwest beacon||||||남서쪽 봉화에 불을 붙이기||
quest_objective_435_4|Ignite Southeast beacon||||||남동쪽 봉화에 불을 붙이세요||
quest_objective_435_5|Travel through the tunnel||||||터널을 통과하세요||
quest_objective_435_6|Explore Island||||||섬 탐험||
quest_objective_435_7|Slay Jormungandr||||||요르문간드 처치||
|||||||||
|||||||||
|||||||||
|||||||||
[Valhalla dailies]|||||||||
quest_name_440|River Raider||Invasor de Rios|Речной Рейдер|||강 침략자||Ce soir c'est encore rafting !
quest_description_440|Complete River Gjöll.||Complete o minigame do Rio Gjöll.|Пройдите мини-игру River Gjöll.|||River Gjöll 미니게임을 완료하세요.||Terminer le mini-jeu de la rivière Gjöll.
quest_objective_440_1|Jörmungar slain||Jörmungar morto|Йормунгар убит|||요르문가르 처치||Jörmungar tué
quest_dialog_440|Gjallarknut here! Remember me? We had an epic adventure on river Gjöll and gave that big snake a good whoop! But alas, it's back eating my customers! I'll reward you if you're up for another whooping.||Aqui é Gjallarknut! Lembra de mim? Tivemos uma aventura épica no rio Gjöll e demos uma boa surra naquela cobra gigante! Mas, infelizmente, ela voltou a comer meus clientes! Eu o recompensarei se você estiver disposto a dar outra surra.|Гьялларкнуть сюда! Помнить меня? У нас было эпическое приключение на реке Йелль, и мы хорошенько потрепали эту большую змею! Но, увы, она снова пожирает моих клиентов! Я вознагражу тебя, если ты готов к еще одному улюлюканью.|||여기는 Gjallarknut! 기억나? 우리는 Gjöll 강에서 대단한 모험을 했고 그 큰 뱀을 혼쭐냈잖아! 하지만 안타깝게도 그 뱀이 다시 나타나서 내 손님들을 잡아먹고 있어! 또 한 번 혼쭐내줄 준비가 됐다면 보상을 줄게.||Salut c'est [c_lime]Gjallarknut[c_reset] ! Vous vous souvenez de moi ? Nous avons vécu une aventure épique sur la [c_aqua]Rivière Gjöll[c_reset] et nous avons donné une bonne raclée à ce gros serpent ! Mais hélas, il est revenu pour manger mes clients ! Je te récompenserai si tu es prêt à lui donner une autre raclée.
|||||||||
quest_name_441|The Golden Heist ||O Golpe do Ouro|Золотое ограбление |||황금 강탈||Le braquage doré
quest_description_441|Find and use a glowing rock to find and collect the Golden Warrior statue from Gladsheim.||Recupere a Estátua do Guerreiro Dourado em Gladsheim.|Верните Золотую статуэтку Воина из Гладсхайма.|||빛나는 돌을 찾아 사용하여 Gladsheim에서 황금 전사 동상을 찾아 수집하세요.||Récupérez la statue dorée de la guerrière en or à Gladsheim.
quest_objective_441_1|Statue collected||Estátua coletada|Собранная статуя|||동상 수집됨||Statue récupérée
quest_dialog_441|I know this is no job for a hero, but to be one you sometimes need to take a dip to the dark side. [c_yellow]Inside the walls of Gladsheim Halls[c_reset] is hidden a precious little statue, the Golden Warrior portraying the Leader of Valkyries. I wa... WE need it, for uhm.. MUSEUM! Yes, a museum of.. statues... Anyway, we pay a handsome amount of gold for it. There are special [c_yellow]glowing stones[c_reset] inside the halls. Its illumination might help you find the statue...||Sei que esse trabalho não é para um herói, mas para ser um herói, às vezes é preciso dar um mergulho no lado negro. [c_yellow]Dentro das paredes dos Salões de Gladsheim[c_reset] está escondida uma pequena estátua preciosa, o Guerreiro Dourado retratando a Líder das Valquírias. Eu quer... NÓS precisamos dela, para é... um MUSEU! Sim, um museu de... estátuas... De qualquer forma, pagamos uma bela quantia em ouro por ela. Há pedras brilhantes [c_yellow]pedras brilhantes[c_reset] especiais dentro dos corredores. Sua iluminação pode ajudá-lo a encontrar a estátua...|Я знаю, что эта работа не для героя, но чтобы стать им, иногда нужно окунуться на темную сторону. В стенах залов Гладсхайма спрятана драгоценная маленькая статуэтка, Золотой Воин, изображающий Предводительницу Валькирий. Я ва... Она нужна нам для хм.. МУЗЕЯ! Да, музей.. статуй... В любом случае, мы платим за него приличную сумму рубинов. |||이 일이 영웅에게 어울리는 일은 아니지만, 영웅이 되려면 가끔 어두운 면을 경험해야 합니다. [c_yellow]글래드하임 홀의 벽 안[c_reset]에는 발키리의 리더를 묘사한 귀중한 작은 조각상, 황금 전사가 숨겨져 있습니다. 저는... 아니, 우리는 그것이 필요합니다, 음.. 박물관을 위해서요! 네, 조각상 박물관... 어쨌든, 우리는 그것을 위해 많은 금을 지불할 것입니다. 홀 안에는 특별한 [c_yellow]빛나는 돌[c_reset]이 있습니다. 그 빛이 조각상을 찾는 데 도움이 될 것입니다...||Je sais que ce travail n'est pas digne un héros, mais pour en être un il faut parfois savoir se salir les mains. Dans les murs du [c_aqua]Hall de Gladsheim[c_reset] se cache une précieuse petite statue, la guerrière d'or, qui représente la cheffe des Valkyries. Je la v... NOUS en avons besoin pour... heu ... un MUSÉE ! Oui, un musée de... heu... statues... Quoi qu'il en soit, nous payons une belle somme en rubis pour l'obtenir.
|||||||||
quest_name_442|Naga Treasury ||Tesouro de Naga|Казначейство Нага |||나가의 보물||Trésor Naga
quest_description_442|Retrieve the Golden Snake amulet from Naga Temple.||Recupere o Amuleto da Serpente Dourada no Templo de Naga|Достаньте амулет Золотой Змеи из Храма Нага.|||나가 사원에서 황금 뱀 부적을 회수하세요.||Récupérez l'amulette du serpent d'or dans le temple Naga.
quest_objective_442_1|Amulet found||Amuleto encontrado|Найденный Амулет|||부적 발견||Amulette trouvée
quest_objective_442_2|Temple escaped||Fuga do templo|Темпл сбежал|||사원을 탈출했다||Le temple s'est échappé
quest_dialog_442|Rumor has it that the Naga Temple holds the greatest treasury in Valhalla. It is also said to be the home of the Golden Snake amulet. Find it, and bring it here for my collection. Beware: Nagas are known to be sneaky and mischievous, your way back might not be as easy as you think. ||Há rumores de que o Templo Naga possui o maior tesouro de Valhalla. Dizem também que é o lar do amuleto da Serpente Dourada. Encontre-o e traga-o aqui para minha coleção. Cuidado: Os nagas são conhecidos por serem sorrateiros e maliciosos. Seu caminho de volta pode não ser tão fácil quanto você pensa.|Ходят слухи, что в храме Нага хранится величайшая сокровищница в Валгалле. Говорят также, что там хранится амулет Золотой Змеи. Найди его и принеси сюда для моей коллекции. Будьте осторожны: наги известны своей подлостью и озорством, ваш обратный путь может оказаться не таким легким, как вы думаете. |||소문에 따르면 나가 사원에는 발할라에서 가장 큰 보물이 있다고 합니다. 또한 황금 뱀 부적이 있는 곳이라고도 합니다. 그것을 찾아서 내 수집품에 가져오세요. 조심하세요: 나가들은 교활하고 장난꾸러기로 알려져 있으며, 돌아오는 길이 생각만큼 쉽지 않을 수 있습니다.||La rumeur veut que le [c_aqua]Temple Naga[c_reset] détienne le plus grand trésor du Valhalla. On dit aussi que c'est là que se trouve l'[c_yellow]amulette du serpent d'or[c_reset]. Trouvez-la et rapportez-la ici pour ma collection. Attention : Les Nagas sont connus pour être sournois et malicieux, votre quête pourrait ne pas être aussi simple que vous le pensez.
|||||||||
quest_name_443|The Crown of Surtr ||A Coroa de Surtr|Корона Сюртра |||수르트의 왕관||La couronne de Surt
quest_description_443|Remove Surtr's crown in Muspelheim.||Remova a coroa de Surtr em Muspelheim|Снимите корону Суртра в Муспельхейме.|||무스펠하임에서 수르트의 왕관을 제거하십시오.||Retirer la couronne de Surt à Muspelheim.
quest_objective_443_1|Crown removed||Coroa removida|Удаленная коронка|||왕관 제거됨||Couronne retirée
