[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr
options_gp_use_skill_2|Button for using skill 2 if assigned.||Botão para usar a skill 2 se atribuída.|Кнопка использования навыка 2, если она назначена.|||스킬 2를 사용하려면 버튼을 누르세요 (지정된 경우).||Touche pour l'utilisation de la 2ème compétence si elle est attribuée.
options_gp_use_skill_3|Button for using skill 3 if assigned.||Botão para usar a skill 3 se atribuída.|Кнопка использования навыка 3, если она назначена.|||스킬 3을(를) 사용할 버튼 (할당된 경우).||Touche pour l'utilisation de la 3ème compétence si elle est attribuée.
options_gp_use_skill_4|Button for using skill 4 if assigned.||Botão para usar a skill 4 se atribuída.|Кнопка использования навыка 4, если назначена.|||스킬 4를 사용하려면 버튼을 누르세요 (할당된 경우).||Touche pour l'utilisation de la 4ème compétence si elle est attribuée.
options_gp_use_skill_5|Button for using skill 5 if assigned.||Botão para usar a skill 5 se atribuída.|Кнопка использования навыка 5, если она назначена.|||스킬 5를 사용하려면 버튼을 누르세요 (할당된 경우).||Touche pour l'utilisation de la 5ème compétence si elle est attribuée.
options_gp_use_skill_6|Button for using skill 6 if assigned.||Botão para usar a skill 6 se atribuída.|Кнопка использования навыка 6, если она назначена.|||스킬 6을(를) 사용할 버튼 (할당된 경우).||Touche pour l'utilisation de la 6ème compétence si elle est attribuée.
options_gp_use_skill_7|Button for using skill 7 if assigned.||Botão para usar a skill 7 se atribuída.|Кнопка использования навыка 7, если она назначена.|||스킬 7을(를) 사용하려면 버튼을 누르세요 (지정된 경우).||Touche pour l'utilisation de la 7ème compétence si elle est attribuée.
options_gp_use_skill_8|Button for using skill 8 if assigned.||Botão para usar a skill 8 se atribuída.|Кнопка использования навыка 8, если она назначена.|||스킬 8이 할당된 경우 사용하는 버튼.||Touche pour l'utilisation de la 8ème compétence si elle est attribuée.
options_gp_use_skill_9|Button for using skill 9 if assigned.||Botão para usar a skill 9 se atribuída.|Кнопка использования навыка 9, если она назначена.|||스킬 9이 할당된 경우 사용할 버튼.||
options_gp_use_skill_10|Button for using skill 10 if assigned.||Botão para usar a skill 10 se atribuída.|Кнопка использования навыка 10, если она назначена.|||스킬 10이 할당된 경우 사용하는 버튼.||
options_gp_use_skill_11|Button for using skill 11 if assigned.||Botão para usar a skill 11 se atribuída.|Кнопка использования навыка 11, если она назначена.|||스킬 11을 사용하기 위한 버튼 (할당된 경우).||
options_gp_use_skill_12|Button for using skill 12 if assigned.||Botão para usar a skill 12 se atribuída.|Кнопка использования навыка 12, если она назначена.|||스킬 12를 사용하기 위한 버튼 (할당된 경우).||
options_gp_ping|Button for pinging on map||Botão para pingar no mapa||||지도에 핑을 찍는 버튼||
|||||||||
options_gp_toggle_minimap|Button for toggling Minimap.||Botão para ativar o Minimapa.|Кнопка переключения миникарты.|||미니맵 전환 버튼.||Touche pour alterner la mini-carte.
options_gp_playerlist|Button for opening the playerlist.||Botão para abrir a lista de jogadores.|Кнопка открытия списка игроков.|||플레이어 목록을 여는 버튼.||Touche pour ouvrir la liste des joueurs.
options_gp_show_loot_names|Button for showing loot names on ground.||Botão para mostrar o nome de loot no chão.|Кнопка для отображения названий добычи на земле.|||바닥에 있는 전리품 이름을 표시하는 버튼.||Touche pour afficher les noms des butins sur le sol.
options_gp_weapon_swap|Button for swapping weapon / shield slot.||Botão para trocar o slot de arma/escudo|Кнопка смены слота оружия/щита.|||무기/방패 슬롯 교체 버튼||Touche pour changer de pré-équipement.
options_gp_emote_menu|Button for Emote menu.||Botão para o menu de Emotes|Кнопка меню эмоций.|||이모트 메뉴 버튼.||Touche pour ouvrir le menu Emote.
options_gp_cast_town_portal|Button for casting Town Portal.||Botão para conjurar o portal da cidade.|Кнопка для использования Портал в город.|||마을 포탈 시전 버튼.||Touche pour lancer le portail de la ville.
options_gp_pickup_use|Button for picking up loot and talking to NPC etc.||Botão para pegar loot e falar com NPC etc.|Кнопка для сбора добычи, разговора с NPC и т. д.|||전리품을 줍고 NPC와 대화하는 버튼 등.||Touche pour ramasser le butin et parler aux NPC, etc.
options_gp_jump|Button for Jumping.||Botão para pular.|Кнопка для прыжков.|||점프 버튼||Touche pour sauter.
options_gp_inventory_mercenary|Button for opening mercenary inventory.||Botão para abrir o inventário do mercenário.|Кнопка открытия инвентаря наемника.|||용병 인벤토리 열기 버튼.||Touche pour ouvrir l’inventaire du mercenaire.
|||||||||
options_gp_guild_tab|Button for opening guild menu.||Botão para abrir o menu da guilda.|Кнопка открытия меню гильдии.|||길드 메뉴를 여는 버튼.||Touche pour ouvrir le menu de guilde. 
options_gp_skill_menu|Button for opening skill menu.||Botão para abrir o menu de habilidades.|Кнопка открытия меню навыков.|||스킬 메뉴 열기 버튼.||Touche pour ouvrir le menu des compétences.
options_gp_inventory|Button for opening inventory.||Botão para abrir o inventário.|Кнопка открытия инвентаря.|||인벤토리를 여는 버튼.||Touche pour ouvrir l'inventaire.
|||||||||
inv_loadout|Equip Swap|Varusteiden vaihto|Trocar Equipamentos|Смена экипировки|||장비 교체||Changement d'équipement
|||||||||
[Loot Filter Presets]|||||||||
loot_filter_preset_nightmare|Intended for playing through the campaign on Nightmare difficulty. At this point you will have several Superior+ items equipped,  and you are starting to look for cheap early game Runewords to craft. Low tier Common, Superior and Rare items are disabled as you are looking at upgrading to B+ items. ||Destinado para ser jogado durante a campanha na dificuldade Pesadelo. Neste ponto você terá diversos itens Superiores+ equipados, e você está começando a procurar por Runewords de começo de jogo baratas para criar. Itens Comuns, Superiores e Raros de baixo tier estão desativados já que você está procurando itens B+ para melhorar.|Предназначено для прохождения кампании на сложности Кошмар. На этом этапе у вас будет несколько предметов уровня Superior+ и вы начнете искать дешевые рунические слова для крафта ранней игры. Предметы низкого уровня (Common, Superior и Rare) отключены, так как вы стремитесь улучшить их до уровня B+.|适用于在梦魇难度下进行战役。此时你将装备多个高级+物品，并开始寻找便宜的早期符文之语来制作。低级普通、高级和稀有物品已禁用，因为你正在寻找升级到B+级别的物品。|ナイトメア難易度でキャンペーンをプレイするためのものです。この時点で、いくつかの上級+アイテムを装備しており、安価な初期のルーンワードを作成し始めています。低レベルのコモン、上級、およびレアアイテムは無効になっており、B+アイテムにアップグレードすることを検討しています。|악몽 난이도로 캠페인을 진행하기 위한겁니다. 이 시점에서 여러 개의 상급+ 아이템을 장착하고 있으며, 저렴한 초기 게임 룬어를 제작하기 시작합니다. 저등급 일반, 상급 및 희귀 아이템은 비활성화되며, B+ 아이템으로 업그레이드하는 것을 목표로 합니다.|Gedacht für das Spielen der Kampagne auf Alptraum-Schwierigkeit. Zu diesem Zeitpunkt hast du mehrere Superior+-Gegenstände ausgerüstet und beginnst, nach günstigen frühen Runenwörtern zu suchen. Niedrigstufige gewöhnliche, überlegene und seltene Gegenstände sind deaktiviert, da du auf B+-Gegenstände aufrüsten möchtest.|Destiné à jouer à la campagne en difficulté Cauchemar. À ce stade, vous aurez plusieurs objets Supérieur+ équipés et vous commencerez à chercher des mots runiques bon marché à fabriquer pour le début du jeu. Les objets de bas niveau Commun, Supérieur et Rare sont désactivés car vous cherchez à les améliorer en objets de niveau B+.
loot_filter_preset_hell_early|Intended for starting Hell 1-3, you just hit 100 and you are starting to farm maps. Low Tier non-Satanics are removed, and you are looking at good Runeword bases to craft sockets on.||Destinado para iniciar o Inferno 1-3, você acabou de chegar no 100 e está começando a limpar mapas. Não-satânicos de baixo tier são removidos, e você está procurando por boas bases de Runeword para criar.|Предназначено для начала Ада 1-3, вы только что достигли 100 уровня и начинаете фармить карты. Предметы низкого уровня без сатанической принадлежности удалены, и вы ищете хорошие базы для рунических слов для создания гнезд.|适用于地狱1-3开始，你刚刚达到100级，并开始刷地图。低级非撒旦物品已被移除，你正在寻找好的符文之语基底来制作插槽。|地獄1-3を開始するためのもので、100に達したばかりで地図のファームを始めています。低レベルの非サタニックアイテムは削除されており、良いルーンワードのベースを探してソケットを作成しています。|지옥 1-3을 시작하기 위한 것으로, 이제 막 100레벨에 도달하여 지도를 파밍하기 시작합니다. 저등급 비사탄 아이템은 제거되고, 소켓을 만들기 위한 좋은 룬어 베이스를 찾고 있습니다.|Gedacht für den Start in die Hölle 1-3, du hast gerade Stufe 100 erreicht und beginnst, Karten zu farmen. Niedrigstufige Nicht-Satanische Gegenstände werden entfernt und du suchst nach guten Runenwort-Basen, um Sockel herzustellen.|Destiné à commencer l'Enfer 1-3, vous venez d'atteindre le niveau 100 et commencez à farmer des cartes. Les objets de bas niveau non sataniques sont supprimés et vous cherchez de bonnes bases de mots runiques pour créer des emplacements.
loot_filter_preset_hell_midgame|Intended for Hell 3-5, you are climbing through the Incarnation Tree, and at this point will have fully equipped B+ tier Satanics or S tier Mythics. You are looking for very specific Runeword bases to craft on.||Destinado para o Inferno 3-5, você está subindo na Árvore da Incarnação, e neste ponto vai estar completamente equipado com satânicos de tier B+ ou Míticos de tier S. Você está procurando por bases de Runeword bem específicas para criar.|Предназначено для Ада 3-5, вы поднимаетесь по Древу Воплощений, и на этом этапе у вас будут полностью экипированы сатанические предметы уровня B+ или мифические предметы уровня S. Вы ищете очень специфические базы для создания рунических слов.|适用于地狱3-5，你正在攀登化身之树，此时你将装备满B+级别的撒旦物品或S级别的神话物品。你正在寻找非常特定的符文之语基底来制作。|地獄3-5を目指すためのもので、インカーネーションツリーを登っており、この時点でB+ランクのサタニックアイテムまたはSランクのミシックアイテムを完全に装備しています。非常に特定のルーンワードのベースを探して作成しています。|지옥 3-5를 위한 것으로, 화신 트리를 올라가고 있으며, 이 시점에서 B+ 등급의 사탄 아이템 또는 S 등급의 신화 아이템을 완전히 장착하게 됩니다. 매우 특정한 룬어 베이스를 찾아 제작합니다.|Gedacht für die Hölle 3-5, du kletterst durch den Inkarnationbaum und hast zu diesem Zeitpunkt vollständig mit B+-Satanischen oder S-Mythischen Gegenständen ausgestattet. Du suchst nach sehr spezifischen Runenwort-Basen, um sie herzustellen.|Destiné à l'Enfer 3-5, vous grimpez dans l'Arbre de l'Incarnation et à ce stade, vous aurez entièrement équipé des objets sataniques de niveau B+ ou mythiques de niveau S. Vous cherchez des bases de mots runiques très spécifiques à fabriquer.
loot_filter_preset_hell_endgame|Intended for Hell 5+ speedfarming. At this point you are only looking for the very best Runeword bases, you also only care about A+ Satanics. You will have full charm slots, and are looking for very specific S tier charms.||Destinado para limpeza rápida do Inferno 5+. Neste ponto, você está procurando apenas pelas melhores bases de Runeword, e você também só liga pra Satânicos de tier A+. Você vai ter todos os espaços de talismã, e está procurando por talismãs de tier S específicos.|Предназначено для спидфарма Ада 5+. На этом этапе вы ищете только лучшие базы для рунических слов, также вас интересуют только сатанические предметы уровня A+. У вас будут заполнены все слоты для чар, и вы ищете очень специфические чары уровня S.|适用于地狱5+的快速刷怪。在这个阶段，你只寻找最好的符文之语基底，你也只关心A+级别的撒旦物品。你将填满所有护符槽，并寻找非常特定的S级别护符。|地獄5+のスピードファーミングを目的としています。この時点で、最良のルーンワードのベースのみを探しており、A+ランクのサタニックアイテムのみを気にしています。チャームスロットを完全に埋めており、非常に特定のSランクのチャームを探しています。|지옥 5+ 스피드 파밍을 위한 것입니다. 이 시점에서 최고의 룬어 베이스만을 찾고 있으며, A+ 등급의 사탄 아이템에만 관심이 있습니다. 모든 매력 슬롯을 채우고, 매우 특정한 S 등급 매력을 찾고 있습니다. |Gedacht für schnelles Farmen in der Hölle 5+. Zu diesem Zeitpunkt suchst du nur nach den besten Runenwort-Basen und interessierst dich nur für A+-Satanische Gegenstände. Du wirst alle Charmslots füllen und suchst nach sehr spezifischen S-Tier-Charms.|Destiné au speedfarming de l'Enfer 5+. À ce stade, vous ne cherchez que les meilleures bases de mots runiques, vous ne vous souciez que des objets sataniques de niveau A+. Vous aurez tous les emplacements de charmes remplis et cherchez des charmes de niveau S très spécifiques.
loot_filter_preset_hell_endgame_norw|Intended for Hell 5+ speedfarming. You are only looking for A+ tier Satanics and are skipping Runewords.||Destinado para limpeza rápida do Inferno 5+. Você está apenas procurando por Satânicos de tier A+ e está pulando runewords.|Предназначено для спидфарма Ада 5+. Вы ищете только сатанические предметы уровня A+ и пропускаете рунические слова.|适用于地狱5+的快速刷怪。你只寻找A+级别的撒旦物品，并且跳过符文之语。|地獄5+のスピードファーミングを目的としています。A+ランクのサタニックアイテムのみを探しており、ルーンワードをスキップしています。|지옥 5+ 스피드 파밍을 위한 것입니다. A+ 등급의 사탄 아이템만을 찾고 있으며 룬어는 건너뜁니다. |Gedacht für schnelles Farmen in der Hölle 5+. Du suchst nur nach A+-Satanischen Gegenständen und überspringst Runenwörter.|Destiné au speedfarming de l'Enfer 5+. Vous ne cherchez que des objets sataniques de niveau A+ et sautez les mots runiques.
loot_filter_preset_normal|Intended for playing through the campaign on Normal difficulty. Low tier white items and non Runeword bases, such as Rings and Belts are disabled, everything else is enabled encouraging you to pick up items on the ground as you level.||Destinado para jogar pela campanha na dificuldade Normal. Itens brancos de tier baixo e não-bases de runeword, como anéis e cintos são desativados, todo o resto é ativado te encorajando a pegar itens no chão enquanto passa de nível.|Предназначено для прохождения кампании на нормальной сложности. Предметы низкого уровня белого цвета и без рунических слов, такие как кольца и пояса, отключены, все остальное включено, побуждая вас подбирать предметы с земли по мере повышения уровня.|适用于在普通难度下进行战役。低级白色物品和非符文之语基底，如戒指和腰带被禁用，其他所有物品启用，鼓励你在升级时捡起地上的物品。|ノーマル難易度でキャンペーンをプレイするためのものです。低レベルの白いアイテムやルーンワードのベースでないもの（例：リングやベルト）は無効にされており、他のすべてのアイテムは有効にされているため、レベルアップ時に地面のアイテムを拾うことが奨励されています。|일반 난이도로 캠페인을 진행하기 위한 것입니다. 저등급 흰색 아이템과 룬어 베이스가 아닌 아이템(예: 반지 및 벨트)은 비활성화되고, 다른 모든 것은 활성화되어 레벨업하면서 아이템을 줍는 것을 권장합니다. |Gedacht für das Spielen der Kampagne auf normaler Schwierigkeit. Niedrigstufige weiße Gegenstände und keine Runenwort-Basen wie Ringe und Gürtel sind deaktiviert, alles andere ist aktiviert, was dich ermutigt, Gegenstände auf dem Boden aufzuheben, während du levelst.|Destiné à jouer à la campagne en difficulté Normale. Les objets blancs de bas niveau et les bases non runiques, comme les anneaux et les ceintures, sont désactivés, tout le reste est activé, vous encourageant à ramasser des objets au sol pendant que vous montez en niveau.
loot_filter_title_nightmare|Nightmare||Pesadelo|Кошмар |噩梦 |ナイトメア |악몽 |Albtraum |Cauchemar 
loot_filter_title_hell_early|Early Hell||Começo no Inferno|Начальный Ад |早期地狱 |初期の地獄 |초기 지옥 |Frühe Hölle |Enfer Débutant 
loot_filter_title_hell_midgame|Midgame Hell||Meio de Jogo no Inferno|Средний Ад |中期地狱 |中期の地獄 |중기 지옥 |Mittlere Hölle |Enfer Intermédiaire 
loot_filter_title_hell_endgame|Endgame Hell||Fim de Jogo no Inferno|Конечный Ад |后期地狱 |後期の地獄 |후기 지옥 |Endspielhölle |Enfer Final 
loot_filter_title_hell_endgame_norw|Endgame Hell, no RW||Fim de Jogo no Inferno, sem RW|Конечный Ад, без Рунных Слов |后期地狱，无符文之语 |後期の地獄、ルーンワードなし |후기 지옥, 룬어 없음 |Endspielhölle, keine Runenwörter |Enfer Final, sans Mots Runiques 
loot_filter_title_normal|Normal||Normal|Нормальный |普通 |ノーマル |보통 |Normal |Normal 
|||||||||
highlight_filter_physical_attacker|Physical Attacker||Atacante Físico |Физический Атакующий |物理攻击者 |物理アタッカー |물리 공격자 |Physischer Angreifer |Attaquant Physique 
highlight_filter_arcane_attacker|Arcane Attacker||Atacante Arcano |Магический Атакующий |奥术攻击者 |アーケインアタッカー |비전 공격자 |Arkaner Angreifer |Attaquant Arcanique 
highlight_filter_poison_attacker|Poison Attacker||Atacante de Veneno |Ядовитый Атакующий |毒性攻击者 |毒アタッカー |독 공격자 |Giftangreifer |Attaquant Toxique 
highlight_filter_lightning_attacker|Lightning Attacker||Atacante de Relâmpago |Молниеносный Атакующий |闪电攻击者 |雷アタッカー |번개 공격자 |Blitzangreifer |Attaquant Éclair 
highlight_filter_cold_attacker|Cold Attacker||Atacante de Gelo |Ледяной Атакующий |冰霜攻击者 |冷気アタッカー |냉기 공격자 |Kälteangreifer |Attaquant Glacial 
highlight_filter_fire_attacker|Fire Attacker||Atacante de Fogo |Огненный Атакующий |火焰攻击者 |火炎アタッカー |화염 공격자 |Feuerangreifer |Attaquant de Feu 
highlight_filter_physical_caster|Physical Caster||Conjurador Físico |Физический Колдун |物理施法者 |物理キャスター |물리 시전자 |Physischer Zauberer |Lanceur Physique 
highlight_filter_arcane_caster|Arcane Caster||Conjurador Arcano |Магический Колдун |奥术施法者 |アーケインキャスター |비전 시전자 |Arkaner Zauberer |Lanceur Arcanique 
highlight_filter_poison_caster|Poison Caster||Conjurador de Veneno |Ядовитый Колдун |毒性施法者 |毒キャスター |독 시전자 |Giftzauberer |Lanceur Toxique 
highlight_filter_lightning_caster|Lightning Caster||Conjurador de Relâmpago |Молниеносный Колдун |闪电施法者 |雷キャスター |번개 시전자 |Blitzzauberer |Lanceur d'Éclair 
highlight_filter_cold_caster|Cold Caster||Conjurador de Gelo |Ледяной Колдун |冰霜施法者 |冷気キャスター |냉기 시전자 |Kältezauberer |Lanceur Glacial 
highlight_filter_fire_caster|Fire Caster||Conjurador de Fogo |Огненный Колдун |火焰施法者 |火炎キャスター |화염 시전자 |Feuerzauberer |Lanceur de Feu 
highlight_filter_life_stacker|Life Stacker||Acumulador de Vida |Накопитель Жизни |生命堆叠者 |生命スタッカー |생명 축적자 |Lebensstapler |Accumulateur de Vie 
highlight_filter_mana_stacker|Mana Stacker||Acumulador de Mana |Накопитель Маны |魔法堆叠者 |マナスタッカー |마나 축적자 |Manastapler |Accumulateur de Mana 
highlight_filter_damage_return|Damage Return||Retorno de Dano |Возврат Урона |伤害反弹 |ダメージリターン |피해 반환 |Schadensrückgabe |Renvoi de Dégâts 
