[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr
damage_reduced|Damage Reduced|Vahinko pienentynyt|Dano Reduzido|Снижение урона|伤害减少|ダメージ軽減|감소된 피해|Reduzierter Schaden|Dégâts réduits
damage_return|Damage Return|Vahingon palautus|Retorno de Dano|Возврат урона|伤害反击|ダメージリターン|피해 반환|Schadensrückgabe|Restitution des dégâts
all_resistance|All Resistances|Kaikki vastukset|Todas as Resistências|Все сопротивления|所有抗性|すべての耐性|모든 저항력|Alle Resistenzen|Toutes les résistances
fire_resistance|Fire Resistance|Palonkestävyys|Resistência a Fogo|Сопротивление огню|火焰抗性|火炎耐性|화염 저항력|Feuerresistenz|Résistance au feu
cold_resistance|Cold Resistance|Kylmäkestävyys|Resistência a Gelo|Сопротивление холоду|寒冷抗性|冷気耐性|냉기 저항력|Kälteresistenz|Résistance au froid
poison_resistance|Poison Resistance|Myrkkynkestävyys|Resistência a Veneno|Сопротивление яду|毒药抗性|毒耐性|독 저항력|Giftresistenz|Résistance au poison
arcane_resistance|Arcane Resistance|Arkaaninen vastustuskyky|Resistência Arcana|Сопротивление тайной магии|奥术抗性|秘術耐性|비전 저항력|Arkane Resistenz|Résistance aux arcanes
lightning_resistance|Lightning Resistance|Salamankestävyys|Resistência a Raio|Сопротивление молнии|闪电抗性|雷撃耐性|번개 저항력|Blitzresistenz|Résistance à la foudre
max_magic_resistance|Maximum Arcane Resist|Suurin Arcane Resist|Resistência Arcana Máxima|Максимальное сопротивление тайной магии|最大奥术抗性|最大秘術耐性|최대 비전 저항력|Maximale arkane Resistenz|Résistance aux arcanes maximale
max_fire_resistance|Maximum Fire Resist|Suurin palonkestävyys|Resistência a Fogo Máxima|Максимальное сопротивление огню|最大火焰抗性|最大火炎耐性|최대 화염 저항력|Maximale Feuerresistenz|Résistance au feu maximale
max_cold_resistance|Maximum Cold Resist|Maksimaalinen kylmänkestävyys|Resistência a Gelo Máxima|Максимальное сопротивление холоду|最大寒冷抗性|最大冷気耐性|최대 냉기 저항력|Maximale Kälteresistenz|Résistance au froid maximale
max_poison_resistance|Maximum Poison Resist|Maksimaalinen myrkkynkestävyys|Resistência a Veneno Máxima|Максимальное сопротивление яду|最大毒药抗性|最大毒耐性|최대 독 저항력|Maximale Giftresistenz|Résistance au poison maximale
max_lightning_resistance|Maximum Lightning Resist|Suurin salamankestävyys|Resistência a Raio Máxima|Максимальное сопротивление молнии|最大闪电抗性|最大雷撃耐性|최대 번개 저항력|Maximale Blitzresistenz|Résistance à la foudre maximale
max_all_resistances|Maximum All Resists|Maksimi kaikki vastustavat|Todas as Resistências Máxima|Максимальное все сопротивления|最大所有抗性|すべての耐性の最大|최대 모든 저항력|Maximale alle Resistenzen|Toutes les résistances maximales
fire_absorb|Fire Absorption|Palon absorptio|Absorção de Fogo|Поглощение огня|火焰吸收|火炎吸収|화염 흡수력|Feuerabsorption|Absorption du feu
cold_absorb|Cold Absorption|Kylmän imeytyminen|Absorção de Frio|Поглощение холода|寒冷吸收|冷気吸収|냉기 흡수력|Kälteabsorption|Absorption du froid
lightning_absorb|Lightning Absorption|Salaman absorptio|Absorção de Raios|Поглощение молнии|闪电吸收|雷撃吸収|번개 흡수력|Blitzabsorption|Absorption de la foudre
arcane_absorb|Arcane Absorption|Arkaaninen absorptio|Absorção de Arcano|Поглощение тайной магии|奥术吸收|秘術吸収|비전 흡수력|Arkane Absorption|Absorption des arcanes
poison_absorb|Poison Absorption|Myrkkyjen imeytyminen|Absorção de Veneno|Поглощение яда|毒药吸收|毒吸収|독 흡수력|Giftabsorption|Absorption du poison
socketed|Socketed|Pistorasia|Engastes|Вставлено|插槽|ソケット|소켓 장착|Sockel|Enchâssée
sockets|Sockets|Pistorasia|Engastes|Вставлено|插槽|ソケット|소켓 장착|Sockel|Enchâssée
deadly_blow|Deadly Blow|Tappava isku|Ataque Mortal|Смертельный удар|致命一击|致命的な一撃|치명적 타격|Tödlicher Schlag|Coup mortel
crushing_blow|Crushing Blow|Murskaava isku|Ataque Esmagador|Сокрушительный удар|毁灭一击|圧倒的な一撃|파괴적 타격|Vernichtender Schlag|Coup écrasant
open_wounds|Open Wounds|Avoimet haavat|Abrir Feridas|Открытые раны|开放性伤口|開いた傷|열린 상처|Offene Wunden|Blessures ouvertes
ignore_defense|Ignore Target Defense|Ohita Target Defense|Defesa do Alvo Ignorada|Игнорировать защиту цели|忽略目标防御|ターゲット防御を無視|대상 방어력 무시|Zielverteidigung ignorieren|Ignorer la défense de la cible
slow_target|Slow Target|Hidas kohde|Desacelera o Alvo|Замедлить цель|减速目标|ターゲットをスローにする|대상 느리게 만들기|Ziel verlangsamen|Ralentir la cible
extra_gold|Extra Gold from kills|Ylimääräistä kultaa tappoista|Ouro Extra de Abates|Дополнительное золото от убийств|击杀额外金币|キルによる追加ゴールド|킬로 얻는 추가 골드|Zusätzliches Gold durch Kills|Or supplémentaire des éliminations
merchant_prices|Merchant prices|Kauppiaan hinnat|Preços do Mercador|Цены торговцев|商人价格|商人の価格|상인 가격|Händlerpreise|Prix des marchands
poison_length_reduced|Poison Length Reduced|Myrkytyspituus lyhennetty|Duração do Envenenamento Reduzida|Уменьшение длины яда|毒药长度减少|毒の長さを短縮|독 지속 시간 감소|Giftdauer reduziert|Durée du poison réduite
faster_hit_recovery|Faster Hit Recovery|Nopeampi osumien palautus|Recuperação Após Golpe Mais Rápida|Быстрое восстановление удара|更快的命中恢复|ヒット回復を高速化|더 빠른 명중 회복|Schnellere Trefferwiederherstellung|Récupération de coup plus rapide
mana_costs|Mana Cost Reduced|Mana-kustannukset alennettu|Custo de Mana Reduzido|Уменьшение стоимости маны|法力消耗减少|マナコストを短縮|마나 비용 감소|Manakosten reduziert|Coût en mana réduit
ignore_magic_resist|Ignore Arcane Resistance|Ohita Arcane Resistance|Ignora Resistência Arcana|Игнорировать сопротивление тайной магии|忽略奥术抗性|秘術耐性を無視|비전 저항력 무시|Arkane Resistenz ignorieren|Ignorer la résistance aux arcanes
ignore_cold_resist|Ignore Cold Resistance|Ohita kylmänkestävyys|Ignora Resistência de Gelo|Игнорировать сопротивление холоду|忽略寒冷抗性|冷気耐性を無視|냉기 저항력 무시|Kälteresistenz ignorieren|Ignorer la résistance au froid
ignore_fire_resist|Ignore Fire Resistance|Ohita palonkestävyys|Ignora Resistência de Fogo|Игнорировать сопротивление огню|忽略火焰抗性|火炎耐性を無視|화염 저항력 무시|Feuerresistenz ignorieren|Ignorer la résistance au feu
ignore_poison_resist|Ignore Poison Resistance|Ohita myrkkynkestävyys|Ignora Resistência de Veneno|Игнорировать яд Сопротивление|忽略毒药抵抗|毒を無視耐性|독 저항력 무시|Giftresistenz ignorieren|Ignorer la résistance au poison
ignore_lightning_resist|Ignore Lightning Resistance|Ohita salamanvastus|Ignora Resistência de Raios|Игнорировать сопротивление молнии |忽略闪电抵抗 |雷耐性を無視 |번개 저항력 무시 |Blitzresistenz ignorieren |Ignorer la résistance à la foudre 
ignore_all_resists|Ignore All Resistance|Ohita kaikki vastus|Ignora Todas as Resistências|Игнорировать все сопротивления|忽略所有抵抗|すべての耐性を無視|모든 저항 무시|Alle Widerstände ignorieren|Ignorer toutes les résistances
attack_damage|Attack Damage|Hyökkäysvaurio|Dano de Ataque|Урон от атаки|攻击伤害|攻撃ダメージ|공격 피해|Angriffsschaden|Dégâts d'attaque
phasing|Phasing|Vaiheittainen|Phasing|Фазирование|相位|フェーズ|위상|Phasenverschiebung|Phasing
jumping_power|Jumping Power|Hyppyvoima|Poder de Salto|Сила прыжка|跳跃力量|ジャンプ力|점프 파워|Sprungkraft|Puissance de saut
enhanced_damage|Enhanced Damage|Tehostettu vahinko|Dano Aprimorado|Улучшенный урон|增强伤害|強化されたダメージ|강화된 피해|Verstärkter Schaden|Dégâts améliorés
enhanced_defense|Enhanced Defense|Tehostettu puolustus|Defesa Aprimorada|Улучшенная защита|增强防御|強化された防御|강화된 방어|Verstärkte Verteidigung|Défense améliorée
enhanced_damage_per_level|Enhanced Damage per level|Enhanced Damage per taso|Dano Aprimorado por nível|Улучшенный урон за уровень|每级增强伤害|レベルごとの強化されたダメージ|레벨당 강화된 피해|Verstärkter Schaden pro Level|Dégâts améliorés par niveau
enhanced_defense_per_level|Enhanced Defense per level|Tehostettu puolustus tasoittain|Defesa Aprimorada por nível|Улучшенная защита за уровень|每级增强防御|レベルごとの強化された防御|레벨당 강화된 방어|Verstärkte Verteidigung pro Level|Défense améliorée par niveau
piercing|Piercing|Lävistykset|Penetrante|Пронзание|穿刺|貫通|관통|Durchdringend|Perforant
explosion_damage|Explosion Damage|Räjähdysvaurio|Dano de Explosão|Урон от взрыва|爆炸伤害|爆発ダメージ|폭발 피해|Explosionsschaden|Dégâts d'explosion
explosion_aoe|Explosion AoE|Räjähdys AoE|Área de Explosão|AoE от взрыва|爆炸范围|爆発 AoE|폭발 AoE|Explosions-AoE|AoE d'explosion
explosion_skills|Explosion Skills|Räjähdystaidot|Habilidades de Explosão|Навыки взрыва|爆炸技能|爆発スキル|폭발 기술|Explosionsfertigkeiten|Compétences d'explosion
phys_taken_cold|Physical Damage taken as Cold|Fyysinen vaurio katsotaan kylmäksi|Dano Físico recebido como Gelo|Физический урон, получаемый как холод|受到的物理伤害为冰冷|冷気として受ける物理ダメージ|추위로 받은 물리적 피해|Physischer Schaden, der als Kälteschaden erlitten wird|Dégâts physiques subis sous forme de froid
phys_taken_fire|Physical Damage taken as Fire|Fyysinen vahinko katsotaan tulipaloksi|Dano Físico recebido como Fogo|Физический урон, получаемый как огонь|受到的物理伤害为火焰|火炎として受ける物理ダメージ|불로 받은 물리적 피해|Physischer Schaden, der als Feuerschaden erlitten wird|Dégâts physiques subis sous forme de feu
phys_taken_arcane|Physical Damage taken as Arcane|Fyysinen vaurio pidetään arkaanisena|Dano Físico recebido como Arcano|Физический урон, получаемый как тайная магия|受到的物理伤害为奥术|秘術として受ける物理ダメージ|비전으로 받은 물리적 피해|Physischer Schaden, der als Arkanschaden erlitten wird|Dégâts physiques subis sous forme d'arcane
phys_taken_lightning|Physical Damage taken as Lightning|Fyysinen vaurio pidetään salamana|Dano Físico recebido como Raio|Физический урон, получаемый как молния|受到的物理伤害为闪电|雷撃として受ける物理ダメージ|번개로 받은 물리적 피해|Physischer Schaden, der als Blitzschaden erlitten wird|Dégâts physiques subis sous forme de foudre
damage_taken_mana|Damage taken recouped as Mana|Vauriot korvattiin Manana|Dano recebido vai para Mana|Полученный урон, восстанавливаемый как мана|受到的伤害以法力形式恢复|マナとして回復されるダメージ|마나로 회복된 피해|Erlittener Schaden, der als Mana wiedergutgemacht wird|Dégâts subis récupérés sous forme de mana
damage_taken_life|Damage taken recouped as Life|Vahinko korvataan henkisenä|Dano recebido vai para Vida|Полученный урон, восстанавливаемый как жизнь|受到的伤害以生命形式恢复|ライフとして回復されるダメージ|생명으로 회복된 피해|Erlittener Schaden, der als Leben wiedergutgemacht wird|Dégâts subis récupérés sous forme de vie
singular_skill|Singular Skills|Yksittäiset taidot|Habilidades Únicas|Единичные навыки|单一技能|特異スキル|단일 기술|Einzelfertigkeiten|Compétences singulières
singular_skill_class|Singular Skills (Class)|Yksittäiset taidot (luokka)|Habilidades Únicas (Classe)|Единичные навыки (класс)|单一技能（职业）|特異スキル (クラス)|단일 기술(클래스)|Einzelfertigkeiten (Klasse)|Compétences singulières (classe)
physical_skills|Physical Skills|Fyysiset taidot|Habilidades Físicas|Физические навыки|物理技能|物理スキル|물리 기술|Physische Fertigkeiten|Compétences physiques
cold_skills|Cold Skills|Kylmät taidot|Habilidades de Gelo|Навыки холода|冰冷技能|冷気スキル|추위 기술|Kältefertigkeiten|Compétences de froid
fire_skills|Fire Skills|Tulitaidot|Habilidades de Fogo|Навыки огня|火焰技能|火炎スキル|불 기술|Feuerfertigkeiten|Compétences de feu
arcane_skills|Arcane Skills|Arkaaniset taidot|Habilidades Arcanas|Навыки тайной магии|奥术技能|秘術スキル|비전 기술|Arkanfertigkeiten|Compétences arcaniques
poison_skills|Poison Skills|Myrkkytaidot|Habilidades de Veneno|Навыки яда|毒术技能|毒スキル|독 기술|Giftfertigkeiten|Compétences de poison
lightning_skills|Lightning Skills|Salaman taidot|Habilidades de Raio|Навыки молнии|闪电技能|雷撃スキル|번개 기술|Blitzfertigkeiten|Compétences de foudre
half_freeze_duration|Half Freeze Duration|Puolijäädytyksen kesto|Duração de Congelamento pela Metade|Длительность полузаморозки|半冻结持续时间|半減凍結時間|반 동결 지속 시간|Halbe Dauer des Einfrierens|Durée de gel de moitié
cannot_be_frozen|Cannot be Frozen|Ei voi jäädyttää|Não pode ser Congelado|Не может быть заморожен|无法冻结|凍結不可|동결 불가|Kann nicht eingefroren werden|Ne peut pas être gelé
summon_life_p|Summon Life %|Summon Life %|Vida de Invocações %|% жизни призыва|召唤生命 %|召喚ライフ %|소환 생명력 %|Lebensprozentsatz beim Beschwören|% de vie d'invocation
summon_reduction|Summon Damage Reduction|Summon Damage Reduction|Redução de Dano de Invocações|Снижение урона призыва|召唤伤害减少|召喚ダメージ軽減|소환 피해 감소|Schadensreduzierung beim Beschwören|Réduction des dégâts d'invocation
summon_resists|Summon Resistances|Kutsu vastarintaa|Resistências de Invocações|Сопротивления призыва|召唤抗性|召喚耐性|소환 저항|Widerstände beim Beschwören|Résistances d'invocation
summon_amount|Summon Amount|Summon summa|Quantidade de Invocações|Количество призыва|召唤数量|召喚量|소환 수량|Beschwörungsmenge|Montant d'invocation
summon_skills|Summon Skills|Kutsu taitoja|Habilidades de Invocação|Призыв Навыки|召唤技能|召喚スキル|소환 기술|Beschwörungsfertigkeiten|Compétences d'invocation
summon_damage_p|Summon Damage %|Summon Damage %|Dano de Invocações %|Урон призыва %|召唤伤害 %|召喚ダメージ %|소환 피해 %|Beschwörungsschadenprozentsatz|% de dégâts d'invocation
summon_attack_speed|Summon Attack Speed|Kutsu hyökkäysnopeus|Velocidade de Ataque de Invocações|Скорость атаки призыва|召唤攻击速度|召喚攻撃速度|소환 공격 속도|Angriffsgeschwindigkeit beim Beschwören|Vitesse d'attaque d'invocation
summon_movement_speed|Summon Movement Speed|Summon Movement Speed|Velocidade de Movimento de Invocações|Скорость движения призыва|召唤移动速度|召喚移動速度|소환 이동 속도|Bewegungsgeschwindigkeit beim Beschwören|Vitesse de déplacement d'invocation
sentry_skills|Sentry Skills|Sentry-taidot|Habilidades de Sentinela|Навыки часового|哨兵技能|セントリースキル|센트리 기술|Wachposten Fähigkeiten|Compétences de sentinelle
sentry_damage_p|Sentry Damage %|Sentry Damage %|Dano de Sentinelas %|Урон часового %|哨兵伤害 %|セントリーのダメージ %|센트리 데미지 %|Wachpostenschaden %|Dégâts de sentinelle %
sentry_amount|Sentry Amount|Sentry Summa|Quantidade de Sentinelas|Количество часового|哨兵数量|セントリーの量|센트리 양|Wachpostenmenge|Nombre de sentinelles
sentry_attack_speed|Sentry Attack Speed|Sentry Attack Speed|Velocidade de Ataque de Sentinela|Скорость атаки часового|哨兵攻击速度|セントリーの攻撃速度|센트리 공격 속도|Wachpostenangriffsgeschwindigkeit|Vitesse d'attaque des sentinelles
sentry_duration|Sentry Duration|Sentry Kesto |Duração de Sentinela|Длительность часового |哨兵持续时间 |セントリーの持続時間 |센트리 지속 시간 |Wachpostendauer |Durée des sentinelles 
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
[Stat Explanations]|||||||||
stat_desc_aps|Amount of attacks performed in a second.|Sekunnissa suoritettujen hyökkäysten määrä.|Quantidade de ataques realizados em um segundo.|Количество атак, совершенных за секунду.|每秒执行的攻击次数。|1秒間に行われる攻撃回数。|1초에 수행되는 공격 횟수.|Anzahl der Angriffe pro Sekunde.|Nombre d'attaques effectuées par seconde.
stat_desc_attack_speed|Amount of increased Attack Speed. Percentual Attack Speed is always calculated using 0.75 Attacks Per Second.|Lisätyn hyökkäysnopeuden määrä. Prosenttiaalinen hyökkäysnopeus lasketaan aina käyttämällä 0.75 hyökkäystä sekunnissa.|Quantidade de Aumento de Velocidade de Ataque. A Velocidade de Ataque Percentual é sempre calculada com 0.75 Ataque por Segundo.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 0.75 атаки в секунду.|攻击速度的增加量。百分比攻击速度始终使用每秒0.75次攻击进行计算。|増加した攻撃速度の量。パーセンテージの攻撃速度は常に0.75秒間の攻撃を基準に計算されます。|증가된 공격 속도의 양. 백분율 공격 속도는 항상 1초당 0.75번의 공격을 기준으로 계산됩니다.|Menge der erhöhten Angriffsgeschwindigkeit. Die prozentuale Angriffsgeschwindigkeit wird immer mit 0.75 Angriff pro Sekunde berechnet.|Pourcentage d'augmentation de la vitesse d'attaque. La vitesse d'attaque relative est toujours calculée sur la base 0.75 attaque par seconde.
stat_desc_movement_speed|Amount of increased Movement Speed.|Lisääntyneen liikenopeuden määrä.|Quantidade de aumento de Velocidade de Movimento.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|移动速度的增加量。|増加した移動速度の量。|증가된 이동 속도의 양.|Menge der erhöhten Bewegungsgeschwindigkeit.|Pourcentage d'augmentation de la vitesse de marche/course.
stat_desc_strength|Every point in Strength increases your Attack Damage by 1%.|Jokainen voimapiste lisää hyökkäysvahinkoasi 1 %:lla.|Cada ponto em Força aumenta seu Dano de Ataque em 1%.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|每一点力量都会使你的攻击伤害增加 1%。 |強さの各ポイントごとに、攻撃ダメージが 1% 増加します。 |힘 1포인트마다 공격력이 1%씩 증가합니다. |Jeder Stärkepunkt erhöht Ihren Angriffsschaden um 1 %. |Chaque point de Force augmente vos dégâts d'attaque de 1 %. 
stat_desc_dexterity|Every point in Dexterity increases your Attack Rating by 8 and your Critical Damage by 0.125%.|Jokainen kätevyyden piste lisää hyökkäysarvoasi 8 ja kriittistä vahinkoa 0,125 %.|Cada ponto em Destreza aumenta sua Taxa de Ataque em 8 e seu Dano Crítico em 0,125%.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|每点敏捷增加8点攻击评级和0.125%的暴击伤害。|1ポイントの器用さごとに攻撃評価が8上昇し、クリティカルダメージが0.125%増加します。|1 민첩성 당 공격 등급이 8 증가하고 치명타 피해량이 0.125% 증가합니다.|Jeder Punkt in Geschicklichkeit erhöht deine Angriffsbewertung um 8 und deinen kritischen Schaden um 0,125%.|Chaque point de dextérité augmente votre niveau d'attaque de 8 et vos dégâts critiques de 0.125%.
stat_desc_intelligence|Every point in Intelligence increases Magic Skill Damage dealt.|Jokainen älykkyyden piste lisää jaettua Magic Skill Damage -vauriota.|Cada ponto em Inteligência aumenta o Dano de Habilidades Mágicas causado.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|每一点智力都会增加魔法技能造成的伤害。 |知能の各ポイントは魔法スキルによるダメージを増加させます。 |지능 포인트 1개당 마법 기술 피해량이 증가합니다. |Jeder Punkt in Intelligenz erhöht den verursachten Schaden durch magische Fertigkeiten. |Chaque point d'intelligence augmente les dégâts infligés par vos compétences magiques.
stat_desc_energy|Every point in Energy increases your Mana by 4. Mana gained from Energy also increases your base Mana Replenish.|Jokainen piste Energyssä lisää Manaasi neljällä. Energystä saatu mana lisää myös Mana Replenish -perustasi.|Cada ponto em Energia aumenta sua Mana em 4. Mana recebida de Energia também aumenta sua Regeneração de Mana base.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|每点能量增加4点法力值。|1ポイントのエネルギーごとにマナが4増加します。|1 에너지 당 마나가 4 증가합니다.|Jeder Punkt in Energie erhöht dein Mana um 4.|Chaque point d'énergie augmente vos points de mana de 4. Le mana gagné grâce à l'énergie augmente également votre régénération de mana de base.
stat_desc_armor|Every point in Armor increases your Defense by 5.|Jokainen Armor-piste lisää puolustustasi viidellä.|Cada ponto em Armadura aumenta sua Defesa em 5.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|每点护甲增加5点防御。|1ポイントの防具ごとに防御力が5増加します。|1 방어력 당 방어력이 5 증가합니다.|Jeder Punkt in Rüstung erhöht deine Verteidigung um 5.|Chaque point d'armure augmente votre défense de 5.
stat_desc_vitality|Every point in Vitality increases your Life by 5. Life gained from Vitality also increases your base Life Replenish.|Jokainen Vitality-piste lisää elämääsi 5:llä. Elinvoimasta saatu elämä lisää myös perustason Life Replenish -tasoa.|Cada ponto em Vitalidade aumenta sua Vida em 5. Vida recebida de Vitalidade também aumenta a sua Regeneração de Vida base.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|每点体力增加5点生命。|1ポイントの生命力ごとに体力が5増加します。|1 활력 당 생명력이 5 증가합니다.|Jeder Punkt in Vitalität erhöht dein Leben um 5.|Chaque point de vitalité augmente vos points de vie de 5. La vie gagnée grâce à la vitalité augmente également votre régénération de vie de base,
stat_desc_all_skills|Increases the level of all Skills.|Nostaa kaikkien taitojen tasoa.|Aumenta o nível de todas as Habilidades.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加所有技能的等级。|すべてのスキルのレベルを上昇させます。|모든 스킬의 레벨을 증가시킵니다.|Erhöht das Level aller Fähigkeiten.|Augmente le niveau de toutes les compétences.
stat_desc_pointsLeft|Points left to allocate into any of the primary stats. You can allocate 4 points by pressing [input_attribute_add_multi].|Pisteitä jäljellä mihin tahansa ensisijaiseen tilastoon. Voit jakaa 4 pistettä painamalla [input_attribute_add_multi].|Pontos restantes para alocar em qualquer um dos atributos principais. Você pode alocar 4 pontos pressionando Shift + Clique Esquerdo.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|剩余可分配到任何主要属性的点数。您可以通过Shift + 左键单击来分配4点。|主要なステータスに割り当てるための残りポイント。Shiftキーを押しながら左クリックで4ポイント割り当てることができます。|주요 스탯에 할당할 남은 포인트. Shift 키를 누르고 왼쪽 클릭하여 4 포인트를 할당할 수 있습니다.|Punkte, die in einem der Primärwerte verbleiben. Du kannst 4 Punkte durch Shift + Linksklick zuweisen.|Points restants à allouer à l'une des statistiques. Vous pouvez allouer 4 points avec Maj + Clic-gauche.
stat_desc_cold_skills|Increases the level of all Cold Skills.|Nostaa kaikkien kylmätaitojen tasoa.|Aumenta o nível de todas as Habilidades de Gelo.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加所有冰系技能的等级。|すべての氷スキルのレベルを上昇させます。|모든 냉기 스킬의 레벨을 증가시킵니다.|Erhöht das Level aller Kältefähigkeiten.|Augmente le niveau de toutes les compétences de froid.
stat_desc_lightning_skills|Increases the level of all Lightning Skills.|Nostaa kaikkien salama-taitojen tasoa.|Aumenta o nível de todas as Habilidades de Raios.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加所有闪电技能的等级。|すべての雷スキルのレベルを上昇させます。|모든 번개 스킬의 레벨을 증가시킵니다.|Erhöht das Level aller Blitzfähigkeiten.|Augmente le niveau de toutes les compétences de foudre.
stat_desc_fire_skills|Increases the level of all Fire Skills.|Nostaa kaikkien palotaitojen tasoa.|Aumenta o nível de todas as Habilidades de Fogo.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加所有火系技能的等级。|すべての火スキルのレベルを上昇させます。|모든 화염 스킬의 레벨을 증가시킵니다.|Erhöht das Level aller Feuerfähigkeiten.|Augmente le niveau de toutes les compétences de feu.
stat_desc_magic_skills|Increases the level of all Arcane Skills.|Nostaa kaikkien arkaanisten taitojen tasoa. |Aumenta o nível de todas as Habilidades Arcanas.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|提高所有奥术技能的等级。 |すべての秘術スキルのレベルを上げます。 |모든 비전 기술의 레벨이 증가합니다. |Erhöht das Level aller arkanen Fertigkeiten. |Augmente le niveau de toutes les compétences d'arcane.
stat_desc_poison_skills|Increases the level of all Poison Skills.|Nostaa kaikkien Poison Skills -taitojen tasoa.|Aumenta o nível de todas as Habilidades de Veneno.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加所有毒系技能的等级。|すべての毒スキルのレベルを上昇させます。|모든 독 스킬의 레벨을 증가시킵니다.|Erhöht das Level aller Giftfähigkeiten.|Augmente le niveau de toutes les compétences de poison.
stat_desc_physical_skills|Increases the level of all Physical Skills.|Nostaa kaikkien fyysisten taitojen tasoa.|Aumenta o nível de todas as Habilidades Físicas.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加所有物理技能的等级。|すべての物理スキルのレベルを上昇させます。|모든 물리 스킬의 레벨을 증가시킵니다.|Erhöht das Level aller physischen Fähigkeiten.|Augmente le niveau de toutes les compétences physiques.
stat_desc_damage|The amount of damage your attacks deal.|Hyökkäyksiesi aiheuttaman vahingon määrä.|A quantidade de dano que seus ataques causam.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|您的攻击造成的伤害量。|攻撃の与えるダメージ量。|공격이 입히는 피해량.|Die Menge des Schadens, den deine Angriffe verursachen.|Quantité de dégâts infligés par votre attaque de base. Celle ci est calculée en fonction des dégâts d'arme ainsi que des dégâts magiques (feu / froid / foudre / poison / arcane) et physiques infusés.
stat_desc_attack_rating|Increases your chance of hitting enemies with attacks.|Lisää mahdollisuuttasi lyödä vihollisia hyökkäyksillä.|Aumenta sua chance de acertar inimigos com ataques.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加击中敌人的攻击几率。|攻撃の命中率の増加。|공격 명중률 증가.|Erhöht deine Chance, Feinde mit Angriffen zu treffen.|Augmente la probabilité de toucher un ennemi avec votre attaque.
stat_desc_faster_cast_rate|Increases your Casting speed. Faster Cast Rate is always calculated using 1 Cast Per Second.|Lisää suoratoistonopeuttasi. Nopeampi lähetysnopeus lasketaan aina käyttämällä 1 Cast sekunnissa.|Aumenta sua Velocidade de Conjuração. A Velocidade de Conjuração mais rápida é sempre calculada com 1 Conjuração por Segundo.|Количество увеличения скорости атаки. Процентная скорость атаки всегда рассчитывается с использованием 1 атаки в секунду.|增加施法速度。更快的施法速度始终使用每秒1次施法进行计算。|キャスト速度の増加。高速キャスト率は常に1秒間のキャストを基準に計算されます。|시전 속도 증가. 빠른 시전 속도는 항상 1초당 1회 시전을 기준으로 계산됩니다.|Erhöht deine Zaubergeschwindigkeit. Die Schnellzauberrate wird immer mit 1 Zauber pro Sekunde berechnet.|Pourcentage d'augmentation de la vitesse des sorts. Celle ci est toujours calculée sur la base d’une incantation par seconde.
