Unnamed: 0|en|fi|pt|ru|zh|ja|ko|de|fr
talent_desc_pickupRaid|Call your hillbilly friends to siege your opponents in a pickup truck dealing fire damage.||Chame seus amigos caipiras para cercar seus oponentes em uma caminhonete que causa Dano de Fogo. Deixa óleo para trás se o Derramamento de Óleo estiver habilitado.|Позовите своих деревенских друзей и осадите своих противников на пикапе, наносящем урон от огня. Оставляет после себя нефть, если навык «Разлив нефти» искусен.|||언덕 친구들을 불러 픽업 트럭으로 상대를 포위하고 화염 피해를 입히세요.||Appelez vos amis péquenauds pour assiéger vos adversaires à bord d'un pick-up. Laisse du pétrole derrière lui si la compétence Déversement d'pétrole est utilisée.
talent_desc_chainsawSlash|Perform an area of effect attack attaching a spinning chainsaw on monsters for a short period of time.||Executa um ataque em área anexando uma motosserra giratória nos inimigos por um curto período de tempo.||||짧은 시간 동안 몬스터에게 회전하는 전기톱을 부착하여 범위 공격을 수행합니다.||
talent_desc_durableWear|Increases your defense rating.||Aumenta a sua Taxa de Defesa.|Повышает ваш рейтинг защиты.|||방어 등급이 증가합니다.||Augmente votre défense.
talent_desc_chainsawMassacre|Violently spin your chainsaw dealing damage to monsters around you. Going the full distance unleashes a whirl attack with increased damage and area of effect.||Gira violentamente sua motosserra, perdendo gradualmente o controle ao longo do tempo à medida que causa Dano nos inimigos ao seu redor, fazendo com que Sangrem. Indo a distância máxima faz com que você execute um ataque giratório com Dano e area of effect aumentado.|Яростно вращайте бензопилу, постепенно теряя контроль над ней, нанося урон врагам вокруг вас.|||주변의 몬스터에게 피해를 입히며 폭력적으로 전기톱을 회전시킵니다. 최대 거리를 이동하면 피해와 효과 범위가 증가된 회오리 공격을 해제합니다.||Faites tourner votre tronçonneuse avec force, perdant le contrôle sur la durée et en infligeant des dégâts aux ennemis autour de vous.
talent_desc_chainsawMastery|Increases your damage and attack rating when using a chainsaw.||Aumenta seu Dano e Taxa de Ataque ao utilizar uma motosserra.|Увеличивает ваш урон и рейтинг атаки при использовании бензопилы.|||전기톱을 사용할 때 피해량과 명중률이 증가합니다.||Augmente vos dégâts et votre niveau d'attaque lorsque vous utilisez une tronçonneuse.
talent_desc_revvedUp|Temporarily increases your attack speed and damage.||Aumenta temporariamente sua Taxa de Ataque e Velocidade de Ataque.|Временно увеличивает ваш рейтинг атаки и скорость атаки.|||일시적으로 공격 속도와 피해가 증가합니다.||Augmente votre niveau d'attaque et votre vitesse d'attaque pendant une courte période.
talent_desc_experiencedLogger|Increases your chance for critical strike and critical strike damage.||Aumenta sua Chance de Acerto Crítico e Dano de Acerto Crítico.|Увеличивает ваш шанс на критический удар и урон от критического удара.|||치명타 확률과 치명타 피해를 증가시킵니다.||Augmente vos chances de coup critique et vos dégâts  critiques.
talent_desc_loggersEndurance|Increases your life and life replenish.||Aumenta sua Vida e Recuperação de Vida.|Увеличивает вашу жизнь и восполнение жизни.|||생명력과 생명력 회복이 증가합니다.||Augmente votre vie et votre restauration de vie.
talent_desc_rogueChainsaw|Throw a chainsaw on the ground spinning and dealing increased damage and additional arcane damage to monsters struck.||Jogue uma serra elétrica no chão, girando e causando Dano Arcano nos inimigos que atingir. Depois de girar, arremessa na direção do seu ângulo, quicando em paredes e explodindo no final.|Бросьте бензопилу на землю, она будет вращаться и наносить урон от тайной магии врагам, которых она заденет.|||전기톱을 땅에 던져 회전시키며 맞은 몬스터에게 추가 피해와 비전 피해를 입힙니다.||Lancez une tronçonneuse sur le sol en la faisant tourner et en infligeant des dégâts aux ennemis qu'elle touche.
talent_desc_treeTrunkTriumph|Summon a massive tree and cut it down on nearby monsters dealing increased damage and additional arcane damage.||Invoque uma árvore enorme e corte-a nos inimigos próximos, causando Dano Arcano e atordoando-os.|Призовите огромное дерево и срубите его ближайшим врагам, нанося им урон от тайной магии и оглушая их.|||거대한 나무를 소환하여 근처의 몬스터들에게 내려쳐서 추가 피해와 비전 피해를 입힙니다.||Invoquez un arbre massif et abattez-le sur les ennemis proches en leur infligeant des dégâts et en les étourdissant.
|||||||||
talent_name_boneShred|Bone Shred||Trituração Óssea|Костяной клочок|骨碎|ボーンシュレッド|뼈 찢기|Knochenfetzen|Éclats d'os
talent_name_meatShield|Meat Shield||Escudo de Carne|Мясной щит|肉盾|ミートシールド|육체 방패|Fleischschild|Bouclier de viande
talent_name_meatBomb|Meat Bomb||Bomba de Carne|Мясная бомба|肉弹|ミートボム|육체 폭탄|Fleischbombe|Bombe de viande
talent_name_poisonBreath|Poison Breath||Sopro Venenoso|Ядовитое дыхание|毒息|ポイズンブレス|독 숨결|Giftatem|Souffle de poison
talent_name_boneSpear|Bone Spear||Lança de Osso|Костяное копье|骨矛|ボーンスピア|뼈 창|Knochenspeer|Lance d'os
talent_name_cursedGround|Cursed Ground||Chão Amaldiçoado|Проклятая земля|诅咒之地|カースドグラウンド|저주받은 땅|Verfluchter Boden|Terre maudite
talent_name_boneSpirit|Bone Spirit||Espírito de Ossos|Костяной дух|骨灵|ボーンスピリット|뼈 영혼|Knochengeist|Esprit d'os
talent_name_poisonNova|Poison Nova||Nova de Veneno|Ядовитое Кольцо|毒新星|ポイズンノヴァ|독 노바|Giftnova|Nova de poison
talent_name_corpseExplosion|Corpse Explosion||Explosão de Cadáver|Взрыв трупа|尸体爆炸|コープスエクスプロージョン|시체 폭발|Leichenexplosion|Explosion de cadavre
talent_name_raiseSkeletonWarrior|Raise Skeleton||Levantar Esqueleto|Поднять скелет|复活骷髅|スケルトンレイズ|해골 부활|Skelett erwecken|Soulèvement de squelette
talent_name_skeletonMastery|Summon Mastery||Maestria de Esqueleto|Мастерство скелетов|召唤精通|召喚マスタリー|소환 마스터리|Beschwörungsmeisterschaft|Maîtrise des squelettes
talent_name_amplifyDamage|Amplify damage||Amplificar Dano|Усиление урона|增加伤害|ダメージ増幅|데미지 증폭|Schaden verstärken|Amplification des dégâts
talent_name_raiseSkeletonMage|Raise Skeleton Mage||Levantar Esqueleto Mago|Поднять скелета-мага|复活骷髅法师|スケルトンメイジレイズ|해골 마법사 부활|Skelettmagier erwecken|Soulèvement de mage squelette
talent_name_lifeTap|Life Tap||Toque da Vida|Жизнь кран|生命分流|ライフタップ|생명력 흡수|Lebensentzug|Ponction de vie
talent_name_summonFrenzy|Summon Frenzy||Frenesi de Invocação|Призвать безумие|召唤狂暴|召喚フレンジー|광란 소환|Raserei beschwören|Frénésie d'invocations
talent_name_summonDamnedLegion|Summon Damned Legion||Invocar Legião Maldita|Призвать Проклятый Легион|召唤诅咒军团|ダムドレギオン召喚|저주받은 군단 소환|Verdammte Legion beschwören|Invocation de légionnaire damné
talent_name_summonResistances|Summon Resistances||Resistência de Invocação|Призвать сопротивление|召唤抗性|耐性召喚|저항 소환|Widerstände beschwören|Résistances d'invocations
talent_name_summonVengefulSpirit|Summon Vengeful Spirit||Invocar Espírito Vingativo|Призвать мстительного духа|召唤复仇之灵|復讐の精霊召喚|복수의 영혼 소환|Rachsüchtigen Geist beschwören|Invocation d'esprit de vengeur
talent_name_recallSummons|Recall Summons||Revocar Invocações|Отзыв призыва|召回召唤 |召喚召喚のリコール |소환 소환 |Beschwörungen zurückrufen |Rappeler les invocations
|||||||||
talent_desc_boneShred|Unleash bone fragments dealing arcane damage to monsters.||Libera fragmentos de ossos que causam Dano Arcano aos inimigos. Pontos adicionais aumentam a quantidade de fragmentos.|Высвободите фрагменты костей, нанося врагам урон от тайной магии. Дополнительные очки увеличивают количество фрагментов.|||뼛조각을 풀어 몬스터에게 비전 피해를 입히세요.||Libère des fragments d'os qui infligent des dégâts aux ennemis. Les points supplémentaires augmentent la quantité de fragments.
talent_desc_meatShield|Cast a meat shield reducing physical damage taken.||Lança um Escudo de Carne, reduzindo o Dano Físico Recebido.||||고기 방패를 시전하여 받는 물리 피해를 줄입니다.||
talent_desc_meatBomb|Throw a huge lump of meat that explodes on impact dealing arcane damage and leaving corpse on the ground.||Arremessa um enorme pedaço de carne que explode com o impacto, causando Dano Arcano e deixando cadáveres no chão.|Бросьте огромный кусок мяса, который взрывается при ударе, нанося тайный урон и оставляя трупы на земле.|||거대한 고깃덩어리를 던져 충돌 시 폭발하여 비전 피해를 입히고 땅에 시체를 남깁니다.||Lance un énorme morceau de viande qui explose à l'impact, infligeant des dégâts et laissant des cadavres sur le sol.
talent_desc_poisonBreath|Unleash a rotten breath of toxins dealing poison damage.||Libera um sopro podre de toxinas, causando Dano de Veneno e Envenenando todos os inimigos que tocar.|Высвободите гнилое дыхание токсинов, нанося урон от яда и отравляя всех врагов, которых оно касается.|||썩은 숨결을 내뿜어 독 피해를 입힙니다.||Dégage une haleine chargée de toxines qui empoisonne tous les ennemis qu'elle touche.
talent_desc_boneSpear|Launch a piercing bone spear dealing arcane damage.||Lança uma Lança de Osso perfurante que causa Dano Arcano e se divide em vários estilhaços ao atingir um inimigo.|Запустите пронзительное костяное копье, нанося урон от тайной магии, которое при ударе по врагу распадается на несколько осколков.|||관통하는 뼈 창을 발사하여 비전 피해를 입힙니다.||Projette une lance d'os qui inflige des dégâts aux ennemis sur sa trajectoire.
talent_desc_cursedGround|Corrupt the ground in the target area inflicting poison break on monsters affected area.||Corrompe o solo na área-alvo, reduzindo a Resistência a Veneno dos inimigos que estiverem dentro dele.|Повреждает землю в целевой области, снижая сопротивление яду всех врагов внутри.|||대상 지역의 땅을 오염시켜 해당 지역의 몬스터에게 독 중단을 입힙니다.||Corrompt le sol de la zone ciblée, réduisant la résistance au poison des ennemis qui y pénètrent.
talent_desc_boneSpirit|Spawn a bone spirit which seeks out the nearest monster and explodes on impact dealing area of effect arcane damage.||Gera um Espírito de Ossos que procura o inimigo mais próximo e explode com o impacto, causando Dano Arcano em área e quebrando a Resistência Arcana do inimigo.|Создает костяного духа, который ищет ближайшего врага и взрывается при ударе, нанося урон от тайной магии по площади.|||뼈 영혼을 소환하여 가장 가까운 몬스터를 찾아 폭발하며 범위 내에 비전 피해를 입힙니다.||Génère un esprit d'os qui se déplace vers l'ennemi le plus proche et explose à l'impact en infligeant des dégâts de zone.
talent_desc_poisonNova|Unleash a toxic poison nova dealing poison damage and inflicting Poisoned on all monsters hit.||Libera uma Nova tóxica, causando Dano de Veneno e Envenenando todos os inimigos em seu caminho.|Высвободите ядовитое кольцо яда, наносящее ядовый урон и отравляющее всех врагов на своем пути.|||유독성 독 노바를 발산하여 독 피해를 주고 맞은 모든 몬스터에게 독 상태를 부여합니다.||Libère une Nova de poison toxique qui empoisonne tous les ennemis sur son passage.
talent_desc_corpseExplosion|Cause all corpses in target area to explode and deal area of effect arcane damage.||Faz com que todos os cadáveres na área-alvo explodam e causem Dano Arcano em área. Os cadáveres criados pela Bomba de Carne causam 100% de Dano Aumentado.||||대상 지역 내 모든 시체를 폭발시켜 광역 비전 피해를 입힙니다.||
talent_desc_raiseSkeletonWarrior|Raise a skeleton warrior from target corpse to fight on your side.||Ergue um Guerreiro Esqueleto do cadáver alvo para lutar ao seu lado.|Поднимите скелета-воина из целевого трупа, чтобы он сражался на вашей стороне.|||대상 시체에서 해골 전사를 소환하여 당신의 편에서 싸우게 합니다.||Relevez un guerrier squelette du cadavre ciblé pour qu'il se batte à vos côtés.
talent_desc_skeletonMastery|Increases the life and arcane damage of all your summons.||Aumenta a Vida e o Dano Arcano de todas as suas invocações.||||모든 소환수의 생명력과 비전 피해를 증가시킵니다.||
talent_desc_amplifyDamage|Curse monsters in the target area decreasing their damage dealt and inflicting arcane break.||Amaldiçoa os inimigos na área-alvo, diminuindo o Dano causado e quebrando as Resistências Arcanas.||||대상 지역의 몬스터에게 저주를 걸어, 주는 피해를 감소시키고 비전 저항을 깬다.||
talent_desc_raiseSkeletonMage|Raise a skeleton mage from target corpse to fight on your side.||Ergue um Esqueleto Mago do cadáver alvo para lutar ao seu lado.|Поднимите скелета-мага из целевого трупа, чтобы он сражался на вашей стороне.|||대상 시체에서 해골 마법사를 소환하여 당신의 편에서 싸우게 합니다.||Soulevez un Mage squelette du cadavre ciblé pour qu'il se batte à vos côtés.
talent_desc_lifeTap|Curse monsters in the target area increasing any attackers life steal when striking the target.||Amaldiçoa os inimigos na área-alvo, aumentando o Roubo de Vida de qualquer atacante ao atingir o alvo.|Проклинает врагов в целевой области, увеличивая вампиризм любого атакующего при ударе по цели.|||대상 지역의 몬스터에게 저주를 걸어 공격자가 대상을 공격할 때 생명력 흡수를 증가시킵니다.||Lancez une malédiction sur la zone ciblée qui augmente la vie volée par coup des attaquants.
talent_desc_summonFrenzy|Temporarily enrage your summons increasing their attack speed and movement speed.||Enfureça temporariamente suas Invocações, aumentando a Velocidade de Ataque e a Velocidade de Movimento deles.|Временно приводите своих призываемых в ярость, увеличивая их скорость атаки и скорость передвижения.|||일시적으로 소환수를 격노시켜 공격 속도와 이동 속도를 증가시킵니다.||Enrager vos invocations en augmentant leur vitesse d'attaque et leur vitesse de marche/course pendant une courte période.
talent_desc_summonDamnedLegion|Summon a damned legion to fight on your side.||Convoque uma Legião Maldita para lutar ao seu lado.|Призовите Проклятый Легион, который будет сражаться на вашей стороне.|||저주받은 군단을 소환하여 당신의 편에서 싸우게 하십시오.||Invoque un légionnaire damné pour combattre à vos côtés.
talent_desc_summonResistances|Increases all resistances and physical damage reduction of your summons.||Aumenta Todas as Resistências de suas Invocações.|Увеличивает все сопротивления и уменьшает физический урон от вашего призыва.|||소환수의 모든 저항력과 물리 피해 감소를 증가시킵니다.||Augmente la résistance physique et élémentaire de toutes vos invocations.
talent_desc_summonVengefulSpirit|Summon a vengeful spirit to fight on your side.||Convoque um Espírito Vingativo para lutar ao seu lado.|Призовите мстительного духа, который будет сражаться на вашей стороне.|||복수심에 불타는 영혼을 소환하여 당신 편에서 싸우게 하십시오.||Invoque un Esprit vengeur pour combattre à vos côtés.
talent_desc_recallSummons|Recalls all your summons.||Revoque todas as suas Invocações.|Возвращает все ваши призывы.|||모든 소환수를 소환 해제합니다.||Rappelle toutes vos invocations.
|||||||||
talent_name_quickSlash|Quickslash||Corte Rápido|Быстрая косая черта|快速斩击|クイックスラッシュ|퀵슬래시|Schneller Hieb|Tranche directe
talent_name_battleGlance|Battle Glance||Olhar de Batalha|Боевой взгляд|战斗一瞥|バトル グランス|배틀 글랜스|Kampfblick|Aperçu du combat
talent_name_evasion|Evasion||Evasão|Уклонение|闪避|回避|회피|Ausweichen|Évasion
talent_name_smokeBomb|Smoke Bomb||Bomba de Fumaça|Дымовая бомба|烟雾弹|スモーク ボム|연막탄|Rauchbombe|Bombe fumigène
talent_name_shurikenThrow|Shuriken Throw||Arremesso de Shuriken|Сюрикен Бросок|手里剑投掷|手裏剣投げ|수리검 던지기|Shurikenwurf|Lancer de shuriken
talent_name_warriorsSpirit|Warrior’s Spirit||Espírito do Guerreiro|Дух Воина|武士精神|戦士の精神|전사의 정신|Kriegergeist|Esprit du guerrier
talent_name_bushido|Bushido||Bushido|Бусидо|武士道|武士道|무시도|Bushido|Bushido
talent_name_explosiveKunai|Explosive Kunai||Kunai Explosiva|Взрывной Кунай|爆炸苦无|爆発クナイ|폭발 쿠나이|Explosives Kunai|Kunai explosif
talent_name_liveByTheSword|Live by the Sword||Viva pela Espada|Живи мечом|以剑为生|剣に生きる|검으로 사는 것|Lebe nach dem Schwert|Vivre par l'épée
talent_name_fanOfKnives|Fan of Knives||Leque de Facas|Поклонник ножей|刀扇|ナイフの扇|칼 부채|Fächer der Messer|Éventail de couteaux
talent_name_bladeBarrier|Blade Barrier||Barreira de Lâminas|Клинок Барьер|剑刃屏障|ブレード バリア|블레이드 배리어|Klingenbarriere|Boucliers lames
talent_name_omnislash|Omnislash||Omnicorte|Всепобеждающий удар|无敌斩|オムニスラッシュ|옴니슬래시|Omnislash|Omnislash
talent_name_explodingBolas|Exploding Bolas||Bolas Explosivas|Взрывной Болас|爆炸流星锤|爆発するボーラ|폭발 볼라|Explodierende Bolas|Bolas explosif
talent_name_wayOfTheWarrior|Way of the Warrior||Caminho do Guerreiro|Путь воина|武士之道|戦士の道|전사의 길|Weg des Kriegers|Voie du guerrier
talent_name_forHonor|For Honor||Pela Honra|За честь|荣耀之战|名誉のために|명예를 위해|Für die Ehre|Pour l'honneur
talent_name_shadowStep|Shadow Step||Passo das Sombras|Теневой шаг|暗影步伐|シャドウ ステップ|섀도우 스텝|Schattenschritt|Pas de l'ombre
talent_name_burstOfSpeed|Burst of Speed||Surto de Velocidade|Взрыв скорости|速度爆发|バースト オブ スピード|속도의 폭발|Geschwindigkeitsschub|Explosion de vitesse
talent_name_empiresSlash|Empire’s Slash||Corte do Império|Удар Империи|帝国斩击 |帝国の斬撃 |제국의 베기 |Hieb des Imperiums |Taillade de l'Empire
|||||||||
talent_desc_quickSlash|Perform a quick dash unleashing area of effect slash dealing increased physical damage and knocking up monsters.||Executa um avanço rápido seguido de um corte em área que causa Dano Físico aumentado e arremessa os inimigos.||||빠른 돌진을 수행하여 물리 피해를 증가시키고 몬스터를 공중에 띄우는 범위 슬래시를 발동합니다.||
talent_desc_battleGlance|Perform an area of effect attack with increased damage and attack rating.||Realiza um ataque em área com aumento de Dano e de Taxa de Ataque.|Выполните атаку по площади с увеличенным уроном и рейтингом атаки.|||범위 공격을 수행하여 피해와 명중률을 증가시킵니다.||Effectue une attaque de zone avec un niveau d'attaque et des dégâts accrus. 
talent_desc_evasion|Gain a chance to evade melee and ranged attacks.||Ganhe uma chance de se esquivar de ataques corpo a corpo e à distância.|Получите шанс уклониться от атак ближнего и дальнего боя.|||근접 공격과 원거리 공격을 회피할 기회를 얻습니다.||Gagne une chance d'esquiver les attaques de mêlée et à distance.
talent_desc_smokeBomb|Explode a smoke bomb dealing arcane damage.||Explode uma bomba de fumaça que causa Dano Arcano, desacelera e reduz a Taxa de Ataque do inimigo.|Взорвите дымовую шашку, нанося урон от тайной магии, замедляя и снижая рейтинг атаки противника.|||연막탄을 폭발시켜 비전 피해를 입힙니다.||Fait exploser une bombe fumigène ralentissant, infligeant des dégâts et réduisant le niveau d'attaque de l'ennemi.
talent_desc_shurikenThrow|Throw three piercing Shurikens at your target dealing increased damage.||Arremessa três Shurikens perfurantes em seu alvo, causando Dano.Shurikens tem uma chance de ricochetear em direção ao alvo mais próximo.|Бросьте в цель три колющих сюрикена, нанося урон.|||대상에게 세 개의 관통 수리검을 던져 추가 피해를 입힙니다.||Lance des shurikens perforants dans la direction ciblée, infligeant des dégâts physiques.
talent_desc_warriorsSpirit|Increases your attack speed.||Aumenta a sua Velocidade de Ataque.|Увеличивает вашу скорость атаки.|||공격 속도가 증가합니다.||Augmente votre vitesse d'attaque.
talent_desc_bushido|Activate to gain a buff that increases your attack damage for every 10% of missing Life.||Aumenta o Dano de Ataque para cada 10% de Vida perdida.|Увеличивает силу атаки за каждые 10% недостающего здоровья.|||활성화하면 잃은 생명력 10%마다 공격력이 증가하는 버프를 얻습니다.||Augmente les dégâts d'attaque par tranche de 10% de vie manquante.
talent_desc_explosiveKunai|Throw an explosive kunai that explodes on impact dealing area of effect arcane damage.||Arremessa uma Kunai Explosiva que se divide no impacto causando Dano Arcano em área e atordoa os inimigos.|Бросьте взрывной кунай, нанося урон от тайной магии по площади и оглушая врагов при ударе.|||폭발하는 쿠나이를 던져 충돌 시 폭발하여 범위 내에 비전 피해를 입힙니다.||Lance un Kunai explosif qui inflige des dégâts de zone et étourdit les ennemis à l'impact.
talent_desc_liveByTheSword|Temporarily increases your attack speed and movement speed.||Aumenta temporariamente sua Velocidade de Ataque e a Velocidade de Movimento.|Временно увеличивает вашу скорость атаки и скорость передвижения.|||일시적으로 공격 속도와 이동 속도가 증가합니다.||Augmente votre vitesse d'attaque et votre vitesse de marche/course pendant une courte période.
talent_desc_fanOfKnives|Attacks have a chance to throw knives around you dealing damage to nearby monsters. Additionally the knives have a chance to ricochet to nearby monsters.||Ataques tem uma chance de arremessar facas ao seu redor causando Dano em inimigos próximos.|Вращайтесь, бросая вокруг себя ножи, нанося урон ближайшим врагам.|||공격 시 주변에 있는 몬스터에게 피해를 주는 칼을 던질 확률이 있습니다. 또한, 칼은 주변 몬스터에게 튕길 확률이 있습니다.||Projette des couteaux autour de vous en infligeant des dégâts aux ennemis proches.
talent_desc_bladeBarrier|Summon a barrier of rotating blades around you dealing increased damage and additional arcane damage.||Invoca uma barreira de lâminas giratórias ao seu redor, causando Dano Arcano aos inimigos.|Создайте вокруг себя барьер из вращающихся лезвий, наносящий врагам урон от тайной магии.|||회전하는 칼날의 장벽을 소환하여 추가 피해와 비전 피해를 입힙니다.||Créez une barrière de lames rotatives autour de vous, infligeant des dégâts aux ennemis qui entrent en contact.
talent_desc_omnislash|Become untargetable and rapidly strike monsters multiple times with increased attack rating dealing increased damage.||Torna-se inatingível e atinja rapidamente os inimigos várias vezes, causando Dano.|Станьте недоступным для выбора и быстро атакуйте врагов несколько раз, нанося урон.|||타겟팅할 수 없게 되어 공격력이 증가된 상태로 몬스터를 여러 번 빠르게 공격하여 더 많은 피해를 입히세요.||Frappez plusieurs ennemis sans les cibler.
talent_desc_explodingBolas|Throw bolas that deal arcane damage on impact and again when they explode after a short delay. ||Arremessa bolas perfurantes, Desacelerando os inimigos e causando Dano Arcano em área ao explodir.|Бросок колющих боласов. Замедляет врагов и наносит урон от тайной магии по площади при взрыве.|||짧은 지연 후 폭발할 때 충격과 다시 한 번 비전 피해를 입히는 볼라를 던지십시오.||Lance des bolas perforants qui ralentissent les ennemis et infligent des dégâts de zone lorsqu'ils explosent.
talent_desc_wayOfTheWarrior|Increases your attack damage and magic skill damage.||Aumenta o seu Dano de Ataque e o Dano de Habilidade Mágica causado.|Увеличивает урон от атак и урон от магических навыков.|||공격 피해와 마법 스킬 피해가 증가합니다.||Augmente tous les dégâts physiques infligés.
talent_desc_forHonor|Temporarily increases your attack damage and movement speed.||Aumenta temporariamente o seu Dano de Ataque e a Velocidade de Movimento.|Временно увеличивает силу атаки и скорость передвижения.|||일시적으로 공격력과 이동 속도가 증가합니다.||Augmente vos dégâts d'attaque et votre vitesse de marche/course pendant une courte période.
talent_desc_shadowStep|Step into the shadows re-appearing at target location dealing area of effect damage and additional arcane damage to all nearby monsters.||Entra nas sombras e reaparece no local-alvo, causando Dano Arcano em área a todos os inimigos próximos.|Вступите в тень, которая снова появится в выбранном месте и нанесет урон от тайной магии по площади всем ближайшим врагам.|||그림자에 숨어 목표 위치에 다시 나타나, 근처의 모든 몬스터에게 범위 피해와 추가 비전 피해를 입힙니다.||S'enfonce dans l'ombre et réapparaît à l'endroit ciblé en infligeant des dégâts de zone à tous les ennemis proches.
talent_desc_burstOfSpeed|Gain increased movement speed for a short period after killing an monster.||Ganhe maior Velocidade de Movimento por um curto período após matar um inimigo.|Увеличивает скорость передвижения на короткое время после убийства врага.|||몬스터를 처치한 후 일정 시간 동안 이동 속도가 증가합니다.||Augmente la vitesse de marche/course pendant une courte période après avoir tué un ennemi.
talent_desc_empiresSlash|Perform an area of effect attack blinking a short distance and dealing damage to monsters in its path. Empire slash lowers Omnislashes cooldown when it strikes a monster.||Executa um enorme ataque em área, avançando uma curta distância e causando Dano aos inimigos em seu caminho. Corte do Império reduz o tempo de recarga do Omnicorte quando atinge um inimigo.|Выполните огромную атаку по площади, мигая на небольшом расстоянии и нанося урон врагам на своем пути.|||짧은 거리를 순간이동하며 경로에 있는 몬스터에게 피해를 주는 광역 공격을 수행합니다. 제국의 참격은 몬스터를 타격할 때 옴니슬래쉬의 재사용 대기시간을 줄입니다.||Effectue une énorme attaque de zone en se déplaçant sur une courte distance et en infligeant des dégâts aux ennemis sur son passage.
|||||||||
talent_name_vengeance|Vengeance||Vingança|Месть|复仇|復讐|복수|Rache|Vengeance
talent_name_thunderShield|Thunder Shield||Escudo do Trovão|Громовой Щит|雷霆之盾|サンダーシールド|천둥 방패|Donnerschild|Bouclier du tonnerre
talent_name_lightningFury|Lightning Fury||Fúria do Relâmpago|Молниеносная ярость|闪电之怒|ライトニングフューリー|번개 격노|Blitzwut|Colère de la foudre
talent_name_holyShockAura|Holy Shock Aura||Aura de Choque Sagrado|Аура Святого Шока|神圣冲击光环|ホーリーショックオーラ|신성한 충격 오라|Aura des Heiligen Schocks|Aura de choc saint
talent_name_divineStorm|Divine Storm||Tempestade Divina|Божественная буря|神圣风暴|ディバインストーム|신성한 폭풍|Göttlicher Sturm|Tempête divine
talent_name_fanaticismAura|Fanaticism Aura||Aura de Fanatismo|Аура фанатизма|狂热光环|ファナティシズムオーラ|광신 오라|Aura des Fanatismus|Aura de fanatisme
talent_name_ballLightning|Ball Lightning||Bola de Raio|Шаровая молния|球状闪电|ボールライトニング|구형 번개|Kugelblitz|Boule de foudre
talent_name_eyeOfTheStorm|Eye of the Storm||Olho da Tempestade|Центр урагана|风暴之眼|嵐の目|폭풍의 눈|Auge des Sturms|Oeil de la tempête
talent_name_thorsFury|Thor's Fury||Fúria de Thor|Ярость Тора|雷神之怒|トールの怒り|토르의 격노|Thors Wut|Fureur de Thor
talent_name_holyBolt|Holy Bolt||Raio Sagrado|Святой Болт|神圣闪电|ホーリーボルト|신성한 볼트|Heiliger Blitz|Éclair sacré
talent_name_divineWisdom|Divine Wisdom||Sabedoria Divina|Божественная Мудрость|神圣智慧|ディバインウィスダム|신성한 지혜|Göttliche Weisheit|Sagesse divine
talent_name_holyAura|Holy Aura||Aura Sagrada|Святая Аура|神圣光环|ホーリーオーラ|신성한 오라|Heilige Aura|Aura sacrée
talent_name_holyHammer|Holy Hammer||Martelo Sagrado|Святой Молот|神圣之锤|ホーリーハンマー|신성한 망치|Heiliger Hammer|Marteau béni
talent_name_holyRetribution|Holy Retribution||Retribuição Sagrada|Святое возмездие|神圣惩戒|ホーリーレトリビューション|신성한 보복|Heilige Vergeltung|Châtiment sacré
talent_name_lightsEmbrace|Light's Embrace||Abraço da Luz|Объятия Света|圣光之拥抱|ライトの抱擁|빛의 포옹|Umarmung des Lichts|Étreinte de la lumière
talent_name_fistOfTheHeavens|Fist of the Heavens||Punho dos Céus|Кулак Небес|天堂之拳|天の拳|천상의 주먹|Faust des Himmels|Poing des cieux
talent_name_holyNova|Holy Nova||Nova Sagrado|Святая Нова|神圣新星|ホーリーノヴァ|신성한 노바|Heilige Nova|Nova sacrée
talent_name_theVeneratedOne|The Venerated One||O Venerado|Почитаемый|受人尊敬者 |尊敬される者 |숭배받는 자 |Der Verehrte |Le Vénéré
|||||||||
talent_desc_vengeance|Strike monsters with a lightning shock that splits towards nearby monsters, dealing increased damage and additive lightning damage.||Atinge os inimigos com um choque de raio que se divide em direção a inimigos próximos, causando Dano aumentado e Dano de Raio Aditivo.|Поразите врагов разрядом молнии, нанося увеличенный урон и дополнительный урон от молнии.|||번개 충격으로 몬스터를 공격하여 근처 몬스터에게 갈라지며, 증가된 피해와 추가 번개 피해를 입힙니다.||Frappez vos ennemis avec une décharge de foudre infligeant des dégâts accrus et des dégâts de foudre.
talent_desc_thunderShield|Cast a shield of thunder reducing magic damage taken and shocking monsters attacking you dealing lightning damage.||Lança um escudo de trovão, reduzindo Dano Mágico recebido e eletrocutando os inimigos que o atacam dom Dano de Raio.|Создайте громовой щит, уменьшающий получаемый магический урон и шокирующий врагов, атакующих вас, уроном от молнии.|||번개 방패를 시전하여 받는 마법 피해를 감소시키고, 당신을 공격하는 몬스터에게 번개 피해를 입힙니다.||Créez un bouclier de tonnerre qui inflige des dégâts de foudre aux ennemis qui vous attaquent.
